Frequency Spectrum for Input Signal

Data Shown:    V2-28 (Community)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 80°  

Freq [Hz]	Signal Level [dBSPL]
22.4	61.2
23	61.7
23.6	62.2
24	62.8
25	63.4
25.8	63.9
26.5	64.5
27.2	65
28	65.5
29	65.9
30	66.4
30.7	67
31.5	67.5
32.5	68
33.5	68.4
34.5	68.9
35.5	69.3
36.5	69.9
37.5	70.4
38.7	70.8
40	71.2
41.2	71.6
42.5	72.1
43.7	72.6
45	73.1
46.2	73.6
47.5	74
48.7	74.5
50	74.9
51.5	75.4
53	75.8
54.5	76.3
56	76.8
58	77.2
60	77.7
61.5	78.2
63	78.6
65	79.1
67	79.6
69	80
71	80.5
73	80.9
75	81.4
77.5	81.8
80	82.3
82.5	82.7
85	83.2
87.5	83.6
90	84
92.5	84.4
95	84.8
97.5	85.2
100	85.5
103	85.9
106	86.2
109	86.5
112	86.8
115	87
118	87.2
122	87.4
125	87.5
128	87.6
132	87.6
136	87.6
140	87.6
145	87.4
150	87.2
155	86.9
160	86.6
165	86.2
170	85.7
175	85.2
180	84.7
185	84.3
190	84.2
195	84.2
200	84.5
206	85
212	85.5
218	86
224	86.4
230	86.6
236	86.7
240	86.5
250	86.2
258	85.7
265	85
272	84.1
280	83.1
290	82.2
300	81.6
307	81.4
315	81.7
325	82.3
335	83.1
345	83.7
355	84.1
365	84.3
375	84.1
387	83.6
400	82.8
412	81.7
425	80.7
437	80.1
450	80
462	80.1
475	80
487	79.3
500	78.2
515	77.1
530	76.8
545	77.3
560	78.3
580	79.2
600	79.9
615	80.6
630	81.1
650	81.1
670	79.9
690	76.1
710	71.6
730	73.5
750	73.1
775	72.1
800	70.6
825	69.4
850	69
875	68.8
900	67.3
925	63.6
950	56.7
975	47.7
1000	55.9
1030	58.8
1060	59.2
1090	57.3
1120	59
1150	65.2
1180	68.1
1220	69.3
1250	70.4
1280	72.6
1320	76.3
1360	78.8
1400	78.7
1450	77.9
1500	78.4
1550	80.2
1600	81.6
1650	80.5
1700	78
1750	76.3
1800	76.6
1850	76.5
1900	75.6
1950	75.4
2000	77.4
2060	79.2
2120	80.7
2180	79.8
2240	79.5
2300	80
2360	79
2400	75.7
2500	75.3
2580	74.9
2650	74.1
2720	75.1
2800	76.7
2900	75.8
3000	73.9
3070	71.3
3150	70.7
3250	72.6
3350	72.5
3450	70.3
3550	68.7
3650	70.1
3750	69.9
3870	70.7
4000	70.6
4120	71.3
4250	70.7
4370	71.9
4500	72.2
4620	71.5
4750	69.6
4870	70.2
5000	69.4
5150	67
5300	64.4
5450	64
5600	70.6
5800	72.8
6000	71
6150	71.5
6300	70
6500	65.7
6700	62
6900	61.1
7100	67
7300	71.1
7500	70.6
7750	69.2
8000	65.1
8250	66.4
8500	69.3
8750	67.5
9000	63
9250	72.5
9500	69.9
9750	70
10000	68.4
10300	67
10600	67.2
10900	68.7
11200	75.8
11500	72.6
11800	72.3
12200	68.3
12500	62.6
12800	62.2
13200	62.5
13600	62.8
14000	65.5
14500	60.5
15000	55.4
15500	69.5
16000	68.9
16500	64.8
17000	56.6
17500	58
18000	59.5
18500	53.1
19000	44.6
19500	44.5
20000	52.4
20600	54.8
21200	55.5
21800	61.6
22400	59.6
