"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	50.7288	20.5078	52.2296	20.5078	50.8571	20.5078	52.6776	20.5078	58.5387	20.5078	53.4122
21.9727	53.4155	21.9727	53.4379	21.9727	53.1893	21.9727	54.0158	21.9727	58.4785	21.9727	54.5508
23.4375	54.1271	23.4375	54.5358	23.4375	53.9555	23.4375	55.0546	23.4375	60.0426	23.4375	55.6733
24.9023	55.4427	24.9023	56.2527	24.9023	55.399	24.9023	56.6288	24.9023	61.3731	24.9023	57.1407
26.3672	58.3287	26.3672	58.6854	26.3672	58.2177	26.3672	59.0839	26.3672	62.9798	26.3672	59.4596
27.832	60.2744	27.832	60.5944	27.832	60.185	27.832	60.9675	27.832	64.5076	27.832	61.2792
29.2969	62.2204	29.2969	62.3732	29.2969	62.0837	29.2969	62.7812	29.2969	65.9881	29.2969	63.0416
30.7617	64.2674	30.7617	64.2077	30.7617	64.0819	30.7617	64.6353	30.7617	67.3775	30.7617	64.8438
32.2266	65.7925	32.2266	65.7592	32.2266	65.6181	32.2266	66.1609	32.2266	68.709	32.2266	66.3349
33.6914	67.5415	33.6914	67.4378	33.6914	67.3509	33.6914	67.8442	33.6914	70.1242	33.6914	67.9838
35.1562	69.1598	35.1562	69.0221	35.1562	68.9625	35.1562	69.4274	35.1562	71.4861	35.1562	69.5366
36.6211	70.6304	36.6211	70.4373	36.6211	70.4202	36.6211	70.8412	36.6211	72.6904	36.6211	70.93
38.0859	71.9708	38.0859	71.7952	38.0859	71.7656	38.0859	72.1891	38.0859	73.9037	38.0859	72.2545
39.5508	73.2473	39.5508	73.0506	39.5508	73.0365	39.5508	73.4459	39.5508	75.0105	39.5508	73.4918
41.0156	74.4567	41.0156	74.28	41.0156	74.2549	41.0156	74.6538	41.0156	76.0824	41.0156	74.6827
42.4805	75.2282	42.4805	74.8852	42.4805	74.9726	42.4805	75.3083	42.4805	76.5539	42.4805	75.332
43.9453	75.5719	43.9453	75.3332	43.9453	75.3563	43.9453	75.705	43.9453	76.8813	43.9453	75.7144
45.4102	76.0913	45.4102	75.8477	45.4102	75.882	45.4102	76.2081	45.4102	77.2777	45.4102	76.2103
46.875	76.4665	46.875	76.1953	46.875	76.244	46.875	76.5719	46.875	77.5877	46.875	76.5653
48.3398	76.7935	48.3398	76.5194	48.3398	76.5678	48.3398	76.8943	48.3398	77.8441	48.3398	76.8792
51.2695	77.3021	51.2695	76.9981	51.2695	77.0664	51.2695	77.3814	51.2695	78.2063	51.2695	77.3529
52.7344	77.5098	52.7344	77.2165	52.7344	77.2773	52.7344	77.5918	52.7344	78.3715	52.7344	77.5577
54.1992	77.7451	54.1992	77.4407	54.1992	77.5111	54.1992	77.8169	54.1992	78.5305	54.1992	77.7769
55.6641	77.8948	55.6641	77.5844	55.6641	77.6634	55.6641	77.9552	55.6641	78.6056	55.6641	77.912
58.5938	78.3547	58.5938	78.0047	58.5938	78.119	58.5938	78.3757	58.5938	78.906	58.5938	78.33
60.0586	78.4287	60.0586	78.0559	60.0586	78.1833	60.0586	78.434	60.0586	78.9206	60.0586	78.3852
62.9883	78.7885	62.9883	78.4269	62.9883	78.553	62.9883	78.7912	62.9883	79.2082	62.9883	78.7383
64.4531	78.9098	64.4531	78.5486	64.4531	78.6742	64.4531	78.9127	64.4531	79.3096	64.4531	78.8572
67.3828	79.1815	67.3828	78.8092	67.3828	78.9415	67.3828	79.174	67.3828	79.522	67.3828	79.115
68.8477	79.3568	68.8477	78.9704	68.8477	79.1131	68.8477	79.3395	68.8477	79.6605	68.8477	79.2793
71.7773	79.7088	71.7773	79.3087	71.7773	79.4598	71.7773	79.6844	71.7773	79.9714	71.7773	79.6205
74.707	80.1465	74.707	79.7326	74.707	79.9033	74.707	80.095	74.707	80.2898	74.707	80.0329
77.6367	80.5436	77.6367	80.1096	77.6367	80.2981	77.6367	80.4702	77.6367	80.6038	77.6367	80.4086
79.1016	80.6824	79.1016	80.2396	79.1016	80.4325	79.1016	80.605	79.1016	80.7301	79.1016	80.5422
82.0312	80.9428	82.0312	80.502	82.0312	80.6926	82.0312	80.8646	82.0312	80.9719	82.0312	80.8002
84.9609	81.2443	84.9609	80.7934	84.9609	80.9889	84.9609	81.1588	84.9609	81.2466	84.9609	81.0932
87.8906	81.5526	87.8906	81.0741	87.8906	81.2973	87.8906	81.4447	87.8906	81.4865	87.8906	81.3817
90.8203	81.9711	90.8203	81.4662	90.8203	81.7193	90.8203	81.8328	90.8203	81.7996	90.8203	81.7741
95.2148	82.3019	95.2148	81.8316	95.2148	82.0757	95.2148	82.1602	95.2148	82.0417	95.2148	82.104
98.1445	82.4691	98.1445	81.9639	98.1445	82.2134	98.1445	82.3249	98.1445	82.2684	98.1445	82.2653
101.074	82.7069	101.074	82.2207	101.074	82.4742	101.074	82.5498	101.074	82.4426	101.074	82.499
105.469	83.0596	105.469	82.5456	105.469	82.8271	105.469	82.867	105.469	82.6662	105.469	82.8204
108.398	83.3897	108.398	82.8887	108.398	83.1581	108.398	83.2002	108.398	83.0216	108.398	83.1562
112.793	83.7293	112.793	83.1999	112.793	83.502	112.793	83.5268	112.793	83.3165	112.793	83.4838
117.188	83.9927	117.188	83.4535	117.188	83.7678	117.188	83.7798	117.188	83.5415	117.188	83.7386
120.117	84.1399	120.117	83.5689	120.117	83.9019	120.117	83.9027	120.117	83.68	120.117	83.8684
124.512	84.472	124.512	83.8959	124.512	84.2437	124.512	84.1937	124.512	83.9248	124.512	84.1771
128.906	84.6569	128.906	84.0623	128.906	84.4252	128.906	84.3649	128.906	84.0576	128.906	84.3481
133.301	84.7776	133.301	84.1558	133.301	84.5393	133.301	84.4647	133.301	84.1435	133.301	84.4522
139.16	84.9788	139.16	84.3023	139.16	84.731	139.16	84.6199	139.16	84.2596	139.16	84.6181
143.555	85.0757	143.555	84.3805	143.555	84.8333	143.555	84.6936	143.555	84.2985	143.555	84.6995
147.949	85.2025	147.949	84.4706	147.949	84.9594	147.949	84.7775	147.949	84.3218	147.949	84.7949
153.809	85.2747	153.809	84.5083	153.809	85.0255	153.809	84.8293	153.809	84.3367	153.809	84.848
159.668	85.3684	159.668	84.6313	159.668	85.1353	159.668	84.9465	159.668	84.4732	159.668	84.9627
165.527	85.4935	165.527	84.7932	165.527	85.2787	165.527	85.0869	165.527	84.6778	165.527	85.111
171.387	85.5372	171.387	84.8124	171.387	85.3242	171.387	85.0828	171.387	84.6672	171.387	85.1287
177.246	85.5737	177.246	84.822	177.246	85.3766	177.246	85.0661	177.246	84.5739	177.246	85.1333
183.105	85.522	183.105	84.6793	183.105	85.3243	183.105	84.9332	183.105	84.3557	183.105	85.0243
188.965	85.5312	188.965	84.6925	188.965	85.3547	188.965	84.902	188.965	84.1774	188.965	85.0067
196.289	85.4901	196.289	84.6385	196.289	85.2909	196.289	84.8783	196.289	84.1706	196.289	84.9674
203.613	85.4801	203.613	84.7324	203.613	85.3611	203.613	84.8368	203.613	84.0553	203.613	84.9703
210.938	85.5882	210.938	84.6807	210.938	85.428	210.938	84.8388	210.938	83.999	210.938	84.9942
218.262	85.5298	218.262	84.6489	218.262	85.379	218.262	84.8128	218.262	83.9418	218.262	84.9536
225.586	85.4556	225.586	84.6162	225.586	85.3612	225.586	84.7134	225.586	83.8692	225.586	84.8915
232.91	85.5914	232.91	84.7118	232.91	85.5063	232.91	84.7708	232.91	83.7615	232.91	84.9752
241.699	85.6391	241.699	84.6838	241.699	85.5191	241.699	84.7433	241.699	83.5693	241.699	84.956
250.488	85.4806	250.488	84.4237	250.488	85.3556	250.488	84.535	250.488	83.3239	250.488	84.7595
259.277	85.817	259.277	84.778	259.277	85.7137	259.277	84.9006	259.277	83.6305	259.277	85.1128
268.066	85.5314	268.066	84.4515	268.066	85.41	268.066	84.5405	268.066	83.4821	268.066	84.8016
276.855	85.6615	276.855	84.4392	276.855	85.5937	276.855	84.6696	276.855	83.2944	276.855	84.9069
287.109	85.9361	287.109	85.0047	287.109	85.984	287.109	85.0137	287.109	83.558	287.109	85.2733
