"Vertical Reflections"
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	68.5929	20.5078	66.9796	20.5078	67.8607
23.4375	69.1094	23.4375	67.2524	23.4375	68.2794
26.3672	69.2077	26.3672	67.3497	26.3672	68.3773
29.2969	68.0189	29.2969	66.5988	29.2969	67.3666
32.2266	68.3378	32.2266	66.803	32.2266	67.6379
35.1563	71.7635	35.1563	70.1188	35.1563	71.0186
38.0859	75.057	38.0859	73.3443	38.0859	74.2845
41.0156	80.458	41.0156	78.5363	41.0156	79.6026
43.9453	81.9007	43.9453	79.9478	43.9453	81.0331
46.875	83.1244	46.875	81.1612	46.875	82.2528
49.8047	84.1163	49.8047	82.1277	49.8047	83.2349
52.7344	84.9368	52.7344	82.9407	52.7344	84.0524
55.6641	85.5976	55.6641	83.6151	55.6641	84.7185
58.5938	86.1878	58.5938	84.1595	58.5938	85.291
61.5234	86.7372	61.5234	84.6775	61.5234	85.8283
64.4531	87.5485	64.4531	85.3816	64.4531	86.5988
67.3828	87.8804	67.3828	85.6688	67.3828	86.9139
70.3125	88.2426	70.3125	85.983	70.3125	87.2581
73.2422	88.5915	73.2422	86.3	73.2422	87.5952
76.1719	88.9255	76.1719	86.6283	76.1719	87.927
79.1016	89.1059	79.1016	86.789	79.1016	88.1002
82.0313	89.2689	82.0313	86.9123	82.0313	88.2485
84.9609	89.3753	84.9609	86.953	84.9609	88.3309
87.8906	89.4811	87.8906	87.019	87.8906	88.4222
90.8203	89.4848	90.8203	86.9968	90.8203	88.4166
93.75	89.885	93.75	87.2055	93.75	88.7487
96.6797	89.9215	96.6797	87.1996	96.6797	88.7704
102.539	90.0089	102.539	87.0273	102.539	88.7691
105.469	90.1215	105.469	86.9614	105.469	88.8228
108.398	90.3417	108.398	87.2022	108.398	89.0497
111.328	90.4633	111.328	87.3801	111.328	89.1897
117.188	90.4595	117.188	87.313	117.188	89.1652
120.117	90.5968	120.117	87.416	120.117	89.2913
125.977	90.5684	125.977	87.3552	125.977	89.2524
128.906	90.5966	128.906	87.3242	128.906	89.2616
134.766	90.8009	134.766	87.4035	134.766	89.4263
137.695	90.7273	137.695	87.2431	137.695	89.3256
143.555	90.5655	143.555	86.8867	143.555	89.1045
149.414	90.3879	149.414	86.4477	149.414	88.8501
155.273	90.4832	155.273	86.1335	155.273	88.8316
158.203	90.6889	158.203	86.2821	158.203	89.022
164.063	90.8657	164.063	86.5271	164.063	89.217
169.922	90.6766	169.922	86.4276	169.922	89.0522
175.781	90.4769	175.781	86.1074	175.781	88.82
181.641	90.301	181.641	85.6708	181.641	88.5758
190.43	90.6231	190.43	85.5753	190.43	88.7946
196.289	90.9122	196.289	85.8565	196.289	89.0819
202.148	90.8808	202.148	85.887	202.148	89.0653
210.938	90.4589	210.938	85.4261	210.938	88.634
216.797	90.466	216.797	85.2345	216.797	88.5945
225.586	90.7721	225.586	85.4836	225.586	88.8876
234.375	90.8393	234.375	85.2832	234.375	88.8951
240.234	90.7223	240.234	85.1871	240.234	88.7826
249.023	90.4817	249.023	84.4741	249.023	88.4431
257.813	91.2023	257.813	84.186	257.813	88.9794
266.602	91.5221	266.602	85.1031	266.602	89.4041
278.32	90.5366	278.32	83.9043	278.32	88.3798
287.109	90.5551	287.109	84.2063	287.109	88.4502
295.898	90.459	295.898	84.1876	295.898	88.3688
307.617	90.7358	307.617	84.467	307.617	88.646
319.336	90.4204	319.336	84.0721	319.336	88.3156
331.055	91.1969	331.055	83.3084	331.055	88.8409
342.773	91.8256	342.773	82.9384	342.773	89.3431
354.492	91.6232	354.492	83.1216	354.492	89.1865
366.211	90.857	366.211	81.9821	366.211	88.3758
377.93	90.951	377.93	81.5914	377.93	88.4169
392.578	90.7587	392.578	82.5765	392.578	88.3628
407.227	90.2678	407.227	79.7194	407.227	87.6244
421.875	91.3125	421.875	78.8727	421.875	88.543
436.523	90.7924	436.523	77.0817	436.523	87.9631
451.172	90.5598	451.172	77.9634	451.172	87.782
465.82	90.3166	465.82	75.7498	465.82	87.4555
483.398	91.3293	483.398	75.8722	483.398	88.4409
500.977	90.3067	500.977	75.2671	500.977	87.4304
518.555	90.8738	518.555	74.837	518.555	87.9703
536.133	91.2392	536.133	75.0458	536.133	88.332
553.711	90.5502	553.711	69.4865	553.711	87.5737
574.219	91.1841	574.219	72.3325	574.219	88.23
594.727	90.857	594.727	67.7927	594.727	87.8681
615.234	91.527	615.234	72.9996	615.234	88.5773
638.672	92.1625	638.672	72.5509	638.672	89.1994
659.18	92.776	659.18	74.2912	659.18	89.8268
682.617	92.9635	682.617	72.9833	682.617	89.9966
706.055	92.366	706.055	74.9314	706.055	89.4334
732.422	91.8725	732.422	79.0693	732.422	89.0842
758.789	91.6998	758.789	81.2108	758.789	89.0612
785.156	91.2089	785.156	82.518	785.156	88.7492
811.523	90.8369	811.523	83.4569	811.523	88.5557
840.82	90.6007	840.82	84.9886	840.82	88.6443
870.117	90.7632	870.117	86.9416	870.117	89.2598
902.344	90.3628	902.344	88.0448	902.344	89.3567
931.641	90.6131	931.641	87.123	931.641	89.2096
966.797	91.7307	966.797	85.2244	966.797	89.5966
999.023	92.0517	999.023	86.228	999.023	90.0506
1,034.18	91.8976	1,034.18	86.8558	1,034.18	90.0706
1,072.27	91.7835	1,072.27	86.6261	1,072.27	89.9292
1,110.35	92.3055	1,110.35	86.6141	1,110.35	90.3321
1,148.44	91.5117	1,148.44	86.7839	1,148.44	89.7617
1,189.45	91.8396	1,189.45	86.3919	1,189.45	89.9192
1,230.47	91.1862	1,230.47	85.5092	1,230.47	89.2159
1,274.41	91.5432	1,274.41	85.204	1,274.41	89.4401
1,318.36	91.0906	1,318.36	84.4366	1,318.36	88.9299
1,365.23	90.8595	1,365.23	83.8162	1,365.23	88.6322
1,415.04	89.555	1,415.04	82.6834	1,415.04	87.3564
1,464.84	88.1955	1,464.84	81.6881	1,464.84	86.0612
1,514.65	87.6746	1,514.65	81.8172	1,514.65	85.6666
1,570.31	87.1145	1,570.31	81.5213	1,570.31	85.1622
1,623.05	86.8068	1,623.05	82.7115	1,623.05	85.225
1,681.64	85.7719	1,681.64	82.1607	1,681.64	84.3313
1,740.23	84.0354	1,740.23	81.0422	1,740.23	82.7917
1,801.76	83.0685	1,801.76	81.502	1,801.76	82.3555
1,866.21	82.1458	1,866.21	81.6899	1,866.21	81.9238
1,930.66	80.5035	1,930.66	81.3313	1,930.66	80.9371
2,000.98	80.0848	2,000.98	81.6581	2,000.98	80.9423
2,071.29	80.0711	2,071.29	81.8663	2,071.29	81.0608
2,144.53	80.001	2,144.53	82.9176	2,144.53	81.6997
2,217.77	80.9143	2,217.77	83.6544	2,217.77	82.4969
2,296.88	80.8749	2,296.88	84.6474	2,296.88	83.1585
2,378.91	82.4345	2,378.91	84.3109	2,378.91	83.4732
2,460.94	84.2088	2,460.94	84.0764	2,460.94	84.1431
2,548.83	85.1842	2,548.83	84.4199	2,548.83	84.8188
2,639.65	85.1671	2,639.65	84.9221	2,639.65	85.0463
2,733.4	86.496	2,733.4	85.3184	2,733.4	85.947
2,827.15	87.3254	2,827.15	85.4003	2,827.15	86.4687
2,926.76	87.967	2,926.76	85.3459	2,926.76	86.8513
3,032.23	88.4209	3,032.23	84.6914	3,032.23	86.9447
3,137.7	88.3701	3,137.7	84.3454	3,137.7	86.8082
3,249.02	88.7164	3,249.02	84.1768	3,249.02	87.0146
3,363.28	88.4305	3,363.28	84.2309	3,363.28	86.8197
3,483.4	88.2403	3,483.4	84.4183	3,483.4	86.7368
3,606.45	88.2678	3,606.45	84.3587	3,606.45	86.7389
3,732.42	88.0498	3,732.42	84.1264	3,732.42	86.5169
3,864.26	87.722	3,864.26	84.0586	3,864.26	86.2656
3,999.02	87.2928	3,999.02	83.5368	3,999.02	85.8088
4,139.65	87.1892	4,139.65	82.9651	4,139.65	85.5716
4,286.13	86.9967	4,286.13	82.7108	4,286.13	85.3623
4,438.48	86.305	4,438.48	83.2471	4,438.48	85.0398
4,593.75	86.3169	4,593.75	82.7238	4,593.75	84.8818
4,757.81	86.3047	4,757.81	82.7081	4,757.81	84.8685
4,924.8	86.3362	4,924.8	82.4607	4,924.8	84.8171
5,097.66	85.5105	5,097.66	82.3714	5,097.66	84.2186
5,279.3	85.6729	5,279.3	82.249	5,279.3	84.2899
5,463.87	85.2135	5,463.87	81.9211	5,463.87	83.8721
5,657.23	84.8137	5,657.23	81.4091	5,657.23	83.4368
5,856.45	84.4984	5,856.45	81.127	5,856.45	83.132
6,061.52	83.8785	6,061.52	81.0179	6,061.52	82.6796
6,275.39	83.8048	6,275.39	80.7115	6,275.39	82.5279
6,498.05	84.6231	6,498.05	80.5948	6,498.05	83.0602
6,726.56	85.1187	6,726.56	80.8777	6,726.56	83.4966
6,963.87	85.2203	6,963.87	81.0281	6,963.87	83.6116
7,209.96	84.6934	7,209.96	80.6907	7,209.96	83.1377
7,464.84	84.593	7,464.84	80.7739	7,464.84	83.0904
7,728.52	84.8764	7,728.52	80.8527	7,728.52	83.3148
8,000.98	85.1666	8,000.98	80.8375	8,000.98	83.5205
8,282.23	85.4072	8,282.23	80.8455	8,282.23	83.6996
8,575.2	85.5091	8,575.2	80.8123	8,575.2	83.7669
8,876.95	85.1804	8,876.95	80.3831	8,876.95	83.413
9,190.43	84.2851	9,190.43	79.7317	9,190.43	82.5797
9,512.7	82.7357	9,512.7	78.5793	9,512.7	81.1368
9,849.61	82.1207	9,849.61	77.5635	9,849.61	80.4143
10,195.3	81.5173	10,195.3	76.5211	10,195.3	79.7012
10,555.7	81.9233	10,555.7	76.4444	10,555.7	79.9959
10,927.7	83.7638	10,927.7	77.208	10,927.7	81.6207
11,314.5	84.999	11,314.5	78.3774	11,314.5	82.844
11,712.9	85.3149	11,712.9	79.0745	11,712.9	83.2306
12,126	85.9365	12,126	79.3627	12,126	83.7901
12,553.7	85.8224	12,553.7	78.8446	12,553.7	83.6059
12,996.1	85.7755	12,996.1	78.4293	12,996.1	83.4996
13,453.1	86.0216	13,453.1	78.4098	13,453.1	83.7054
13,927.7	85.9772	13,927.7	77.4394	13,927.7	83.5361
14,419.9	85.6402	14,419.9	77.158	14,419.9	83.2059
14,929.7	85.1374	14,929.7	77.0657	14,929.7	82.7563
15,454.1	84.8062	15,454.1	76.2907	15,454.1	82.3678
15,999	84.3653	15,999	75.9997	15,999	81.9457
16,564.5	83.8694	16,564.5	75.335	16,564.5	81.4286
17,147.5	83.6527	17,147.5	74.8126	17,147.5	81.1756
17,753.9	85.7505	17,753.9	76.757	17,753.9	83.2559
18,377.9	88.5871	18,377.9	80.1589	18,377.9	86.1596
19,028.3	90.8824	19,028.3	80.605	19,028.3	88.2615
19,699.2	92.2135	19,699.2	78.3283	19,699.2	89.3772
19,998	92.574	19,998	77.1941	19,998	89.6877
