"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"
20.5078	27.5107	20.5078	35.9243	20.5078	29.2296	20.5078	36.8541	20.5078	46.7357	20.5078	40.5933
21.9727	35.8671	21.9727	41.1982	21.9727	37.6068	21.9727	40.7577	21.9727	49.4413	21.9727	43.8965
23.4375	35.4511	23.4375	37.5742	23.4375	34.7265	23.4375	39.3597	23.4375	49.3362	23.4375	43.2901
24.9023	43.894	24.9023	46.338	24.9023	43.8694	24.9023	46.3576	24.9023	53.0752	24.9023	48.3015
26.3672	46.2212	26.3672	47.1959	26.3672	46.1156	26.3672	47.5195	26.3672	53.7578	26.3672	49.3375
27.832	49.6956	27.832	50.4667	27.832	49.6452	27.832	50.5387	27.832	56.0414	27.832	52.1051
29.2969	51.3773	29.2969	51.8969	29.2969	51.5641	29.2969	51.8617	29.2969	57.0113	29.2969	53.3904
30.7617	53.5363	30.7617	53.9602	30.7617	53.5945	30.7617	54.0876	30.7617	58.9904	30.7617	55.4464
32.2266	55.9735	32.2266	56.5021	32.2266	55.9839	32.2266	56.6211	32.2266	60.89	32.2266	57.673
33.6914	58.669	33.6914	58.9306	33.6914	58.6563	33.6914	59.0611	33.6914	62.5029	33.6914	59.8558
35.1562	60.2637	35.1562	60.7395	35.1562	60.3	35.1562	60.7725	35.1562	64.1204	35.1562	61.521
36.6211	62.2483	36.6211	62.6551	36.6211	62.2793	36.6211	62.6736	36.6211	65.5999	36.6211	63.3012
38.0859	63.6722	38.0859	64.1721	38.0859	63.7116	38.0859	64.1652	38.0859	66.9634	38.0859	64.7341
39.5508	65.5886	39.5508	66.0829	39.5508	65.6505	39.5508	66.0284	39.5508	68.4975	39.5508	66.5195
41.0156	67.493	41.0156	67.8962	41.0156	67.5659	41.0156	67.868	41.0156	69.9296	41.0156	68.2535
42.4805	68.2353	42.4805	68.8612	42.4805	68.3277	42.4805	68.7779	42.4805	71.1482	42.4805	69.215
43.9453	70.2299	43.9453	70.8231	43.9453	70.3148	43.9453	70.7214	43.9453	72.7308	43.9453	71.0682
45.4102	71.7108	45.4102	72.2583	45.4102	71.7834	45.4102	72.1706	45.4102	74.0528	45.4102	72.4864
46.875	73.1958	46.875	73.6628	46.875	73.2574	46.875	73.5944	46.875	75.2803	46.875	73.8702
48.3398	74.3821	48.3398	74.8908	48.3398	74.4449	48.3398	74.8144	48.3398	76.44	48.3398	75.0637
51.2695	76.6194	51.2695	77.1841	51.2695	76.7035	51.2695	77.0632	51.2695	78.4693	51.2695	77.2618
52.7344	77.6271	52.7344	78.1856	52.7344	77.7236	52.7344	78.0469	52.7344	79.3116	52.7344	78.2227
54.1992	78.5277	54.1992	79.071	54.1992	78.6261	54.1992	78.9272	54.1992	80.0802	54.1992	79.0832
55.6641	79.2176	55.6641	79.7198	55.6641	79.3025	55.6641	79.5975	55.6641	80.6847	55.6641	79.7373
58.5938	80.1808	58.5938	80.6909	58.5938	80.2713	58.5938	80.5604	58.5938	81.5145	58.5938	80.6703
60.0586	80.5439	60.0586	81.0533	60.0586	80.642	60.0586	80.9157	60.0586	81.7937	60.0586	81.0129
62.9883	80.9972	62.9883	81.499	62.9883	81.0951	62.9883	81.3559	62.9883	82.1309	62.9883	81.4345
64.4531	81.2266	64.4531	81.7217	64.4531	81.3269	64.4531	81.5726	64.4531	82.2826	64.4531	81.6424
67.3828	81.5316	67.3828	82.0006	67.3828	81.6288	67.3828	81.861	67.3828	82.4743	67.3828	81.9121
68.8477	81.6655	68.8477	82.0947	68.8477	81.7488	68.8477	81.975	68.8477	82.5515	68.8477	82.0185
71.7773	81.9192	71.7773	82.2909	71.7773	81.9847	71.7773	82.1929	71.7773	82.6799	71.7773	82.222
74.707	82.1267	74.707	82.4521	74.707	82.1804	74.707	82.3757	74.707	82.7887	74.707	82.3912
77.6367	82.3162	77.6367	82.6504	77.6367	82.3812	77.6367	82.5563	77.6367	82.885	77.6367	82.5626
79.1016	82.3903	79.1016	82.709	79.1016	82.4523	79.1016	82.6249	79.1016	82.9268	79.1016	82.6249
82.0312	82.461	82.0312	82.7692	82.0312	82.5238	82.0312	82.685	82.0312	82.929	82.0312	82.6769
