"Estimated In-Room Response"
"Estimated In-Room Response"
"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	2.83	V at 	35	m]"
20.5078	51.0404
21.9727	44.2743
23.4375	45.342
24.9023	44.4966
26.3672	43.5711
27.832	46.394
29.2969	45.8657
30.7617	49.5112
32.2266	51.0211
33.6914	53.8115
35.1563	55.0341
36.6211	57.3771
38.0859	59.611
39.5508	61.5035
41.0156	63.4508
42.4805	65.0975
43.9453	66.8992
45.4102	68.6295
46.875	70.2995
48.3398	71.8881
51.2695	74.4465
52.7344	75.5232
54.1992	76.5156
55.6641	77.3756
58.5938	78.5298
60.0586	78.9882
62.9883	79.7135
64.4531	79.9309
67.3828	80.2696
68.8477	80.2684
71.7773	80.2895
74.707	80.3534
77.6367	80.4852
79.1016	80.4751
82.0313	80.4509
84.9609	80.4207
87.8906	80.3495
90.8203	80.2876
95.2148	80.3
98.1445	80.3947
101.074	80.1756
105.469	80.3718
108.398	80.3729
112.793	80.376
117.188	80.2965
120.117	80.2988
124.512	80.6
128.906	80.532
133.301	80.4354
139.16	80.457
143.555	80.4589
147.949	80.4652
153.809	80.4269
159.668	80.4685
165.527	80.6235
171.387	80.6654
177.246	80.5891
183.105	80.417
188.965	80.4257
196.289	80.5759
203.613	80.4962
210.938	80.4788
218.262	80.5114
225.586	80.5174
232.91	80.472
241.699	80.4516
250.488	80.3895
259.277	80.5308
268.066	80.2577
276.855	80.0418
287.109	80.1948
297.363	80.0194
307.617	80.1204
319.336	79.9661
329.59	79.9293
341.309	80.022
353.027	79.7502
366.211	79.9471
379.395	80.3955
392.578	80.1209
405.762	79.8502
420.41	79.7783
435.059	79.7353
451.172	79.6587
465.82	79.5931
483.398	79.4406
499.512	79.388
517.09	79.4742
536.133	78.8151
555.176	78.584
574.219	78.7447
594.727	78.5822
615.234	79.2811
637.207	79.8493
659.18	79.4741
682.617	79.3212
707.52	79.3241
732.422	79.1537
757.324	79.1457
785.156	79.3888
811.523	78.6944
840.82	78.8674
870.117	78.5674
900.879	78.6206
933.105	78.6074
965.332	78.4259
1,000.49	78.3389
1,035.64	78.2907
1,072.27	77.9509
1,108.89	77.6688
1,148.44	77.6555
1,189.45	77.3432
1,230.47	77.6694
1,274.41	77.4829
1,319.82	77.5334
1,366.7	77.3189
1,413.57	77.3864
1,463.38	77.237
1,516.11	76.9102
1,568.85	76.8075
1,624.51	76.7338
1,681.64	76.5009
1,741.7	75.9152
1,803.22	75.7621
1,866.21	76.116
1,932.13	76.2416
1,999.51	75.7227
2,069.82	75.2597
2,143.07	75.8213
2,219.24	76.0426
2,296.88	75.5104
2,378.91	75.6966
2,462.4	76.5661
2,548.83	76.3412
2,639.65	75.7511
2,731.93	76.566
2,828.61	76.5962
2,928.22	75.9125
3,030.76	76.3654
3,137.7	76.3705
3,249.02	76.1336
3,363.28	76.7537
3,481.93	76.9017
3,604.98	76.5662
3,732.42	76.7942
3,864.26	76.1905
4,000.49	76.1172
4,141.11	75.9178
4,287.6	76.0335
4,438.48	75.951
4,595.21	76.3576
4,756.35	75.8937
4,924.8	75.8825
5,097.66	75.5669
5,277.83	75.4113
5,463.87	75.339
5,657.23	74.9972
5,856.45	75.5458
6,062.99	75.6101
6,276.86	75.9416
6,498.05	76.1429
6,726.56	75.9847
6,963.87	75.8349
7,209.96	75.704
7,464.84	75.3827
7,727.05	75.3438
7,999.51	75.6386
8,282.23	75.5862
8,573.73	75.8443
8,876.95	75.8141
9,188.96	76.0049
9,514.16	76.1961
9,849.61	76.2986
10,196.8	76.0715
10,555.7	75.5886
10,927.7	75.3274
11,313	75.4477
11,712.9	75.7324
12,126	75.9819
12,553.7	76.2026
12,996.1	76.2534
13,454.6	76.2106
13,929.2	76.1188
14,419.9	76.3222
14,928.2	76.5564
15,455.6	76.8156
16,000.5	76.973
16,564.5	76.6535
17,148.9	76.1295
17,752.4	75.8081
18,379.4	75.1535
19,026.9	73.9813
19,697.8	72.0583
19,999.5	71.094
