"Vertical Reflections"					
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  	2.83	V at 	35	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  	2.83	V at 	35	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]  	2.83	V at 	35	m]"
20.5078	51.0486	20.5078	50.5192	20.5078	50.7919
21.9727	44.4153	21.9727	43.5707	21.9727	44.0135
23.4375	45.6114	23.4375	44.7289	23.4375	45.1925
24.9023	44.6431	24.9023	43.5697	24.9023	44.1395
26.3672	44.4184	26.3672	42.4323	26.3672	43.5379
27.832	46.7878	27.832	45.5523	27.832	46.2139
29.2969	46.5622	29.2969	44.8376	29.2969	45.7849
30.7617	50.0355	30.7617	48.7067	30.7617	49.4217
32.2266	51.5827	32.2266	50.2438	32.2266	50.9646
33.6914	54.2489	33.6914	53.1512	33.6914	53.7346
35.1563	55.4642	35.1563	54.3993	35.1563	54.9643
36.6211	57.8641	36.6211	56.7387	36.6211	57.3377
38.0859	60.1078	38.0859	58.9576	38.0859	59.5706
39.5508	61.9668	39.5508	60.9325	39.5508	61.4804
41.0156	63.9009	41.0156	62.8696	41.0156	63.4158
42.4805	65.5583	42.4805	64.5461	42.4805	65.0816
43.9453	67.38	43.9453	66.3729	43.9453	66.9055
45.4102	69.0943	45.4102	68.1202	45.4102	68.6345
46.875	70.7463	46.875	69.8128	46.875	70.3046
48.3398	72.3168	48.3398	71.4278	48.3398	71.895
51.2695	74.8817	51.2695	74.0202	51.2695	74.4723
52.7344	75.961	52.7344	75.106	52.7344	75.5545
54.1992	76.9371	54.1992	76.1195	54.1992	76.5475
55.6641	77.7638	55.6641	76.9864	55.6641	77.3925
58.5938	78.9251	58.5938	78.1577	58.5938	78.5583
60.0586	79.3893	60.0586	78.6311	60.0586	79.0267
62.9883	80.1487	62.9883	79.3861	62.9883	79.7841
64.4531	80.3432	64.4531	79.6052	64.4531	79.9899
67.3828	80.6715	67.3828	79.9674	67.3828	80.3337
68.8477	80.6808	68.8477	79.9751	68.8477	80.3423
71.7773	80.7046	71.7773	79.9783	71.7773	80.3566
74.707	80.7584	74.707	80.0747	74.707	80.43
77.6367	80.862	77.6367	80.2169	77.6367	80.5514
79.1016	80.8437	79.1016	80.2119	79.1016	80.5393
82.0313	80.833	82.0313	80.2109	82.0313	80.5331
84.9609	80.8091	84.9609	80.1836	84.9609	80.5076
87.8906	80.7178	87.8906	80.0742	87.8906	80.4079
90.8203	80.6114	90.8203	79.9881	90.8203	80.3109
95.2148	80.7289	95.2148	80.0907	95.2148	80.4215
98.1445	80.8304	98.1445	80.1662	98.1445	80.511
101.074	80.5791	101.074	79.8966	101.074	80.2512
105.469	80.8048	105.469	80.1018	105.469	80.4675
108.398	80.7993	108.398	80.1172	108.398	80.4716
112.793	80.801	112.793	80.1463	112.793	80.486
117.188	80.7123	117.188	80.0028	117.188	80.372
120.117	80.6978	120.117	80.0379	120.117	80.3804
124.512	81.0289	124.512	80.3864	124.512	80.7195
128.906	80.9588	128.906	80.2846	128.906	80.6348
133.301	80.9541	133.301	80.2286	133.301	80.6065
139.16	81.0068	139.16	80.2583	139.16	80.6487
143.555	80.979	143.555	80.2427	143.555	80.6265
147.949	80.9644	147.949	80.2555	147.949	80.6244
153.809	80.918	153.809	80.2082	153.809	80.5776
159.668	80.9708	159.668	80.3029	159.668	80.6497
165.527	81.1682	165.527	80.3969	165.527	80.7997
171.387	81.2542	171.387	80.5003	171.387	80.8936
177.246	81.2001	177.246	80.4006	177.246	80.8188
183.105	80.996	183.105	80.1902	183.105	80.6117
188.965	81.0371	188.965	80.2157	188.965	80.6458
196.289	81.2417	196.289	80.4089	196.289	80.8452
203.613	81.0971	203.613	80.3945	203.613	80.76
210.938	81.1249	210.938	80.3364	210.938	80.7485
218.262	81.1162	218.262	80.4175	218.262	80.7809
225.586	81.1685	225.586	80.3643	225.586	80.785
232.91	81.149	232.91	80.3259	232.91	80.7569
241.699	81.15	241.699	80.3451	241.699	80.7662
250.488	81.1197	250.488	80.2029	250.488	80.6854
259.277	81.2273	259.277	80.4333	259.277	80.8484
268.066	80.8762	268.066	80.1205	268.066	80.5148
276.855	80.7411	276.855	79.8758	276.855	80.33
287.109	80.893	287.109	80.1977	287.109	80.5592
297.363	80.9971	297.363	79.8312	297.363	80.4532
307.617	81.1686	307.617	79.8223	307.617	80.5474
319.336	81.0026	319.336	79.748	319.336	80.4205
329.59	81.0691	329.59	79.6679	329.59	80.4248
341.309	81.2131	341.309	79.6916	341.309	80.5187
353.027	81.0093	353.027	79.3822	353.027	80.2715
366.211	81.4289	366.211	79.6045	366.211	80.6118
379.395	81.8394	379.395	79.9698	379.395	81.0044
392.578	81.4854	392.578	79.7507	392.578	80.7041
405.762	81.2441	405.762	79.4875	405.762	80.454
420.41	81.3007	420.41	79.3074	420.41	80.4174
435.059	81.0856	435.059	79.2744	435.059	80.2737
451.172	81.2323	451.172	79.2022	451.172	80.3348
465.82	81.2353	465.82	79.2337	465.82	80.3488
483.398	81.1595	483.398	78.7942	483.398	80.1359
499.512	80.9359	499.512	78.966	499.512	80.0617
517.09	80.8484	517.09	78.8598	517.09	79.9669
536.133	79.8381	536.133	78.7211	536.133	79.3154
555.176	80.2181	555.176	78.9369	555.176	79.6246
574.219	80.6132	574.219	78.6669	574.219	79.7482
594.727	80.1731	594.727	78.3251	594.727	79.3467
615.234	80.7716	615.234	79.2201	615.234	80.0648
637.207	81.3492	637.207	79.7157	637.207	80.6088
659.18	80.7023	659.18	79.1641	659.18	80.0009
682.617	80.583	682.617	78.5714	682.617	79.6926
707.52	80.7238	707.52	78.2088	707.52	79.6459
732.422	80.5732	732.422	78.376	732.422	79.6121
757.324	80.8347	757.324	78.3099	757.324	79.7532
785.156	80.9775	785.156	79.1253	785.156	80.1494
811.523	79.896	811.523	79.1705	811.523	79.5484
840.82	80.2591	840.82	79.2107	840.82	79.7665
870.117	80.3022	870.117	78.76	870.117	79.5992
900.879	80.3011	900.879	78.4536	900.879	79.4749
933.105	80.228	933.105	78.3244	933.105	79.3797
965.332	80.1791	965.332	77.3757	965.332	78.9998
1,000.49	79.9958	1,000.49	77.0239	1,000.49	78.7592
1,035.64	79.7334	1,035.64	76.5436	1,035.64	78.425
1,072.27	79.1108	1,072.27	76.9782	1,072.27	78.1741
1,108.89	78.6257	1,108.89	77.3739	1,108.89	78.0447
1,148.44	78.7417	1,148.44	78.1793	1,148.44	78.4696
1,189.45	78.7439	1,189.45	77.6589	1,189.45	78.2352
1,230.47	78.9205	1,230.47	77.8094	1,230.47	78.4004
1,274.41	78.7969	1,274.41	77.726	1,274.41	78.2943
1,319.82	78.7597	1,319.82	77.8657	1,319.82	78.3357
1,366.7	78.4797	1,366.7	77.1978	1,366.7	77.8859
1,413.57	78.6348	1,413.57	77.2965	1,413.57	78.017
1,463.38	78.5873	1,463.38	77.3195	1,463.38	77.9995
1,516.11	78.0338	1,516.11	76.224	1,516.11	77.2225
1,568.85	77.5958	1,568.85	75.1407	1,568.85	76.5395
1,624.51	77.2851	1,624.51	74.143	1,624.51	75.9923
1,681.64	77.1863	1,681.64	72.293	1,681.64	75.3952
1,741.7	76.9035	1,741.7	69.6858	1,741.7	74.6479
1,803.22	76.4682	1,803.22	69.1262	1,803.22	74.1929
1,866.21	76.2859	1,866.21	69.8883	1,866.21	74.1719
1,932.13	76.2815	1,932.13	69.2423	1,932.13	74.0548
1,999.51	76.6556	1,999.51	70.4807	1,999.51	74.5839
2,069.82	76.516	2,069.82	72.0542	2,069.82	74.8345
2,143.07	76.5328	2,143.07	72.653	2,143.07	75.0125
2,219.24	76.9989	2,219.24	73.0723	2,219.24	75.465
2,296.88	77.4374	2,296.88	72.8827	2,296.88	75.7316
2,378.91	77.5498	2,378.91	72.9316	2,378.91	75.8277
2,462.4	77.447	2,462.4	74.1189	2,462.4	76.0943
2,548.83	77.4671	2,548.83	74.6298	2,548.83	76.2762
2,639.65	77.4152	2,639.65	74.6623	2,639.65	76.2533
2,731.93	77.6256	2,731.93	75.5692	2,731.93	76.718
2,828.61	77.5836	2,828.61	76.0688	2,828.61	76.8919
2,928.22	77.3066	2,928.22	76.3311	2,928.22	76.8462
3,030.76	77.2468	3,030.76	76.4312	3,030.76	76.8582
3,137.7	77.2763	3,137.7	76.3677	3,137.7	76.8457
3,249.02	77.8301	3,249.02	75.5763	3,249.02	76.8478
3,363.28	78.1536	3,363.28	74.7735	3,363.28	76.7844
3,481.93	78.3535	3,481.93	74.3295	3,481.93	76.7918
3,604.98	78.5125	3,604.98	74.3803	3,604.98	76.9203
3,732.42	78.4629	3,732.42	75.1252	3,732.42	77.1071
3,864.26	78.1778	3,864.26	75.4152	3,864.26	77.0125
4,000.49	77.7184	4,000.49	75.5099	4,000.49	76.7531
4,141.11	77.7313	4,141.11	75.2128	4,141.11	76.6521
4,287.6	77.5212	4,287.6	74.5685	4,287.6	76.2911
4,438.48	77.4917	4,438.48	73.9747	4,438.48	76.0799
4,595.21	77.5613	4,595.21	73.698	4,595.21	76.0458
4,756.35	77.1239	4,756.35	73.2383	4,756.35	75.6019
4,924.8	76.9158	4,924.8	73.4422	4,924.8	75.5174
5,097.66	76.4848	5,097.66	73.1588	5,097.66	75.1327
5,277.83	76.1128	5,277.83	72.3769	5,277.83	74.6348
5,463.87	75.6542	5,463.87	71.8134	5,463.87	74.1453
5,657.23	75.263	5,657.23	70.6554	5,657.23	73.5436
5,856.45	75.128	5,856.45	71.1265	5,856.45	73.5727
6,062.99	75.0746	6,062.99	71.3784	6,062.99	73.6084
6,276.86	75.2623	6,276.86	71.6798	6,276.86	73.8304
6,498.05	75.7793	6,498.05	71.6806	6,498.05	74.1965
6,726.56	76.1081	6,726.56	71.7965	6,726.56	74.4667
6,963.87	76.4027	6,963.87	72.1188	6,963.87	74.7688
7,209.96	76.5804	7,209.96	72.4464	7,209.96	74.9878
7,464.84	76.6581	7,464.84	72.2528	7,464.84	74.9916
7,727.05	76.55	7,727.05	72.4197	7,727.05	74.9584
7,999.51	76.3935	7,999.51	72.5144	7,999.51	74.8734
8,282.23	76.2416	8,282.23	72.515	8,282.23	74.7663
8,573.73	76.0787	8,573.73	72.5875	8,573.73	74.6748
8,876.95	75.9001	8,876.95	72.4679	8,876.95	74.5146
9,188.96	76.2903	9,188.96	72.3717	9,188.96	74.7588
9,514.16	76.4425	9,514.16	72.2682	9,514.16	74.8387
9,849.61	77.0835	9,849.61	72.0522	9,849.61	75.259
10,196.8	77.5161	10,196.8	71.8803	10,196.8	75.5546
10,555.7	77.2604	10,555.7	71.6354	10,555.7	75.3012
10,927.7	77.4112	10,927.7	71.2064	10,927.7	75.3337
11,313	77.1856	11,313	71.0624	11,313	75.1241
11,712.9	76.6338	11,712.9	70.6924	11,712.9	74.6085
12,126	76.4724	12,126	70.1905	12,126	74.3802
12,553.7	76.867	12,553.7	69.8759	12,553.7	74.6482
12,996.1	77.3104	12,996.1	69.9269	12,996.1	75.0287
13,454.6	77.956	13,454.6	70.0034	13,454.6	75.5911
13,929.2	77.9559	13,929.2	70.3548	13,929.2	75.6413
14,419.9	78.4005	14,419.9	70.2263	14,419.9	76.0057
14,928.2	77.9467	14,928.2	69.8541	14,928.2	75.5628
15,455.6	77.8997	15,455.6	70.0054	15,455.6	75.543
16,000.5	78.4986	16,000.5	70.1199	16,000.5	76.0773
16,564.5	79.0178	16,564.5	69.7149	16,564.5	76.4896
17,148.9	78.8053	17,148.9	69.5821	17,148.9	76.2855
17,752.4	78.2252	17,752.4	69.1001	17,752.4	75.716
18,379.4	77.2879	18,379.4	68.3801	18,379.4	74.803
19,026.9	76.3563	19,026.9	66.5502	19,026.9	73.7779
19,697.8	75.1943	19,697.8	64.3014	19,697.8	72.5239
19,999.5	74.7281	19,999.5	63.2082	19,999.5	72.0135
