"Estimated In-Room Response"	
"Estimated In-Room Response"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	61.1488
21.9727	60.5715
23.4375	62.1886
24.9023	62.9054
26.3672	63.5567
27.832	64.5349
29.2969	65.2678
30.7617	66.079
32.2266	67.0008
33.6914	67.4741
35.1562	68.0526
36.6211	69.0013
38.0859	69.3975
39.5508	70.2595
41.0156	70.7205
42.4805	71.2762
43.9453	71.8273
45.4102	72.5321
46.875	73.1734
48.3398	74.1771
51.2695	74.5331
52.7344	75.3592
54.1992	75.7824
55.6641	75.9709
58.5938	77.2998
60.0586	77.7021
62.9883	78.4344
64.4531	78.8601
67.3828	79.6879
68.8477	80.0802
71.7773	80.8918
74.707	81.6036
77.6367	82.3079
79.1016	82.6704
82.0312	83.2957
84.9609	83.6611
87.8906	84.1557
90.8203	84.8455
95.2148	85.546
98.1445	85.9898
101.074	86.256
105.469	86.5596
108.398	86.8381
112.793	87.2816
117.188	87.5571
120.117	87.6886
124.512	87.9543
128.906	88.0866
133.301	88.1255
139.16	88.264
143.555	88.2315
147.949	88.224
153.809	88.1669
159.668	88.2781
165.527	88.3152
171.387	88.1696
177.246	88.0066
183.105	87.7751
188.965	87.6326
196.289	87.5555
203.613	87.5351
210.938	87.4526
218.262	87.2978
225.586	87.0764
232.91	86.9601
241.699	86.7801
250.488	86.4693
259.277	86.4787
268.066	86.0294
276.855	85.8933
287.109	85.8418
297.363	85.482
307.617	85.4482
319.336	85.2615
329.59	85.0913
341.309	84.8333
353.027	84.7202
366.211	84.6756
379.395	84.8473
392.578	84.6443
405.762	84.2773
420.41	84.3172
435.059	83.6021
451.172	84.9009
465.82	84.5816
483.398	84.5476
499.512	84.3645
517.09	84.6761
536.133	83.9915
555.176	84.623
574.219	85.3396
594.727	84.5857
615.234	84.5693
637.207	85.0589
659.18	84.9782
682.617	84.8111
707.52	84.8249
732.422	84.7832
757.324	84.8468
785.156	84.813
811.523	84.479
840.82	84.6019
870.117	84.1539
900.879	83.7659
933.105	82.5706
965.332	81.7365
1,000.49	81.5244
1,035.64	83.198
1,072.27	82.917
1,108.89	83.1511
1,148.44	83.1483
1,189.45	84.0219
1,230.47	83.8998
1,274.41	83.6655
1,319.82	83.0698
1,366.7	82.7997
1,413.57	82.8848
1,463.38	83.1856
1,516.11	83.1053
1,568.85	83.3258
1,624.51	83.5635
1,681.64	82.7756
1,741.7	82.6313
1,803.22	83.0796
1,866.21	82.8411
1,932.13	83.4848
1,999.51	82.9753
2,069.82	82.7675
2,143.07	83.3549
2,219.24	83.7994
2,296.88	82.8543
2,378.91	81.7016
2,462.4	81.7279
2,548.83	82.6757
2,639.65	82.4439
2,731.93	81.586
2,828.61	81.393
2,928.22	81.5333
3,030.76	82.1273
3,137.7	82.7957
3,249.02	83.0382
3,363.28	82.7282
3,481.93	82.363
3,604.98	83.259
3,732.42	83.1033
3,864.26	82.4714
4,000.49	83.5013
4,141.11	83.0937
4,287.6	83.4123
4,438.48	83.405
4,595.21	83.9081
4,756.35	83.0061
4,924.8	82.9943
5,097.66	82.5622
5,277.83	82.7355
5,463.87	82.4362
5,657.23	82.4543
5,856.45	81.8691
6,062.99	82.0043
6,276.86	82.0084
6,498.05	82.1415
6,726.56	82.2885
6,963.87	81.7787
7,209.96	82.5771
7,464.84	81.4799
7,727.05	81.1982
7,999.51	81.0851
8,282.23	81.2603
8,573.73	81.499
8,876.95	81.4018
9,188.96	81.3232
9,514.16	80.6641
9,849.61	80.6639
10,196.8	80.4896
10,555.7	80.8507
10,927.7	81.3504
11,313	81.7558
11,712.9	81.9575
12,126	82.1974
12,553.7	82.0686
12,996.1	81.5338
13,454.6	80.8416
13,929.2	80.2581
14,419.9	79.9
14,928.2	79.6432
15,455.6	79.3968
16,000.5	79.2319
16,564.5	79.3735
17,148.9	79.9087
17,752.4	80.8591
18,379.4	81.9693
19,026.9	82.7382
19,697.8	83.1815
19,999.5	83.4617
