"Directivity Index"			
"Sound Power DI"		"Early Reflections DI"	
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
20.5078	-0.186078	20.5078	-0.0712111
21.9727	0.0603926	21.9727	0.0317658
23.4375	0.037996	23.4375	0.0308176
24.9023	0.09549	24.9023	0.0503302
26.3672	0.272478	26.3672	0.11522
27.832	0.269676	27.832	0.115089
29.2969	0.289933	29.2969	0.125019
30.7617	0.29202	30.7617	0.125498
32.2266	0.235541	32.2266	0.108749
33.6914	0.228992	33.6914	0.11163
35.1562	0.358306	35.1562	0.158461
36.6211	0.295658	36.6211	0.136918
38.0859	0.267319	38.0859	0.122972
39.5508	0.283912	39.5508	0.130875
41.0156	0.306805	41.0156	0.140676
42.4805	0.224503	42.4805	0.110812
43.9453	0.152972	43.9453	0.0883588
45.4102	0.147086	45.4102	0.0841632
46.875	0.332566	46.875	0.151953
48.3398	0.574624	48.3398	0.244722
51.2695	0.127109	51.2695	0.0699147
52.7344	0.0657018	52.7344	0.0545104
54.1992	0.200382	54.1992	0.106304
55.6641	0.315652	55.6641	0.153353
58.5938	0.346244	58.5938	0.162036
60.0586	0.303313	60.0586	0.144901
62.9883	0.30127	62.9883	0.145812
64.4531	0.320856	64.4531	0.152498
67.3828	0.344687	67.3828	0.162155
68.8477	0.344184	68.8477	0.162765
71.7773	0.330726	71.7773	0.159034
74.707	0.369602	74.707	0.175149
77.6367	0.370541	77.6367	0.175945
79.1016	0.383621	79.1016	0.179207
82.0312	0.308258	82.0312	0.146709
84.9609	-0.119397	84.9609	-0.000186257
87.8906	0.183399	87.8906	0.119468
90.8203	0.556682	90.8203	0.254944
95.2148	0.455797	95.2148	0.206572
98.1445	0.528524	98.1445	0.24411
101.074	0.488464	101.074	0.226612
105.469	0.385518	105.469	0.203518
108.398	0.432658	108.398	0.220093
112.793	0.568022	112.793	0.27214
117.188	0.520525	117.188	0.253689
120.117	0.556878	120.117	0.266683
124.512	0.505689	124.512	0.253375
128.906	0.539591	128.906	0.26813
133.301	0.456366	133.301	0.247891
139.16	0.552565	139.16	0.285869
143.555	0.559057	143.555	0.298899
147.949	0.581212	147.949	0.308527
153.809	0.579966	153.809	0.31116
159.668	0.666354	159.668	0.348898
165.527	0.639614	165.527	0.350153
171.387	0.671381	171.387	0.369541
177.246	0.734759	177.246	0.400061
183.105	0.779544	183.105	0.434836
188.965	0.859616	188.965	0.463328
196.289	0.967191	196.289	0.51783
203.613	1.21404	203.613	0.627379
210.938	1.15704	210.938	0.584467
218.262	1.04354	218.262	0.546794
225.586	1.07321	225.586	0.581542
232.91	1.26468	232.91	0.657578
241.699	1.31388	241.699	0.675217
250.488	1.50087	250.488	0.764109
259.277	1.3543	259.277	0.696465
268.066	1.43244	268.066	0.74977
276.855	1.68334	276.855	0.839731
287.109	1.7244	287.109	0.821736
297.363	1.73672	297.363	0.90697
307.617	1.93586	307.617	0.968573
319.336	1.77678	319.336	0.95332
329.59	2.01172	329.59	0.981298
341.309	1.96884	341.309	1.03454
353.027	2.39968	353.027	1.22975
366.211	2.47207	366.211	1.20366
