"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	61.0858	20.5078	60.9853	20.5078	61.0372	20.5078	61.1325	20.5078	61.3134	20.5078	61.1063
21.9727	60.8364	21.9727	60.2664	21.9727	60.6111	21.9727	60.5884	21.9727	60.519	21.9727	60.5802
23.4375	62.4509	23.4375	61.8699	23.4375	62.2178	23.4375	62.1902	23.4375	62.1471	23.4375	62.1881
24.9023	63.2031	24.9023	62.5869	24.9023	62.9681	24.9023	62.9206	24.9023	62.8244	24.9023	62.9191
26.3672	63.9988	26.3672	63.2369	26.3672	63.7233	26.3672	63.6017	26.3672	63.3198	26.3672	63.611
27.832	64.9775	27.832	64.2055	27.832	64.7002	27.832	64.579	27.832	64.3025	27.832	64.5881
29.2969	65.7228	29.2969	64.9428	29.2969	65.4458	29.2969	65.3104	29.2969	65.0189	29.2969	65.3241
30.7617	66.5371	30.7617	65.7496	30.7617	66.2582	30.7617	66.1224	30.7617	65.8308	30.7617	66.136
32.2266	67.426	32.2266	66.6515	32.2266	67.1485	32.2266	67.0302	32.2266	66.8013	32.2266	67.0427
33.6914	67.9148	33.6914	67.0903	33.6914	67.62	33.6914	67.4951	33.6914	67.2836	33.6914	67.5116
35.1562	68.5667	35.1562	67.7022	35.1562	68.2738	35.1562	68.0935	35.1562	67.7527	35.1562	68.1197
36.6211	69.4817	36.6211	68.6344	36.6211	69.1865	36.6211	69.031	36.6211	68.7523	36.6211	69.0535
38.0859	69.8616	38.0859	69.0304	38.0859	69.5647	38.0859	69.4286	38.0859	69.1678	38.0859	69.4452
39.5508	70.7447	39.5508	69.8766	39.5508	70.4372	39.5508	70.291	39.5508	70.0178	39.5508	70.31
41.0156	71.2078	41.0156	70.3494	41.0156	70.9121	41.0156	70.7532	41.0156	70.4653	41.0156	70.7754
42.4805	71.7488	42.4805	70.852	42.4805	71.4198	42.4805	71.2979	42.4805	71.0774	42.4805	71.3123
43.9453	72.2816	43.9453	71.3467	43.9453	71.9304	43.9453	71.8334	43.9453	71.69	43.9453	71.8449
45.4102	72.9743	45.4102	72.0709	45.4102	72.6308	45.4102	72.5393	45.4102	72.3955	45.4102	72.5494
46.875	73.6451	46.875	72.8666	46.875	73.3803	46.875	73.2011	46.875	72.8969	46.875	73.2331
48.3398	74.7939	48.3398	73.8764	48.3398	74.526	48.3398	74.2356	48.3398	73.7103	48.3398	74.288
51.2695	74.9319	51.2695	74.1183	51.2695	74.6175	51.2695	74.548	51.2695	74.4048	51.2695	74.5497
52.7344	75.7254	52.7344	74.9166	52.7344	75.4099	52.7344	75.3521	52.7344	75.2872	52.7344	75.3575
54.1992	76.1886	54.1992	75.4083	54.1992	75.9134	54.1992	75.7905	54.1992	75.619	54.1992	75.8105
55.6641	76.4615	55.6641	75.596	55.6641	76.1712	55.6641	75.9893	55.6641	75.714	55.6641	76.0226
58.5938	77.8025	58.5938	76.9444	58.5938	77.5169	58.5938	77.3266	58.5938	77.0124	58.5938	77.3597
60.0586	78.1793	60.0586	77.3384	60.0586	77.8938	60.0586	77.725	60.0586	77.451	60.0586	77.7532
62.9883	78.9125	62.9883	78.0668	62.9883	78.6254	62.9883	78.4536	62.9883	78.1881	62.9883	78.4841
64.4531	79.3381	64.4531	78.516	64.4531	79.0623	64.4531	78.8814	64.4531	78.5981	64.4531	78.9145
67.3828	80.1687	67.3828	79.3661	67.3828	79.9042	67.3828	79.7093	67.3828	79.4086	67.3828	79.7471
68.8477	80.5591	68.8477	79.7573	68.8477	80.2966	68.8477	80.1007	68.8477	79.8027	68.8477	80.1389
71.7773	81.3569	71.7773	80.5711	71.7773	81.1009	71.7773	80.9077	71.7773	80.6294	71.7773	80.9468
74.707	82.0868	74.707	81.2981	74.707	81.8358	74.707	81.6205	74.707	81.3116	74.707	81.6662
77.6367	82.7996	77.6367	82.0031	77.6367	82.5409	77.6367	82.3239	77.6367	82.0066	77.6367	82.3706
79.1016	83.1769	79.1016	82.3574	79.1016	82.9104	79.1016	82.6922	79.1016	82.3554	79.1016	82.7368
