"Estimated In-Room Response"
"Estimated In-Room Response"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	57.1644
23.4375	61.0313
26.3672	64.6818
29.2969	68.3178
32.2266	71.5691
35.1563	74.362
38.0859	76.6499
41.0156	78.3293
43.9453	79.6019
46.875	80.4938
49.8047	81.1978
52.7344	81.7755
55.6641	82.3011
58.5938	82.8152
61.5234	83.2106
64.4531	83.5841
67.3828	84.0125
70.3125	84.4057
73.2422	84.743
76.1719	85.1025
79.1016	85.3616
82.0313	85.6759
84.9609	85.8958
87.8906	86.0455
90.8203	86.072
93.75	86.3614
96.6797	86.5513
102.539	86.7158
105.469	86.7446
108.398	86.8247
111.328	86.9602
117.188	87.1048
120.117	87.2217
125.977	87.1886
128.906	87.1023
134.766	87.0861
137.695	87.0501
143.555	86.8837
149.414	86.8403
155.273	86.8305
158.203	86.8392
164.063	86.7853
169.922	86.5864
175.781	86.399
181.641	86.288
190.43	86.2121
196.289	86.1141
202.148	85.9852
210.938	85.8396
216.797	85.6644
225.586	85.6225
234.375	85.5758
240.234	85.3709
249.023	85.2098
257.813	85.2445
266.602	84.7843
278.32	84.6379
287.109	84.5569
295.898	84.5716
307.617	84.4333
319.336	84.2547
331.055	84.2803
342.773	84.1221
354.492	84.1518
366.211	84.217
377.93	84.2867
392.578	83.5761
407.227	83.3402
421.875	83.9955
436.523	84.1999
451.172	84.7798
465.82	84.8192
483.398	84.5173
500.977	84.4649
518.555	83.954
536.133	83.7869
553.711	83.7799
574.219	83.6229
594.727	83.1478
615.234	82.9563
638.672	84.0635
659.18	85.2329
682.617	85.6926
706.055	85.748
732.422	85.2459
758.789	85.2574
785.156	84.9276
811.523	84.5238
840.82	84.411
870.117	84.0607
902.344	83.9713
931.641	83.5498
966.797	83.0787
999.023	82.575
1,034.18	83.0655
1,072.27	83.3069
1,110.35	82.9162
1,148.44	82.8544
1,189.45	83.3001
1,230.47	83.4741
1,274.41	83.7113
1,318.36	83.7666
1,365.23	83.3657
1,415.04	82.8573
1,464.84	82.8198
1,514.65	82.8323
1,570.31	82.6849
1,623.05	82.3609
1,681.64	81.997
1,740.23	82.3877
1,801.76	82.6638
1,866.21	82.3484
1,930.66	81.5733
2,000.98	81.8098
2,071.29	82.167
2,144.53	81.7115
2,217.77	80.9713
2,296.88	81.725
2,378.91	82.4211
2,460.94	82.0347
2,548.83	82.1721
2,639.65	82.8977
2,733.4	83.0734
2,827.15	83.2742
2,926.76	83.3055
3,032.23	83.454
3,137.7	83.7689
3,249.02	83.6648
3,363.28	83.4911
3,483.4	83.6603
3,606.45	83.4244
3,732.42	83.1801
3,864.26	83.336
3,999.02	83.3515
4,139.65	83.1505
4,286.13	83.7166
4,438.48	83.8697
4,593.75	84.0136
4,757.81	83.9071
4,924.8	83.9954
5,097.66	83.9486
5,279.3	83.6243
5,463.87	83.6567
5,657.23	83.3944
5,856.45	83.5433
6,061.52	83.6723
6,275.39	83.8585
6,498.05	83.9242
6,726.56	83.816
6,963.87	83.7022
7,209.96	83.5189
7,464.84	83.4372
7,728.52	83.5509
8,000.98	83.8675
8,282.23	84.1714
8,575.2	84.1619
8,876.95	83.8875
9,190.43	83.5776
9,512.7	83.3797
9,849.61	83.3273
10,195.3	83.507
10,555.7	83.5932
10,927.7	83.5121
11,314.5	83.3317
11,712.9	82.9576
12,126	82.9381
12,553.7	82.983
12,996.1	82.875
13,453.1	82.6957
13,927.7	82.4525
14,419.9	82.3524
14,929.7	82.5254
15,454.1	82.7893
15,999	82.9186
16,564.5	82.6613
17,147.5	82.956
17,753.9	83.1806
18,377.9	82.9081
19,028.3	82.8228
19,699.2	83.0631
19,998	83.0954
