"Horizontal Reflections"
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	52.9112	20.5078	53.6964	20.5078	61.899	20.5078	59.6393
23.4375	57.304	23.4375	58.2465	23.4375	65.4252	23.4375	63.2851
26.3672	61.9359	26.3672	62.6359	26.3672	68.4895	26.3672	66.5712
29.2969	66.2282	29.2969	66.8223	29.2969	71.5657	29.2969	69.8771
32.2266	69.9211	32.2266	70.4494	32.2266	74.3371	32.2266	72.8594
35.1563	73.0328	35.1563	73.506	35.1563	76.7198	35.1563	75.4327
38.0859	75.5401	38.0859	75.9849	38.0859	78.6738	38.0859	77.5491
41.0156	77.37	41.0156	77.7975	41.0156	80.0936	41.0156	79.0992
43.9453	78.781	43.9453	79.1797	43.9453	81.1223	43.9453	80.254
46.875	79.7625	46.875	80.1492	46.875	81.8357	46.875	81.0619
49.8047	80.5473	49.8047	80.9166	49.8047	82.3777	49.8047	81.6911
52.7344	81.1875	52.7344	81.5441	52.7344	82.8231	52.7344	82.2089
55.6641	81.7678	55.6641	82.1102	55.6641	83.2328	55.6641	82.6829
58.5938	82.3328	58.5938	82.6603	58.5938	83.6374	58.5938	83.1487
61.5234	82.7633	61.5234	83.0827	61.5234	83.9513	61.5234	83.5087
64.4531	83.1837	64.4531	83.4839	64.4531	84.2275	64.4531	83.8405
67.3828	83.6543	67.3828	83.9353	67.3828	84.569	67.3828	84.2321
70.3125	84.0634	70.3125	84.3412	70.3125	84.9178	70.3125	84.606
73.2422	84.4259	73.2422	84.6954	73.2422	85.1987	73.2422	84.9203
76.1719	84.8114	76.1719	85.0692	76.1719	85.4991	76.1719	85.255
79.1016	85.0673	79.1016	85.333	79.1016	85.7504	79.1016	85.5104
82.0313	85.442	82.0313	85.6691	82.0313	85.9551	82.0313	85.7806
84.9609	85.7597	84.9609	85.9207	84.9609	85.9979	84.9609	85.9311
87.8906	85.8429	87.8906	86.0562	87.8906	86.2492	87.8906	86.1194
