* Measurement data measured by REW V5.20 Beta 53
* Source: C:\Users\Napie\Music\REW\Top Speakers\New Folder\13-SP.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 26, 2020 3:31:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Napie\Music\REW\Top Speakers\New Folder\13-SP.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 13-SP
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
80.000000	76.197746	125.0549
80.579712	76.315140	125.0928
81.163628	76.445732	125.0542
81.751770	76.629257	124.8462
82.344177	76.799690	124.5577
82.940880	76.881371	124.2188
83.541901	76.941887	123.9135
84.147285	77.029503	123.7820
84.757050	77.127800	123.6872
85.371231	77.252327	123.4702
85.989868	77.354843	123.3331
86.612984	77.345963	123.4859
87.240616	77.363884	123.7484
87.872803	77.573029	124.0204
88.509560	77.807549	124.2686
89.150940	77.906494	124.4194
89.796967	78.016708	124.4939
90.447670	78.276611	124.5247
91.103088	78.553467	124.4034
91.763260	78.744034	123.9449
92.428215	78.895737	123.4100
93.097992	79.009911	123.0410
93.772614	79.122749	122.7136
94.452133	79.296776	122.3372
95.136566	79.454727	122.0494
95.825966	79.489243	122.0137
96.520363	79.551781	122.0649
97.219788	79.815140	122.1205
97.924286	80.110420	122.0942
98.633881	80.287544	121.8262
99.348625	80.459641	121.4528
100.068542	80.707230	121.1310
100.793686	80.980316	120.6415
101.524078	81.276031	119.7322
102.259766	81.532455	118.6548
103.000778	81.651421	117.5627
103.747162	81.737823	116.5040
104.498962	81.885841	115.6025
105.256203	82.031746	114.7825
106.018929	82.123764	114.0134
106.787186	82.218796	113.2824
107.561012	82.372902	112.5905
108.340446	82.537750	111.8662
109.125526	82.681648	111.0027
109.916290	82.809784	110.1056
110.712791	82.909569	109.2519
111.515060	83.002808	108.4227
112.323143	83.114525	107.6251
113.137085	83.222786	106.8566
113.956924	83.309311	106.0957
114.782700	83.387810	105.4056
115.614464	83.454903	104.8850
116.452255	83.543800	104.4069
117.296112	83.705109	103.8933
118.146095	83.883636	103.2934
119.002228	84.038719	102.4885
119.864563	84.176659	101.6034
120.733154	84.286263	100.7087
121.608040	84.379814	99.8497
122.489258	84.458000	99.1195
123.376869	84.544762	98.4456
124.270905	84.671844	97.8142
125.171425	84.816742	97.1413
126.078468	84.976883	96.2921
126.992081	85.123718	95.4039
127.912323	85.200531	94.6050
128.839233	85.288780	93.7896
129.772842	85.482597	92.9249
130.713242	85.688614	91.9182
131.660431	85.842628	90.5726
132.614502	85.949768	89.1678
133.575485	85.966171	87.9526
134.543427	85.974960	86.8280
135.518387	86.070877	85.8105
136.500412	86.176811	84.7989
137.489548	86.241516	83.6420
138.485855	86.280945	82.5047
139.489380	86.286438	81.4902
140.500168	86.281006	80.6336
141.518295	86.269798	80.0787
142.543793	86.297844	79.6012
143.576721	86.445915	79.0211
144.617142	86.612656	78.3466
145.665100	86.702126	77.4731
146.720642	86.776794	76.5614
147.783844	86.860435	75.8183
148.854752	86.974640	75.0043
149.933411	87.183647	73.9133
151.019897	87.383575	72.6463
152.114243	87.459732	71.2052
153.216522	87.506882	69.6843
154.326797	87.603943	68.1906
155.445114	87.685860	66.6884
156.571533	87.697197	65.1528
157.706116	87.686020	63.6553
158.848923	87.685997	62.2916
160.000000	87.685997	60.9652
161.159424	87.696304	59.5726
162.327255	87.686058	58.2279
163.503540	87.603699	57.0328
164.688354	87.521156	55.9233
165.881760	87.521049	54.8671
167.083801	87.521034	53.8696
168.294571	87.438232	52.9177
169.514099	87.355171	52.0350
170.742462	87.344620	51.2794
171.979736	87.354965	50.5350
173.225967	87.353378	49.6967
174.481232	87.354988	48.7882
175.745605	87.374710	47.7759
177.019119	87.381012	46.7275
178.301880	87.328773	45.7173
179.593933	87.273125	44.6916
180.895340	87.282051	43.6013
182.206177	87.273071	42.5056
183.526520	87.161987	41.3969
184.856430	87.020332	40.4260
186.195984	86.882980	39.8298
187.545227	86.777191	39.3441
188.904266	86.777290	38.7498
190.273132	86.777054	38.1435
191.651932	86.658531	37.5245
193.040726	86.529327	36.9684
194.439575	86.478416	36.5923
195.848572	86.446083	36.2719
197.267761	86.394447	35.8995
198.697250	86.345108	35.5388
200.137085	86.306770	35.2365
201.587372	86.281036	34.9387
203.048157	86.276993	34.6065
204.519531	86.280983	34.2402
