"Estimated In-Room Response"
"Estimated In-Room Response"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	55.9468
21.9727	56.1278
23.4375	56.5998
24.9023	56.8528
26.3672	56.6814
27.832	56.4423
29.2969	58.33
30.7617	56.9483
32.2266	55.0217
33.6914	57.9871
35.1563	60.8111
36.6211	63.1589
38.0859	62.784
39.5508	64.7153
41.0156	69.2709
42.4805	70.6788
43.9453	70.808
45.4102	70.6949
46.875	70.8896
48.3398	71.8296
51.2695	72.9007
52.7344	73.1
54.1992	73.4066
55.6641	74.0492
58.5938	74.7451
60.0586	75.0996
62.9883	75.6952
64.4531	75.9051
67.3828	76.565
68.8477	77.0023
71.7773	77.7492
74.707	77.8375
77.6367	78.4434
79.1016	79.0041
82.0313	79.4308
84.9609	79.6901
87.8906	80.1395
90.8203	80.3623
95.2148	81.3967
98.1445	81.5425
101.074	81.8696
105.469	82.232
108.398	82.4077
112.793	82.8447
117.188	83.4198
120.117	84.1139
124.512	84.1719
128.906	84.02
133.301	84.0791
139.16	84.5333
143.555	84.624
147.949	84.7027
153.809	84.981
159.668	85.174
165.527	85.2123
171.387	85.1754
177.246	85.3411
183.105	85.1857
188.965	85.2011
196.289	85.382
203.613	85.2784
210.938	85.191
218.262	85.2182
225.586	85.1654
232.91	85.0463
241.699	84.9445
250.488	84.7485
259.277	84.9003
268.066	84.5646
276.855	84.529
287.109	84.7569
297.363	84.5569
307.617	84.5736
319.336	84.3125
329.59	84.3557
341.309	84.309
353.027	84.1759
366.211	84.2317
379.395	84.3807
392.578	84.2085
405.762	84.0107
420.41	84.0736
435.059	83.9522
451.172	84.4263
465.82	84.9158
483.398	84.824
499.512	84.7043
517.09	84.772
536.133	84.1818
555.176	84.2381
574.219	84.023
594.727	83.8146
615.234	84.1458
637.207	84.3846
659.18	84.3771
682.617	84.6006
707.52	84.6548
732.422	84.474
757.324	84.5283
785.156	84.5767
811.523	84.2837
840.82	84.5294
870.117	84.2663
900.879	84.5122
933.105	84.4838
965.332	84.4129
1,000.49	83.749
1,035.64	83.3439
1,072.27	82.4242
1,108.89	82.1183
1,148.44	82.4374
1,189.45	82.7645
1,230.47	83.384
1,274.41	83.6653
1,319.82	83.4259
1,366.7	83.3027
1,413.57	83.1437
1,463.38	82.8045
1,516.11	82.8331
1,568.85	82.9301
1,624.51	82.6488
1,681.64	82.0566
1,741.7	81.7661
1,803.22	81.9175
1,866.21	81.8906
1,932.13	81.0585
1,999.51	80.7392
2,069.82	81.3858
2,143.07	81.4701
2,219.24	80.8684
2,296.88	81.3267
2,378.91	82.1962
2,462.4	81.7686
2,548.83	81.4951
2,639.65	81.7988
2,731.93	81.8978
2,828.61	81.9936
2,928.22	82.3637
3,030.76	82.2309
3,137.7	82.4205
3,249.02	82.2315
3,363.28	82.3389
3,481.93	82.2579
3,604.98	82.3136
3,732.42	81.9788
3,864.26	81.8595
4,000.49	81.6154
4,141.11	81.5514
4,287.6	81.1073
4,438.48	81.4136
4,595.21	81.4772
4,756.35	81.6976
4,924.8	81.6862
5,097.66	81.7681
5,277.83	81.7943
5,463.87	81.5862
5,657.23	81.6421
5,856.45	81.5994
6,062.99	81.7133
6,276.86	82.365
6,498.05	83.2268
6,726.56	83.8286
6,963.87	83.6435
7,209.96	83.2615
7,464.84	82.9322
7,727.05	82.8199
7,999.51	82.9973
8,282.23	83.4028
8,573.73	83.4072
8,876.95	83.133
9,188.96	82.9515
9,514.16	82.7464
9,849.61	82.5951
10,196.8	82.592
10,555.7	82.5526
10,927.7	82.1746
11,313	81.4806
11,712.9	80.2558
12,126	78.7498
12,553.7	78.9846
12,996.1	82.909
13,454.6	84.7976
13,929.2	85.2475
14,419.9	85.0986
14,928.2	83.5541
15,455.6	80.8355
16,000.5	78.6651
16,564.5	79.5297
17,148.9	78.7485
17,752.4	78.8652
18,379.4	78.9835
19,026.9	78.812
19,697.8	78.7258
19,999.5	78.4628
