"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	46.2596	20.5078	42.0964	20.5078	45.6672	20.5078	42.5316	20.5078	44.5036	20.5078	44.2843
21.9727	40.7672	21.9727	39.1886	21.9727	38.9578	21.9727	39.4794	21.9727	49.2181	21.9727	42.4306
23.4375	35.8323	23.4375	45.2893	23.4375	31.129	23.4375	43.6213	23.4375	54.225	23.4375	46.4415
24.9023	50.6452	24.9023	50.8813	24.9023	50.1059	24.9023	50.7295	24.9023	57.3508	24.9023	52.1298
26.3672	55.1455	26.3672	56.4253	26.3672	55.0144	26.3672	56.2589	26.3672	61.1206	26.3672	56.8636
27.832	58.1043	27.832	58.3063	27.832	57.7395	27.832	58.3874	27.832	63.1739	27.832	59.1256
29.2969	61.3215	29.2969	62.4169	29.2969	61.2665	29.2969	62.27	29.2969	66.4496	29.2969	62.7329
30.7617	64.3959	30.7617	65.8582	30.7617	64.5788	30.7617	65.7112	30.7617	69.2651	30.7617	65.9568
32.2266	68.0883	32.2266	68.3678	32.2266	67.9425	32.2266	68.5765	32.2266	71.5776	32.2266	68.8322
33.6914	70.4689	33.6914	70.8195	33.6914	70.275	33.6914	71.0329	33.6914	73.6778	33.6914	71.1784
35.1562	72.142	35.1562	72.7073	35.1562	72.013	35.1562	72.856	35.1562	75.7083	35.1562	73.0191
36.6211	74.7834	36.6211	75.4464	36.6211	74.7416	36.6211	75.5296	36.6211	77.9047	36.6211	75.6109
38.0859	77.2132	38.0859	77.6548	38.0859	77.1337	38.0859	77.7956	38.0859	79.8241	38.0859	77.8494
39.5508	78.9675	39.5508	79.3063	39.5508	78.8697	39.5508	79.4756	39.5508	81.3245	39.5508	79.5146
