"Horizontal Reflections"
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	45.3209	20.5078	45.8264	20.5078	46.5706	20.5078	46.1497
21.9727	46.0656	21.9727	46.58	21.9727	47.5961	21.9727	47.0621
23.4375	52.6038	23.4375	52.6497	23.4375	52.8614	23.4375	52.754
24.9023	50.322	24.9023	50.8259	24.9023	52.6212	24.9023	51.7911
26.3672	49.7218	26.3672	49.7025	26.3672	49.6498	26.3672	49.6786
27.832	53.983	27.832	53.8118	27.832	53.225	27.832	53.5482
29.2969	55.197	29.2969	55.096	29.2969	54.8005	29.2969	54.9631
30.7617	57.5297	30.7617	57.3375	30.7617	56.671	30.7617	57.0396
32.2266	59.7677	32.2266	59.6201	32.2266	59.1226	32.2266	59.3955
33.6914	61.4276	33.6914	61.3474	33.6914	61.0516	33.6914	61.2101
35.1562	62.6809	35.1562	62.5886	35.1562	62.2592	35.1562	62.4367
36.6211	64.3371	36.6211	64.2151	36.6211	63.7966	36.6211	64.0245
38.0859	65.7609	38.0859	65.6399	38.0859	65.2154	38.0859	65.446
39.5508	67.1574	39.5508	67.0458	39.5508	66.6594	39.5508	66.8691
41.0156	67.6231	41.0156	67.555	41.0156	67.2317	41.0156	67.4012
42.4805	69.7838	42.4805	69.6779	42.4805	69.4545	42.4805	69.5828
43.9453	70.4407	43.9453	70.3391	43.9453	70.0846	43.9453	70.2272
45.4102	71.4075	45.4102	71.2978	45.4102	71.0281	45.4102	71.1798
46.875	72.2881	46.875	72.1926	46.875	71.9753	46.875	72.0985
48.3398	73.129	48.3398	73.0258	48.3398	72.8005	48.3398	72.9292
51.2695	74.9055	51.2695	74.7744	51.2695	74.457	51.2695	74.6366
52.7344	75.4911	52.7344	75.3497	52.7344	75.007	52.7344	75.2012
54.1992	76.059	54.1992	75.9319	54.1992	75.6241	54.1992	75.7981
55.6641	76.6046	55.6641	76.4703	55.6641	76.1536	55.6641	76.3335
58.5938	77.4612	58.5938	77.3253	58.5938	77.0141	58.5938	77.1916
60.0586	77.8237	60.0586	77.6821	60.0586	77.3748	60.0586	77.5516
62.9883	78.551	62.9883	78.4036	62.9883	78.0765	62.9883	78.2642
64.4531	78.8219	64.4531	78.6774	64.4531	78.3574	64.4531	78.541
67.3828	79.2764	67.3828	79.1253	67.3828	78.8153	67.3828	78.9954
68.8477	79.5227	68.8477	79.3611	68.8477	79.0236	68.8477	79.2194
71.7773	80.0489	71.7773	79.8786	71.7773	79.5204	71.7773	79.7284
74.707	80.5233	74.707	80.3559	74.707	80.007	74.707	80.2097
77.6367	80.8302	77.6367	80.6639	77.6367	80.3299	77.6367	80.525
79.1016	80.993	79.1016	80.82	79.1016	80.4819	79.1016	80.6804
82.0312	81.4988	82.0312	81.3135	82.0312	80.9591	82.0312	81.1683
84.9609	81.857	84.9609	81.674	84.9609	81.3128	84.9609	81.5249
87.8906	82.0663	87.8906	81.8989	87.8906	81.6135	87.8906	81.7848
