"Estimated In-Room Response"
"Estimated In-Room Response"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	61.4483
21.9727	64.0735
23.4375	67.6768
24.9023	68.3508
26.3672	72.3666
27.832	74.0662
29.2969	76.5258
30.7617	78.3389
32.2266	80.393
33.6914	82.4665
35.1562	84.2935
36.6211	85.8343
38.0859	87.2835
39.5508	88.5414
41.0156	89.4623
42.4805	90.2889
43.9453	90.9444
45.4102	91.5556
46.875	91.9485
48.3398	92.3506
51.2695	92.8495
52.7344	93.0321
54.1992	93.2516
55.6641	93.3366
58.5938	93.534
60.0586	93.6532
62.9883	93.7994
64.4531	93.8337
67.3828	93.8085
68.8477	93.8701
71.7773	93.9898
74.707	94.0952
77.6367	94.1256
79.1016	94.1424
82.0312	94.1275
84.9609	94.1268
87.8906	94.157
90.8203	94.0732
95.2148	94.1761
98.1445	94.1467
101.074	94.0122
105.469	94.1119
108.398	94.3202
112.793	94.2854
117.188	94.1264
120.117	94.1701
124.512	94.1386
128.906	93.9264
133.301	93.8923
139.16	93.9141
143.555	93.8479
147.949	93.6112
153.809	93.5292
159.668	93.6679
165.527	93.7056
171.387	93.5687
177.246	93.4203
183.105	93.1156
188.965	93.1171
196.289	93.1908
203.613	93.0403
210.938	92.6716
218.262	92.5394
225.586	92.8874
232.91	92.6925
241.699	92.5023
250.488	92.7551
259.277	92.8793
268.066	92.396
276.855	92.3691
287.109	92.203
297.363	92.4354
307.617	92.1054
319.336	92.233
329.59	92.1677
341.309	92.2058
353.027	92.238
366.211	92.3943
379.395	92.7861
392.578	91.9141
405.762	91.7124
420.41	91.6797
435.059	91.6394
451.172	91.4343
465.82	91.0594
483.398	90.8205
499.512	91.1475
517.09	91.3293
536.133	91.2939
555.176	90.8394
574.219	90.861
594.727	89.6348
615.234	88.0981
637.207	91.9653
659.18	91.7506
682.617	91.6684
707.52	91.2523
732.422	89.5607
757.324	89.2755
785.156	90.5836
811.523	91.2151
840.82	92.0609
870.117	92.5292
900.879	92.8795
933.105	92.463
965.332	92.5311
1,000.49	91.8226
1,035.64	91.5831
1,072.27	90.4707
1,108.89	89.8732
1,148.44	89.4589
1,189.45	89.4425
1,230.47	89.5325
1,274.41	89.4974
1,319.82	89.8972
1,366.7	89.6312
1,413.57	89.1088
1,463.38	88.5396
1,516.11	87.6648
1,568.85	87.1553
1,624.51	87.8313
1,681.64	88.5499
1,741.7	89.3851
1,803.22	89.1222
1,866.21	88.3603
1,932.13	87.9145
1,999.51	88.6415
2,069.82	89.3796
2,143.07	89.2934
2,219.24	88.1463
2,296.88	87.5903
2,378.91	88.1735
2,462.4	89.625
2,548.83	90.1323
2,639.65	89.6366
2,731.93	88.8489
2,828.61	89.2776
2,928.22	89.9742
3,030.76	90.0712
3,137.7	89.6639
3,249.02	89.1839
3,363.28	89.4757
3,481.93	90.0508
3,604.98	90.4958
3,732.42	90.7443
3,864.26	89.7155
4,000.49	89.3054
4,141.11	89.4179
4,287.6	89.1384
4,438.48	89.1472
4,595.21	88.9751
4,756.35	89.7827
4,924.8	89.9935
5,097.66	90.0349
5,277.83	90.2845
5,463.87	90.2553
5,657.23	90.125
5,856.45	89.8986
6,062.99	90.2152
6,276.86	90.0343
6,498.05	90.3918
6,726.56	90.318
6,963.87	90.4523
7,209.96	90.7098
7,464.84	90.2134
7,727.05	90.5294
7,999.51	90.0028
8,282.23	89.9192
8,573.73	89.2299
8,876.95	88.6941
9,188.96	87.8077
9,514.16	88.0328
9,849.61	88.194
10,196.8	88.2216
10,555.7	87.7338
10,927.7	87.6915
11,313	88.7486
11,712.9	89.2567
12,126	89.3191
12,553.7	89.5631
12,996.1	89.8206
13,454.6	90.0929
13,929.2	90.5011
14,419.9	90.6598
14,928.2	89.8738
15,455.6	88.8311
16,000.5	88.3573
16,564.5	88.837
17,148.9	89.2674
17,752.4	89.4038
18,379.4	87.3325
19,026.9	85.2859
19,697.8	83.7312
19,999.5	81.979
