"Directivity Index"
"Sound Power DI"		"Early Reflections DI"
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
20.5078	-0.648921	20.5078	0.243088
21.9727	-0.452141	21.9727	0.379553
23.4375	-0.766057	23.4375	0.299733
24.9023	-1.32249	24.9023	0.0281513
26.3672	-1.39884	26.3672	-0.103582
27.832	-1.27777	27.832	-0.10389
29.2969	-1.15329	29.2969	-0.101627
30.7617	-1.19343	30.7617	-0.163362
32.2266	-1.04471	32.2266	-0.139971
33.6914	-1.00347	33.6914	-0.154908
35.1563	-0.964653	35.1563	-0.168053
36.6211	-0.924211	36.6211	-0.183394
38.0859	-0.843787	38.0859	-0.174938
39.5508	-0.825484	39.5508	-0.189667
41.0156	-0.712114	41.0156	-0.164469
42.4805	-0.657531	42.4805	-0.151511
43.9453	-0.60582	43.9453	-0.14406
45.4102	-0.562125	45.4102	-0.137227
46.875	-0.573443	46.875	-0.153307
48.3398	-0.584207	48.3398	-0.169933
51.2695	-0.466155	51.2695	-0.143022
52.7344	-0.423825	52.7344	-0.134606
54.1992	-0.409923	54.1992	-0.135667
55.6641	-0.339257	55.6641	-0.113923
58.5938	-0.319816	58.5938	-0.115417
60.0586	-0.317371	60.0586	-0.118844
62.9883	-0.282381	62.9883	-0.113123
64.4531	-0.270374	64.4531	-0.111784
67.3828	-0.244344	67.3828	-0.107162
68.8477	-0.227025	68.8477	-0.103084
71.7773	-0.186525	71.7773	-0.0915074
74.707	-0.144419	74.707	-0.0790495
77.6367	-0.134852	77.6367	-0.0786088
79.1016	-0.120552	79.1016	-0.0744102
82.0313	-0.0890382	82.0313	-0.0644206
84.9609	-0.095433	84.9609	-0.0679976
87.8906	-0.0408961	87.8906	-0.0481987
90.8203	0.0154566	90.8203	-0.028322
95.2148	0.0435814	95.2148	-0.0179333
98.1445	0.0398002	98.1445	-0.0178326
101.074	0.0924453	101.074	0.00181916
105.469	0.118871	105.469	0.0135075
108.398	0.149674	108.398	0.0247905
112.793	0.204306	112.793	0.0494499
117.188	0.249867	117.188	0.0692199
120.117	0.25994	120.117	0.0755934
124.512	0.279046	124.512	0.086579
128.906	0.358314	128.906	0.121609
133.301	0.380885	133.301	0.13082
139.16	0.405529	139.16	0.145311
143.555	0.458591	143.555	0.171547
147.949	0.526876	147.949	0.202678
153.809	0.619976	153.809	0.241674
159.668	0.65354	159.668	0.254995
165.527	0.637448	165.527	0.25633
171.387	0.695073	171.387	0.288137
177.246	0.750549	177.246	0.314851
183.105	0.913112	183.105	0.388978
188.965	1.06117	188.965	0.413907
196.289	0.948267	196.289	0.373088
203.613	0.994891	203.613	0.421897
210.938	1.11305	210.938	0.467361
218.262	1.1433	218.262	0.477306
225.586	1.19666	225.586	0.537835
232.91	1.5654	232.91	0.655022
241.699	1.47512	241.699	0.569048
250.488	1.53683	250.488	0.671344
259.277	1.67344	259.277	0.762647
268.066	1.62934	268.066	0.782289
276.855	2.11682	276.855	0.931774
287.109	2.09437	287.109	0.840921
297.363	2.1482	297.363	0.895737
307.617	2.19336	307.617	0.828003
319.336	2.12257	319.336	0.8336
329.59	2.20535	329.59	0.823901
341.309	2.09584	341.309	0.790713
353.027	2.48271	353.027	0.999772
366.211	2.56862	366.211	0.922362
379.395	2.66063	379.395	0.917292
392.578	2.11827	392.578	0.68847
405.762	2.25532	405.762	0.899723
420.41	3.08699	420.41	1.19651
435.059	2.52442	435.059	0.89348
451.172	3.25717	451.172	1.30066
465.82	3.27833	465.82	1.14153
483.398	3.03373	483.398	1.16605
499.512	3.29317	499.512	1.40216
517.09	3.69524	517.09	1.51147
536.133	3.8537	536.133	1.87735
555.176	4.4695	555.176	1.76644
574.219	4.13877	574.219	1.55921
594.727	4.09208	594.727	1.52995
615.234	4.41613	615.234	1.78172
637.207	4.2656	637.207	1.68168
659.18	4.70731	659.18	1.9521
682.617	4.46874	682.617	1.80443
707.52	4.4232	707.52	1.69929
732.422	4.61023	732.422	1.81392
757.324	4.50499	757.324	1.76662
785.156	4.67272	785.156	1.82584
811.523	4.65117	811.523	1.94248
840.82	4.81143	840.82	1.99848
870.117	4.78922	870.117	1.98716
900.879	5.02744	900.879	2.09463
933.105	5.24559	933.105	2.21607
965.332	5.4483	965.332	2.45901
1,000.49	5.81946	1,000.49	2.61941
1,035.64	5.99397	1,035.64	2.76261
1,072.27	6.06631	1,072.27	2.70228
1,108.89	5.77925	1,108.89	2.52573
1,148.44	5.88798	1,148.44	2.52411
1,189.45	5.91267	1,189.45	2.6338
1,230.47	6.11492	1,230.47	2.73227
1,274.41	6.19821	1,274.41	2.67359
1,319.82	6.26398	1,319.82	2.63687
1,366.7	6.22111	1,366.7	2.61823
1,413.57	6.49578	1,413.57	2.86126
1,463.38	7.05708	1,463.38	3.23861
1,516.11	7.34449	1,516.11	3.28709
1,568.85	7.42335	1,568.85	3.21375
1,624.51	7.53678	1,624.51	3.37645
1,681.64	7.76238	1,681.64	3.55884
1,741.7	8.03945	1,741.7	3.61542
1,803.22	8.07134	1,803.22	3.76286
1,866.21	7.70653	1,866.21	3.80901
1,932.13	6.61647	1,932.13	3.12532
1,999.51	6.12603	1,999.51	2.69585
2,069.82	5.63654	2,069.82	2.41191
2,143.07	5.65213	2,143.07	2.46744
2,219.24	5.87504	2,219.24	2.4985
2,296.88	5.52625	2,296.88	2.2779
2,378.91	5.26537	2,378.91	1.97832
2,462.4	5.34301	2,462.4	1.98263
2,548.83	5.00212	2,548.83	1.91056
2,639.65	5.35753	2,639.65	1.99634
2,731.93	5.35378	2,731.93	2.04611
2,828.61	4.99549	2,828.61	1.85708
2,928.22	5.27058	2,928.22	1.92291
3,030.76	4.85705	3,030.76	1.66726
3,137.7	4.62264	3,137.7	1.56856
3,249.02	4.51737	3,249.02	1.50637
3,363.28	4.4802	3,363.28	1.34289
3,481.93	4.62225	3,481.93	1.33553
3,604.98	4.49626	3,604.98	1.15387
3,732.42	4.45374	3,732.42	1.08466
3,864.26	4.49826	3,864.26	1.01599
4,000.49	4.25533	4,000.49	0.840872
4,141.11	4.51653	4,141.11	1.03976
4,287.6	4.77279	4,287.6	1.23494
4,438.48	5.21836	4,438.48	1.49502
4,595.21	5.5647	4,595.21	1.73131
4,756.35	5.72651	4,756.35	1.92065
4,924.8	5.55157	4,924.8	1.86411
5,097.66	5.77677	5,097.66	2.0172
5,277.83	5.90092	5,277.83	2.20095
5,463.87	5.93432	5,463.87	2.16937
5,657.23	6.39204	5,657.23	2.33576
5,856.45	6.86068	5,856.45	2.61467
6,062.99	7.13645	6,062.99	2.81264
6,276.86	7.37485	6,276.86	3.01779
6,498.05	7.64466	6,498.05	3.26632
6,726.56	7.85914	6,726.56	3.4149
6,963.87	8.09668	6,963.87	3.54418
7,209.96	8.10005	7,209.96	3.47354
7,464.84	7.99708	7,464.84	3.45464
7,727.05	7.85175	7,727.05	3.40524
7,999.51	7.78819	7,999.51	3.38687
8,282.23	7.5669	8,282.23	3.26302
8,573.73	7.46509	8,573.73	3.17805
8,876.95	7.37475	8,876.95	3.0736
9,188.96	7.30431	9,188.96	2.98135
9,514.16	7.35941	9,514.16	3.02081
9,849.61	7.52025	9,849.61	3.12957
10,196.8	7.8638	10,196.8	3.32119
10,555.7	8.07004	10,555.7	3.42213
10,927.7	8.38313	10,927.7	3.58221
11,313	8.70918	11,313	3.74062
11,712.9	8.93683	11,712.9	3.86353
12,126	9.11277	12,126	4.00936
12,553.7	9.50262	12,553.7	4.25232
12,996.1	9.97994	12,996.1	4.47682
13,454.6	10.2375	13,454.6	4.56756
13,929.2	10.3835	13,929.2	4.61585
14,419.9	10.6712	14,419.9	4.80249
14,928.2	10.9503	14,928.2	5.0228
15,455.6	11.0041	15,455.6	5.20231
16,000.5	11.1065	16,000.5	5.36959
16,564.5	11.2107	16,564.5	5.47037
17,148.9	11.2694	17,148.9	5.61304
17,752.4	11.3002	17,752.4	5.65216
18,379.4	11.4541	18,379.4	5.56928
19,026.9	11.6453	19,026.9	5.56068
19,697.8	11.7038	19,697.8	5.55492
19,999.5	11.7363	19,999.5	5.58171
