"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	53.0083	20.5078	50.3746	20.5078	51.9635	20.5078	51.4085	20.5078	53.3322	20.5078	51.9314
23.4375	51.179	23.4375	55.3919	23.4375	51.8732	23.4375	54.7748	23.4375	60.1385	23.4375	55.1998
26.3672	60.7047	26.3672	61.7616	26.3672	60.6649	26.3672	61.7189	26.3672	65.0586	26.3672	61.9418
29.2969	64.117	29.2969	65.1454	29.2969	64.0649	29.2969	65.1527	29.2969	68.6336	29.2969	65.3954
32.2266	70.0305	32.2266	70.6105	32.2266	69.9348	32.2266	70.7042	32.2266	73.3994	32.2266	70.8598
35.1563	74.4885	35.1563	74.9802	35.1563	74.4038	35.1563	75.0853	35.1563	77.4587	35.1563	75.202
38.0859	79.1249	38.0859	79.5125	38.0859	79.0382	38.0859	79.6493	38.0859	81.6714	38.0859	79.7199
41.0156	83.3196	41.0156	83.5936	41.0156	83.2227	41.0156	83.7579	41.0156	85.4706	41.0156	83.7977
43.9453	87.0463	43.9453	87.1971	43.9453	86.9255	43.9453	87.4024	43.9453	88.8524	43.9453	87.4168
46.875	89.8463	46.875	89.9333	46.875	89.7192	46.875	90.1509	46.875	91.395	46.875	90.1481
49.8047	91.6888	49.8047	91.7185	49.8047	91.5543	49.8047	91.9501	49.8047	93.0224	49.8047	91.9333
55.6641	93.1268	55.6641	93.06	55.6641	92.9766	55.6641	93.3173	55.6641	94.1286	55.6641	93.2815
58.5938	93.309	58.5938	93.1924	58.5938	93.1477	58.5938	93.465	58.5938	94.171	58.5938	93.4227
61.5234	93.2571	61.5234	93.1087	61.5234	93.0902	61.5234	93.3887	61.5234	94.0095	61.5234	93.3416
67.3828	93.2034	67.3828	92.9918	67.3828	93.0253	67.3828	93.2876	67.3828	93.7638	67.3828	93.2342
73.2422	93.239	73.2422	92.9821	73.2422	93.0545	73.2422	93.2843	73.2422	93.6442	73.2422	93.2281
76.1719	93.2095	76.1719	92.9354	76.1719	93.0208	76.1719	93.2406	76.1719	93.5613	76.1719	93.1834
82.0313	93.2934	82.0313	92.9539	82.0313	93.0919	82.0313	93.2738	82.0313	93.4908	82.0313	93.2178
87.8906	93.4502	87.8906	93.0569	87.8906	93.2441	87.8906	93.375	87.8906	93.4578	87.8906	93.323
93.75	93.3661	93.75	92.9877	93.75	93.1482	93.75	93.3321	93.75	93.5188	93.75	93.2709
102.539	93.6207	102.539	93.2005	102.539	93.4058	102.539	93.5276	102.539	93.5805	102.539	93.4756
108.398	93.752	108.398	93.2713	108.398	93.5196	108.398	93.6215	108.398	93.6452	108.398	93.5733
117.188	94.0801	117.188	93.5514	117.188	93.8469	117.188	93.903	117.188	93.8587	117.188	93.8646
125.977	94.1772	125.977	93.642	125.977	93.947	125.977	93.9624	125.977	93.8381	125.977	93.9338
134.766	94.2546	134.766	93.6348	134.766	93.9943	134.766	93.9924	134.766	93.8635	134.766	93.9698
143.555	94.413	143.555	93.6923	143.555	94.1273	143.555	94.0801	143.555	93.8932	143.555	94.0689
155.273	94.5195	155.273	93.7163	155.273	94.2167	155.273	94.121	155.273	93.8808	155.273	94.1237
164.063	94.6792	164.063	93.8018	164.063	94.364	164.063	94.2222	164.063	93.9208	164.063	94.2367
175.781	94.3351	175.781	93.4193	175.781	94.0048	175.781	93.8591	175.781	93.5521	175.781	93.8745
190.43	94.1577	190.43	93.1384	190.43	93.8256	190.43	93.6428	190.43	93.3772	190.43	93.6714
202.148	93.8445	202.148	92.9947	202.148	93.6092	202.148	93.3347	202.148	93.0023	202.148	93.3983
216.797	93.5145	216.797	92.7064	216.797	93.2504	216.797	92.9074	216.797	92.5965	216.797	93.0199
234.375	93.16	234.375	92.0808	234.375	92.7596	234.375	92.4006	234.375	91.9702	234.375	92.5128
249.023	93.1402	249.023	91.4295	249.023	92.5706	249.023	92.0641	249.023	91.7086	249.023	92.2386
266.602	93.1221	266.602	91.1392	266.602	92.5995	266.602	91.8951	266.602	91.4668	266.602	92.1309
287.109	93.0598	287.109	91.6275	287.109	92.7602	287.109	91.8979	287.109	91.2714	287.109	92.2001
307.617	92.9337	307.617	91.1335	307.617	92.4763	307.617	91.4866	307.617	90.8531	307.617	91.8604
331.055	92.9632	331.055	90.8146	331.055	92.4629	331.055	91.2343	331.055	90.3075	331.055	91.694
354.492	92.8479	354.492	90.6509	354.492	92.4213	354.492	91.0598	354.492	89.6814	354.492	91.5371
377.93	92.8738	377.93	90.8943	377.93	92.4874	377.93	91.1106	377.93	89.5877	377.93	91.5969
407.227	92.5466	407.227	90.4161	407.227	92.0356	407.227	90.5456	407.227	88.8541	407.227	91.1036
436.523	92.5692	436.523	90.444	436.523	92.1099	436.523	90.7327	436.523	88.6584	436.523	91.1858
465.82	92.4011	465.82	90.5859	465.82	91.986	465.82	90.7584	465.82	88.5375	465.82	91.1339
500.977	92.0433	500.977	90.169	500.977	91.41	500.977	90.3876	500.977	88.372	500.977	90.7078
536.133	91.6179	536.133	89.1143	536.133	91.365	536.133	90.0627	536.133	88.1927	536.133	90.4003
574.219	92.3381	574.219	89.5277	574.219	92.0352	574.219	90.3252	574.219	87.6941	574.219	90.8412
615.234	91.7636	615.234	89.1864	615.234	91.7227	615.234	90.2263	615.234	87.7987	615.234	90.5837
659.18	91.4565	659.18	88.8615	659.18	91.4586	659.18	89.8533	659.18	87.7547	659.18	90.2836
706.055	91.7547	706.055	88.8785	706.055	91.9924	706.055	89.999	706.055	87.9384	706.055	90.5851
758.789	92.8056	758.789	90.1545	758.789	93.0732	758.789	90.7116	758.789	88.9393	758.789	91.5519
811.523	92.7879	811.523	90.3789	811.523	93.4633	811.523	90.3783	811.523	88.8131	811.523	91.6143
870.117	92.0913	870.117	90.3396	870.117	93.2272	870.117	89.6924	870.117	87.5556	870.117	91.1448
931.641	90.8587	931.641	90.7041	931.641	92.9714	931.641	89.6882	931.641	86.379	931.641	90.8567
999.023	90.0917	999.023	90.3483	999.023	93.0195	999.023	90.0863	999.023	85.683	999.023	90.8547
1,072.27	89.7764	1,072.27	90.3006	1,072.27	92.6655	1,072.27	89.5947	1,072.27	85.1652	1,072.27	90.4878
1,148.44	88.8847	1,148.44	90.1299	1,148.44	92.2194	1,148.44	88.5955	1,148.44	84.3467	1,148.44	89.8529
1,230.47	89.5121	1,230.47	89.8196	1,230.47	92.8485	1,230.47	89.4839	1,230.47	84.325	1,230.47	90.435
1,318.36	89.4297	1,318.36	89.2832	1,318.36	93.045	1,318.36	89.0468	1,318.36	84.1689	1,318.36	90.3372
1,415.04	87.7573	1,415.04	88.8986	1,415.04	93.4544	1,415.04	88.5812	1,415.04	84.7518	1,415.04	90.2805
1,514.65	85.7751	1,514.65	88.486	1,514.65	94.1334	1,514.65	89.9561	1,514.65	84.7998	1,514.65	90.9272
1,623.05	86.6986	1,623.05	88.4961	1,623.05	94.8789	1,623.05	90.6153	1,623.05	84.4391	1,623.05	91.5799
1,740.23	89.256	1,740.23	86.3816	1,740.23	96.8043	1,740.23	92.1367	1,740.23	85.299	1,740.23	93.2334
1,866.21	87.875	1,866.21	82.3138	1,866.21	95.4581	1,866.21	90.4867	1,866.21	83.5925	1,866.21	91.7409
2,000.98	87.9518	2,000.98	84.877	2,000.98	94.57	2,000.98	89.644	2,000.98	83.0956	2,000.98	90.9915
2,144.53	88.6507	2,144.53	86.4845	2,144.53	94.4634	2,144.53	89.4422	2,144.53	83.099	2,144.53	90.9697
2,296.88	89.514	2,296.88	87.5269	2,296.88	93.8891	2,296.88	89.475	2,296.88	82.2884	2,296.88	90.7484
2,460.94	90.3539	2,460.94	89.2868	2,460.94	94.3625	2,460.94	89.8097	2,460.94	82.7518	2,460.94	91.2972
2,639.65	91.2073	2,639.65	89.3013	2,639.65	94.3615	2,639.65	89.5139	2,639.65	82.7521	2,639.65	91.3072
2,827.15	92.1648	2,827.15	88.8374	2,827.15	94.3447	2,827.15	89.7691	2,827.15	82.1346	2,827.15	91.4424
3,032.23	92.7322	3,032.23	88.9199	3,032.23	94.9131	3,032.23	90.4041	3,032.23	82.503	3,032.23	91.9965
