"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
165.527	109.499	165.527	107.739	165.527	108.997	165.527	108.586	165.527	107.986	165.527	108.665
171.387	109.508	171.387	107.862	171.387	108.929	171.387	108.598	171.387	108.215	171.387	108.686
177.246	109.513	177.246	107.978	177.246	109.259	177.246	108.453	177.246	107.93	177.246	108.713
183.105	108.467	183.105	107.669	183.105	108.455	183.105	107.745	183.105	106.905	183.105	107.942
188.965	109.003	188.965	107.86	188.965	108.752	188.965	107.754	188.965	107.239	188.965	108.16
196.289	110.135	196.289	108.562	196.289	109.793	196.289	108.611	196.289	107.566	196.289	109.051
203.613	109.905	203.613	108.514	203.613	109.675	203.613	108.515	203.613	107.415	203.613	108.93
210.938	110.15	210.938	108.413	210.938	109.747	210.938	108.536	210.938	107.003	210.938	108.954
218.262	110.231	218.262	108.2	218.262	109.711	218.262	108.61	218.262	107.101	218.262	108.967
225.586	110.335	225.586	108.163	225.586	109.885	225.586	108.715	225.586	107.155	225.586	109.077
232.91	110.232	232.91	108.223	232.91	109.863	232.91	108.628	232.91	106.982	232.91	109.016
241.699	110.117	241.699	108.032	241.699	109.638	241.699	108.506	241.699	106.841	241.699	108.853
250.488	110.25	250.488	107.756	250.488	109.737	250.488	108.433	250.488	106.498	250.488	108.831
259.277	110.239	259.277	108.142	259.277	109.838	259.277	108.674	259.277	106.844	259.277	109.007
268.066	109.806	268.066	107.487	268.066	109.385	268.066	108.091	268.066	106.352	268.066	108.49
276.855	109.943	276.855	107.594	276.855	109.579	276.855	108.262	276.855	106.208	276.855	108.636
287.109	109.813	287.109	107.668	287.109	109.511	287.109	108.225	287.109	106.301	287.109	108.593
297.363	109.962	297.363	107.906	297.363	109.802	297.363	108.308	297.363	106.233	297.363	108.761
307.617	110.045	307.617	108.134	307.617	109.852	307.617	108.416	307.617	106.303	307.617	108.855
319.336	109.809	319.336	107.567	319.336	109.454	319.336	108.149	319.336	106.01	319.336	108.518
329.59	109.609	329.59	107.719	329.59	109.348	329.59	108.24	329.59	105.992	329.59	108.499
341.309	109.37	341.309	107.167	341.309	108.997	341.309	107.492	341.309	105.746	341.309	108.013
353.027	109.553	353.027	107.139	353.027	109.403	353.027	107.87	353.027	105.398	353.027	108.286
366.211	109.825	366.211	107.224	366.211	109.549	366.211	107.904	366.211	105.145	366.211	108.386
379.395	109.75	379.395	108.028	379.395	109.54	379.395	108.568	379.395	105.895	379.395	108.726
392.578	109.205	392.578	107.045	392.578	108.817	392.578	107.777	392.578	105.638	392.578	108.009
405.762	109.295	405.762	106.536	405.762	109.066	405.762	107.077	405.762	104.807	405.762	107.769
420.41	110.255	420.41	107.192	420.41	110.039	420.41	108.079	420.41	105.052	420.41	108.684
435.059	109.868	435.059	107.275	435.059	110.052	435.059	108.269	435.059	105.491	435.059	108.722
451.172	110.457	451.172	107.254	451.172	110.603	451.172	108.765	451.172	105.896	451.172	109.207
465.82	109.684	465.82	107.078	465.82	109.958	465.82	108.305	465.82	105.843	465.82	108.677
483.398	109.486	483.398	107.255	483.398	109.907	483.398	108.272	483.398	105.641	483.398	108.621
499.512	109.68	499.512	106.699	499.512	110.041	499.512	108.052	499.512	105.446	499.512	108.567
517.09	109.217	517.09	107.059	517.09	109.737	517.09	108.096	517.09	106.179	517.09	108.478
536.133	109.095	536.133	105.687	536.133	109.95	536.133	107.165	536.133	105.034	536.133	108.059
555.176	108.922	555.176	106.206	555.176	109.897	555.176	107.398	555.176	104.761	555.176	108.109
574.219	108.391	574.219	105.349	574.219	108.97	574.219	106.351	574.219	104.273	574.219	107.23
594.727	108.277	594.727	105.25	594.727	108.644	594.727	105.599	594.727	104.081	594.727	106.834
615.234	109.125	615.234	105.825	615.234	109.291	615.234	106.372	615.234	103.5	615.234	107.48
637.207	110.311	637.207	106.272	637.207	110.641	637.207	107.694	637.207	105.608	637.207	108.768
659.18	108.634	659.18	106.893	659.18	109.793	659.18	107.461	659.18	103.412	659.18	108.042
682.617	108.544	682.617	106.871	682.617	109.518	682.617	106.84	682.617	104.041	682.617	107.743
707.52	109.946	707.52	106.24	707.52	110.001	707.52	106.429	707.52	103.462	707.52	107.968
732.422	108.1	732.422	106.074	732.422	110.077	732.422	106.476	732.422	102.175	732.422	107.673
757.324	108.14	757.324	107.942	757.324	110.278	757.324	106.575	757.324	103.291	757.324	108.017
785.156	108.582	785.156	107.868	785.156	109.96	785.156	106.357	785.156	102.242	785.156	107.826
