"CEA2034"
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
169.922	80.8248	169.922	80.7652	169.922	80.4272	169.922	80.1335	169.922	40.6111	169.922	40.3175	169.922	39.9794
175.781	80.893	175.781	80.825	175.781	80.4297	175.781	80.0657	175.781	40.7387	175.781	40.3747	175.781	39.9794
181.641	80.9417	181.641	80.8689	181.641	80.427	181.641	80.0072	181.641	40.8411	181.641	40.4213	181.641	39.9794
190.43	81.0044	190.43	80.9317	190.43	80.4611	190.43	79.9417	190.43	40.9695	190.43	40.4501	190.43	39.9794
196.289	81.1658	196.289	81.0892	196.289	80.6206	196.289	80.1217	196.289	40.9469	196.289	40.448	196.289	39.9794
202.148	81.2563	202.148	81.1719	202.148	80.6555	202.148	80.1033	202.148	41.048	202.148	40.4958	202.148	39.9794
210.938	81.2507	210.938	81.1726	210.938	80.666	210.938	80.0509	210.938	41.101	210.938	40.486	210.938	39.9794
216.797	81.2059	216.797	81.1301	216.797	80.6581	216.797	80.0983	216.797	41.0112	216.797	40.4514	216.797	39.9794
225.586	81.2535	225.586	81.1679	225.586	80.644	225.586	80.062	225.586	41.0853	225.586	40.5033	225.586	39.9794
234.375	81.3831	234.375	81.2981	234.375	80.758	234.375	80.0776	234.375	41.2	234.375	40.5196	234.375	39.9794
240.234	81.1956	240.234	81.1138	240.234	80.6	240.234	79.9339	240.234	41.1593	240.234	40.4932	240.234	39.9794
249.023	81.0766	249.023	80.9965	249.023	80.4474	249.023	79.6819	249.023	41.294	249.023	40.5284	249.023	39.9794
257.813	81.4001	257.813	81.3244	257.813	80.81	257.813	80.0412	257.813	41.2626	257.813	40.4939	257.813	39.9794
266.602	80.9209	266.602	80.8449	266.602	80.3432	266.602	79.6008	266.602	41.2235	266.602	40.4811	266.602	39.9794
278.32	80.8235	278.32	80.7403	278.32	80.2801	278.32	79.6566	278.32	41.0631	278.32	40.4395	278.32	39.9794
287.109	80.812	287.109	80.7109	287.109	80.2447	287.109	79.6044	287.109	41.0859	287.109	40.4456	287.109	39.9794
295.898	80.6522	295.898	80.4668	295.898	79.8121	295.898	79.4441	295.898	41.0022	295.898	40.6342	295.898	39.9794
307.617	82.1232	307.617	81.9137	307.617	80.7893	307.617	80.0088	307.617	41.8842	307.617	41.1038	307.617	39.9794
319.336	82.1731	319.336	82.0088	319.336	80.9611	319.336	79.824	319.336	42.1642	319.336	41.0271	319.336	39.9794
331.055	81.9509	331.055	81.8154	331.055	80.8677	331.055	79.6967	331.055	42.0981	331.055	40.9271	331.055	39.9794
342.773	81.6979	342.773	81.5509	342.773	80.5605	342.773	79.4318	342.773	42.0985	342.773	40.9698	342.773	39.9794
354.492	81.8954	354.492	81.7567	354.492	80.7314	354.492	79.3092	354.492	42.4269	354.492	41.0046	354.492	39.9794
366.211	82.0113	366.211	81.8896	366.211	80.8984	366.211	79.3879	366.211	42.4811	366.211	40.9706	366.211	39.9794
377.93	82.1313	377.93	82.0212	377.93	81.1212	377.93	79.7464	377.93	42.2542	377.93	40.8794	377.93	39.9794
392.578	81.8362	392.578	81.7211	392.578	80.7975	392.578	79.4337	392.578	42.2667	392.578	40.903	392.578	39.9794
407.227	81.4702	407.227	81.3425	407.227	80.4002	407.227	79.0447	407.227	42.2771	407.227	40.9216	407.227	39.9794
421.875	81.7672	421.875	81.6543	421.875	80.7278	421.875	79.1879	421.875	42.4458	421.875	40.906	421.875	39.9794
436.523	81.6332	436.523	81.5209	436.523	80.5396	436.523	79.0747	436.523	42.4256	436.523	40.9607	436.523	39.9794
451.172	81.8688	451.172	81.769	451.172	80.816	451.172	79.0468	451.172	42.7016	451.172	40.9324	451.172	39.9794
465.82	81.5266	465.82	81.453	465.82	80.6065	465.82	78.9888	465.82	42.4436	465.82	40.8259	465.82	39.9794
483.398	81.1977	483.398	81.1169	483.398	80.32	483.398	78.7143	483.398	42.382	483.398	40.7763	483.398	39.9794
500.977	80.7688	500.977	80.736	500.977	80.1564	500.977	78.727	500.977	41.9883	500.977	40.5589	500.977	39.9794
518.555	80.0856	518.555	79.972	518.555	79.4781	518.555	78.3113	518.555	41.6401	518.555	40.4733	518.555	39.9794
536.133	81.0202	536.133	80.8074	536.133	79.6401	536.133	77.9051	536.133	42.8817	536.133	41.1468	536.133	39.9794
553.711	81.7333	553.711	81.5084	553.711	80.3343	553.711	78.1705	553.711	43.3173	553.711	41.1535	553.711	39.9794
574.219	81.9949	574.219	81.7729	574.219	80.6348	574.219	78.5714	574.219	43.1808	574.219	41.1175	574.219	39.9794
594.727	82.4228	594.727	82.1595	594.727	80.952	594.727	78.9338	594.727	43.2051	594.727	41.1869	594.727	39.9794
615.234	83.9537	615.234	83.6898	615.234	82.1704	615.234	79.7853	615.234	43.8838	615.234	41.4987	615.234	39.9794
638.672	84.3578	638.672	84.1333	638.672	82.5917	638.672	80.1963	638.672	43.9165	638.672	41.521	638.672	39.9794
659.18	83.3178	659.18	83.1577	659.18	81.9	659.18	79.825	659.18	43.3121	659.18	41.2371	659.18	39.9794
682.617	83.6657	682.617	83.428	682.617	81.9711	682.617	79.6823	682.617	43.7251	682.617	41.4363	682.617	39.9794
706.055	83.6016	706.055	83.3334	706.055	81.8357	706.055	79.4445	706.055	43.8684	706.055	41.4772	706.055	39.9794
732.422	82.8434	732.422	82.6998	732.422	81.3885	732.422	79.0717	732.422	43.6075	732.422	41.2906	732.422	39.9794
758.789	81.2394	758.789	80.9966	758.789	82.293	758.789	81.0793	758.789	39.8966	758.789	38.683	758.789	39.9794
785.156	85.2836	785.156	84.5097	785.156	84.0128	785.156	82.3442	785.156	42.1449	785.156	40.4763	785.156	39.9794
811.523	85.1198	811.523	84.4569	811.523	83.018	811.523	81.1485	811.523	43.2878	811.523	41.4183	811.523	39.9794
840.82	86.0208	840.82	85.3735	840.82	83.2728	840.82	81.5695	840.82	43.7834	840.82	42.0801	840.82	39.9794
870.117	85.8328	870.117	85.7509	870.117	83.5397	870.117	83.414	870.117	42.3163	870.117	42.1906	870.117	39.9794
902.344	83.5693	902.344	83.8779	902.344	82.4755	902.344	81.0692	902.344	42.7881	902.344	41.3818	902.344	39.9794
931.641	83.4748	931.641	83.4199	931.641	81.8238	931.641	79.7929	931.641	43.6064	931.641	41.5755	931.641	39.9794
966.797	83.6385	966.797	83.4713	966.797	81.8226	966.797	79.3858	966.797	44.0649	966.797	41.6282	966.797	39.9794
999.023	83.1617	999.023	82.7343	999.023	81.5911	999.023	79.5578	999.023	43.1559	999.023	41.1225	999.023	39.9794
1,034.18	84.5568	1,034.18	84.0412	1,034.18	81.9305	1,034.18	79.1869	1,034.18	44.8338	1,034.18	42.0902	1,034.18	39.9794
1,072.27	83.617	1,072.27	83.2289	1,072.27	81.153	1,072.27	78.2361	1,072.27	44.9722	1,072.27	42.0553	1,072.27	39.9794
1,110.35	83.1386	1,110.35	82.703	1,110.35	80.6785	1,110.35	77.8513	1,110.35	44.8311	1,110.35	42.0039	1,110.35	39.9794
1,148.44	83.0795	1,148.44	82.5291	1,148.44	80.4237	1,148.44	77.6426	1,148.44	44.8659	1,148.44	42.0848	1,148.44	39.9794
1,189.45	83.0617	1,189.45	82.456	1,189.45	80.0423	1,189.45	77.098	1,189.45	45.3374	1,189.45	42.3931	1,189.45	39.9794
1,230.47	82.3019	1,230.47	81.6594	1,230.47	79.4084	1,230.47	76.6148	1,230.47	45.0241	1,230.47	42.2304	1,230.47	39.9794
1,274.41	84.0591	1,274.41	83.4607	1,274.41	80.6629	1,274.41	77.8342	1,274.41	45.6059	1,274.41	42.7772	1,274.41	39.9794
1,318.36	84.4499	1,318.36	84.1351	1,318.36	81.1602	1,318.36	77.8716	1,318.36	46.2429	1,318.36	42.9543	1,318.36	39.9794
1,365.23	83.2971	1,365.23	83.2721	1,365.23	81.8794	1,365.23	79.1695	1,365.23	44.082	1,365.23	41.3721	1,365.23	39.9794
1,415.04	83.7395	1,415.04	83.271	1,415.04	81.3784	1,415.04	78.5005	1,415.04	44.7499	1,415.04	41.872	1,415.04	39.9794
1,464.84	84.2016	1,464.84	83.725	1,464.84	81.4171	1,464.84	78.382	1,464.84	45.3225	1,464.84	42.2873	1,464.84	39.9794
1,514.65	84.3009	1,514.65	83.7407	1,514.65	81.4169	1,514.65	78.4988	1,514.65	45.2213	1,514.65	42.3032	1,514.65	39.9794
1,570.31	84.2397	1,570.31	83.8469	1,570.31	81.6012	1,570.31	78.5755	1,570.31	45.2508	1,570.31	42.2251	1,570.31	39.9794
1,623.05	83.471	1,623.05	83.1504	1,623.05	81.0232	1,623.05	77.9331	1,623.05	45.1966	1,623.05	42.1065	1,623.05	39.9794
1,681.64	83.4549	1,681.64	82.5524	1,681.64	80.1767	1,681.64	77.7841	1,681.64	44.7477	1,681.64	42.3551	1,681.64	39.9794
1,740.23	83.1975	1,740.23	82.9076	1,740.23	80.6751	1,740.23	77.679	1,740.23	45.208	1,740.23	42.2119	1,740.23	39.9794
