"Estimated In-Room Response"	
"Estimated In-Room Response"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	40.5801
21.9727	42.3842
23.4375	43.6425
24.9023	45.4427
26.3672	47.0296
27.832	48.5653
29.2969	50.2723
30.7617	51.7804
32.2266	53.4329
33.6914	54.999
35.1563	56.5441
36.6211	58.0752
38.0859	59.4436
39.5508	61.0365
41.0156	62.6666
42.4805	63.7781
43.9453	64.9599
45.4102	66.3095
46.875	67.564
48.3398	68.7396
51.2695	70.9415
52.7344	72.0289
54.1992	73.0095
55.6641	73.9522
58.5938	75.7411
60.0586	76.665
62.9883	78.3693
64.4531	79.0246
67.3828	79.968
68.8477	80.3269
71.7773	81.259
74.707	81.6267
77.6367	81.5928
79.1016	81.7657
82.0313	82.1011
84.9609	81.9381
87.8906	81.9811
90.8203	81.9789
95.2148	81.9468
98.1445	81.8531
101.074	82.0321
105.469	81.8869
108.398	81.9119
112.793	82.3261
117.188	82.1611
120.117	82.606
124.512	82.5293
128.906	82.4518
133.301	82.5559
139.16	82.6249
143.555	82.7183
147.949	82.6601
153.809	82.8702
159.668	83.1088
165.527	83.1744
171.387	83.1496
177.246	83.0848
183.105	83.0179
188.965	83.0534
196.289	83.1851
203.613	83.0289
210.938	83.01
218.262	82.9767
225.586	82.9196
232.91	82.854
241.699	82.7788
250.488	82.6523
259.277	82.8591
268.066	82.3394
276.855	82.2793
287.109	82.478
297.363	82.3885
307.617	82.3199
319.336	81.857
329.59	81.6972
341.309	81.2697
353.027	81.0771
366.211	81.3936
379.395	82.2265
392.578	82.0515
405.762	81.5269
420.41	81.9265
435.059	81.6454
451.172	81.6464
465.82	81.5323
483.398	81.2444
499.512	81.267
517.09	81.3239
536.133	80.6803
555.176	81.1
574.219	81.1523
594.727	80.6809
615.234	80.4034
637.207	80.6344
659.18	80.9192
682.617	80.978
707.52	81.3636
732.422	81.4607
757.324	81.6871
785.156	81.9679
811.523	81.6465
840.82	81.7039
870.117	81.544
900.879	81.9212
933.105	81.8335
965.332	81.9154
1,000.49	81.6985
1,035.64	81.3018
1,072.27	80.9232
1,108.89	80.6808
1,148.44	80.5863
1,189.45	80.9756
1,230.47	81.1002
1,274.41	81.0352
1,319.82	80.8537
1,366.7	80.6909
1,413.57	80.3201
1,463.38	80.1891
1,516.11	80.594
1,568.85	81.0293
1,624.51	80.8667
1,681.64	80.4893
1,741.7	80.6799
1,803.22	80.583
1,866.21	80.4431
1,932.13	80.0965
1,999.51	80.1638
2,069.82	80.8426
2,143.07	80.2123
2,219.24	79.6075
2,296.88	79.8681
2,378.91	80.4693
2,462.4	79.977
2,548.83	79.6534
2,639.65	80.1596
2,731.93	80.3727
2,828.61	80.6626
2,928.22	80.9145
3,030.76	80.8073
3,137.7	81.2024
3,249.02	80.9742
3,363.28	80.9363
3,481.93	80.7607
3,604.98	80.5306
3,732.42	80.1689
3,864.26	80.042
4,000.49	79.9122
4,141.11	80.1638
4,287.6	79.8315
4,438.48	79.8885
4,595.21	79.8577
4,756.35	79.6538
4,924.8	79.6656
5,097.66	79.5233
5,277.83	79.3429
5,463.87	78.9165
5,657.23	79.1649
5,856.45	79.114
6,062.99	78.9256
6,276.86	78.8774
6,498.05	78.8254
6,726.56	78.865
6,963.87	78.4218
7,209.96	78.0275
7,464.84	77.4709
7,727.05	77.3354
7,999.51	77.5622
8,282.23	78.0087
8,573.73	78.2753
8,876.95	78.1006
9,188.96	77.8658
9,514.16	77.7509
9,849.61	77.8038
10,196.8	77.971
10,555.7	78.0172
10,927.7	77.8229
11,313	77.5381
11,712.9	77.1006
12,126	76.7955
12,553.7	76.7197
12,996.1	76.5379
13,454.6	76.2882
13,929.2	76.0386
14,419.9	75.8123
14,928.2	75.7687
15,455.6	76.0761
16,000.5	76.0033
16,564.5	75.2311
17,148.9	73.6216
17,752.4	75.2656
18,379.4	74.5671
19,026.9	72.9569
19,697.8	71.8899
19,999.5	71.3334
