"Directivity Index"
"Sound Power DI"		"Early Reflections DI"
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
20.5078	-2.48585	20.5078	0.606759
21.9727	-4.01263	21.9727	-0.216318
23.4375	-2.40773	23.4375	0.47137
24.9023	-2.83471	24.9023	0.121317
26.3672	-2.84285	26.3672	-0.0110992
27.832	-2.39177	27.832	0.0928113
29.2969	-2.12601	29.2969	0.0626838
30.7617	-1.87219	30.7617	0.0856733
32.2266	-1.75559	32.2266	0.0180457
33.6914	-1.42685	33.6914	0.0666083
35.1563	-1.37706	35.1563	0.0148903
36.6211	-1.10616	36.6211	0.0617696
38.0859	-1.07943	38.0859	0.0232621
39.5508	-1.02788	39.5508	-0.0218784
41.0156	-0.52615	41.0156	0.127879
42.4805	-0.601348	42.4805	0.0842234
43.9453	-0.560605	43.9453	0.0812134
45.4102	-0.574315	45.4102	0.0368349
46.875	-0.479328	46.875	0.0465589
48.3398	-0.363656	48.3398	0.0784395
51.2695	-0.382674	51.2695	0.0279689
52.7344	-0.318135	52.7344	0.0359006
54.1992	-0.276754	54.1992	0.0366434
55.6641	-0.250244	55.6641	0.0339486
58.5938	-0.204765	58.5938	0.0289796
60.0586	-0.167163	60.0586	0.0342917
62.9883	-0.182784	62.9883	0.0110443
64.4531	-0.194032	64.4531	-0.0027343
67.3828	-0.176912	67.3828	-0.0106597
68.8477	-0.161371	68.8477	-0.0101931
71.7773	-0.192257	71.7773	-0.0349636
74.707	-0.193456	74.707	-0.0497307
77.6367	-0.161827	77.6367	-0.0459559
79.1016	-0.175927	79.1016	-0.0566221
82.0313	-0.139303	82.0313	-0.0516969
84.9609	-0.0481728	84.9609	-0.0228323
87.8906	-0.0635314	87.8906	-0.0323654
90.8203	-0.434121	90.8203	-0.174594
95.2148	-0.000751237	95.2148	-0.0268292
98.1445	-0.149557	98.1445	-0.0868618
101.074	-0.14247	101.074	-0.0862904
105.469	-0.196038	105.469	-0.108819
108.398	-0.145612	108.398	-0.0925084
112.793	-0.0725276	112.793	-0.0686212
117.188	-0.0674478	117.188	-0.0643775
120.117	-0.0322758	120.117	-0.0467024
124.512	-0.0746342	124.512	-0.0706161
128.906	0.0166268	128.906	-0.0461382
133.301	0.0445009	133.301	-0.029463
139.16	-0.0640781	139.16	-0.0664651
143.555	-0.0498339	143.555	-0.0517704
147.949	-0.0962893	147.949	-0.0665051
153.809	0.140323	153.809	0.0294015
159.668	0.234433	159.668	0.0521659
165.527	0.181762	165.527	0.0384734
171.387	0.183749	171.387	0.0423147
177.246	0.206093	177.246	0.0592617
183.105	0.256107	183.105	0.0852112
188.965	0.35901	188.965	0.132864
196.289	0.425053	196.289	0.145756
203.613	0.5491	203.613	0.223573
210.938	0.623445	210.938	0.2373
218.262	0.616274	218.262	0.235857
225.586	0.679277	225.586	0.275455
232.91	0.864496	232.91	0.347091
241.699	0.925509	241.699	0.378125
250.488	1.06571	250.488	0.444737
259.277	1.05978	259.277	0.41167
268.066	0.991353	268.066	0.426039
276.855	1.20039	276.855	0.512692
287.109	1.4285	287.109	0.554105
297.363	1.57174	297.363	0.601076
307.617	1.16976	307.617	0.379923
319.336	1.05249	319.336	0.374353
329.59	1.2033	329.59	0.497193
341.309	1.09187	341.309	0.553245
353.027	1.80426	353.027	0.903433
366.211	2.19886	366.211	1.0757
379.395	2.26541	379.395	1.13366
392.578	2.25897	392.578	1.04833
405.762	2.40079	405.762	1.15908
420.41	2.69532	420.41	1.15503
435.059	2.32929	435.059	1.01147
451.172	2.91059	451.172	1.18655
465.82	2.86653	465.82	1.13379
483.398	2.8527	483.398	1.13604
499.512	2.87823	499.512	1.17048
517.09	2.89909	517.09	1.2036
536.133	2.94638	536.133	1.27392
555.176	3.70369	555.176	1.38656
574.219	3.32829	574.219	1.14633
594.727	2.91956	594.727	0.942605
615.234	2.40575	615.234	0.61993
637.207	2.76154	637.207	0.81858
659.18	3.63001	659.18	1.26654
682.617	3.63791	682.617	1.32637
707.52	3.80068	707.52	1.3309
732.422	3.8677	732.422	1.40185
757.324	3.75852	757.324	1.36277
785.156	3.96037	785.156	1.45179
811.523	4.05248	811.523	1.58046
840.82	4.31126	840.82	1.80883
870.117	4.5404	870.117	1.96277
900.879	4.83673	900.879	2.0796
933.105	4.88555	933.105	2.15639
965.332	5.09116	965.332	2.20411
1,000.49	5.24336	1,000.49	2.348
1,035.64	4.97888	1,035.64	2.18932
1,072.27	4.95276	1,072.27	2.10737
1,108.89	4.79346	1,108.89	2.01109
1,148.44	4.82491	1,148.44	2.00145
1,189.45	5.38206	1,189.45	2.33247
1,230.47	5.32425	1,230.47	2.22805
1,274.41	5.29643	1,274.41	2.13843
1,319.82	5.1191	1,319.82	2.02707
1,366.7	5.13264	1,366.7	2.06048
1,413.57	5.03602	1,413.57	2.01286
1,463.38	5.23024	1,463.38	2.19776
1,516.11	5.78999	1,516.11	2.47535
1,568.85	6.20059	1,568.85	2.58256
1,624.51	5.77116	1,624.51	2.41513
1,681.64	4.98241	1,681.64	1.89726
1,741.7	5.89654	1,741.7	2.43054
1,803.22	5.96882	1,803.22	2.49921
1,866.21	6.24975	1,866.21	2.56088
1,932.13	6.24371	1,932.13	2.50579
1,999.51	6.20826	1,999.51	2.43751
2,069.82	6.61981	2,069.82	2.70862
2,143.07	6.59236	2,143.07	2.72288
2,219.24	6.58448	2,219.24	2.83364
2,296.88	6.63351	2,296.88	2.73361
2,378.91	7.1292	2,378.91	2.96615
2,462.4	6.61796	2,462.4	2.58607
2,548.83	6.27259	2,548.83	2.43161
2,639.65	6.18708	2,639.65	2.37091
2,731.93	5.90837	2,731.93	2.17365
2,828.61	5.25902	2,828.61	1.88477
2,928.22	4.88392	2,928.22	1.70768
3,030.76	4.52752	3,030.76	1.57105
3,137.7	4.17452	3,137.7	1.35364
3,249.02	3.84218	3,249.02	1.26791
3,363.28	3.70175	3,363.28	1.23868
3,481.93	3.81379	3,481.93	1.1554
3,604.98	4.29017	3,604.98	1.26784
3,732.42	4.77714	3,732.42	1.50852
3,864.26	4.8547	3,864.26	1.46585
4,000.49	5.3416	4,000.49	1.7406
4,141.11	5.8951	4,141.11	2.1177
4,287.6	6.15379	4,287.6	2.28413
