"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	51.8506	20.5078	48.5006	20.5078	51.4083	20.5078	49.2918	20.5078	47.2756	20.5078	50.0822
21.9727	50.0293	21.9727	43.179	21.9727	48.8687	21.9727	45.425	21.9727	45.5679	21.9727	47.188
23.4375	48.4002	23.4375	45.3879	23.4375	47.546	23.4375	45.8992	23.4375	52.7874	23.4375	48.0724
24.9023	50.0654	24.9023	45.613	24.9023	49.2797	24.9023	46.3064	24.9023	53.1493	24.9023	48.9753
26.3672	51.462	26.3672	50.8366	26.3672	51.1213	26.3672	50.9753	26.3672	56.5146	26.3672	52.1711
27.832	56.3623	27.832	54.6331	27.832	56.0153	27.832	55.0521	27.832	57.4401	27.832	55.7762
29.2969	57.0353	29.2969	54.6756	29.2969	56.5823	29.2969	55.3192	29.2969	58.2635	29.2969	56.2632
30.7617	57.2255	30.7617	55.7384	30.7617	56.8252	30.7617	56.1476	30.7617	59.8307	30.7617	57.017
32.2266	57.4704	32.2266	56.8918	32.2266	57.1911	32.2266	57.1159	32.2266	60.9685	32.2266	57.8107
33.6914	60.379	33.6914	59.7652	33.6914	60.0658	33.6914	60.0462	33.6914	62.9293	33.6914	60.5069
35.1562	62.4583	35.1562	61.7968	35.1562	62.2466	35.1562	62.0531	35.1562	64.3073	35.1562	62.449
36.6211	63.51	36.6211	62.6807	36.6211	63.1762	36.6211	63.0768	36.6211	65.299	36.6211	63.4325
38.0859	64.5694	38.0859	63.9765	38.0859	64.3197	38.0859	64.2496	38.0859	66.3322	38.0859	64.5724
39.5508	65.9382	39.5508	65.3706	39.5508	65.7068	39.5508	65.6327	39.5508	67.4644	39.5508	65.9136
41.0156	67.5584	41.0156	67.1144	41.0156	67.3391	41.0156	67.3904	41.0156	69.0639	41.0156	67.5962
42.4805	68.7715	42.4805	68.1857	42.4805	68.5612	42.4805	68.4643	42.4805	69.7515	42.4805	68.6645
43.9453	69.7186	43.9453	69.2497	43.9453	69.5356	43.9453	69.4899	43.9453	70.8017	43.9453	69.6751
45.4102	70.9032	45.4102	70.4534	45.4102	70.7298	45.4102	70.6911	45.4102	71.935	45.4102	70.8627
