* Freq[Hz]     dBSPL  Phase[Deg]
5.00000   -129.801     0.000
5.07273   -129.801     0.000
5.14651   -129.801     0.000
5.22137   -129.801     0.000
5.29732   -129.801     0.000
5.37437   -129.801     0.000
5.45254   -129.801     0.000
5.53185   -129.801     0.000
5.61231   -129.801     0.000
5.69394   -129.801     0.000
5.77676   -129.801     0.000
5.86079   -129.801     0.000
5.94604   -129.801     0.000
6.03252   -129.801     0.000
6.12027   -129.801     0.000
6.20929   -129.801     0.000
6.29961   -129.801     1.219
6.39124   -129.801    10.291
6.48420   -129.801    37.825
6.57851   -129.801    93.220
6.67420   -129.801   126.306
6.77128   -129.801   113.661
6.86977   -129.801    58.674
6.96969   -129.801    17.459
7.07107   -129.801     2.232
7.17392   -129.801     0.000
7.27827   -129.801     0.000
7.38413   -129.801     0.000
7.49154   -129.801     0.000
7.60050   -129.801     0.000
7.71105   -129.801     0.000
7.82321   -129.801     0.000
7.93701   -129.801     0.000
8.05245   -129.801     2.511
8.16958   -129.801    19.340
8.28841   -129.801    67.971
8.40896   -129.801   111.820
8.53128   -129.801   101.051
8.65537   -129.801    43.252
8.78126   -129.801    10.918
8.90899   -129.801     1.335
9.03857   -129.801     0.000
9.17004   -129.801     0.000
9.30342   -129.801     0.000
9.43874   -129.801     0.000
9.57603   -129.801     0.000
9.71532   -115.001    -8.041
9.85663    -17.231   -39.853
10.0000     16.332   -61.344
10.1455     31.485   -65.851
10.2930     35.699   -73.424
10.4427     35.995   -86.465
10.5946     34.773  -111.066
10.7487     34.057  -143.650
10.9051     34.140  -178.010
11.0637     34.927   151.323
11.2246     36.023   126.135
11.3879     37.063   105.214
11.5535     37.824    87.151
11.7216     38.217    70.709
11.8921     38.178    55.135
12.0650     37.680    39.865
12.2405     36.677    24.460
12.4186     34.839     7.235
12.5992     31.725   -10.324
12.7825     28.161   -13.660
12.9684     27.390    43.542
13.1570     29.975   125.503
13.3484     33.315   130.196
13.5426     36.085   116.644
13.7395     37.929    99.067
13.9394     38.853    82.569
14.1421     39.000    66.604
14.3478     38.420    49.450
14.5565     37.025    29.115
14.7683     34.782     1.113
14.9831     32.759   -48.783
15.2010     34.107  -121.217
15.4221     37.651  -164.196
15.6464     40.874   170.975
15.8740     43.306   152.116
16.1049     45.023   135.119
16.3392     46.170   118.810
16.5768     46.859   102.758
16.8179     47.157    86.760
17.0626     47.110    70.676
17.3107     46.772    54.367
17.5625     46.218    37.711
17.8180     45.553    20.627
18.0771     44.927     3.116
18.3401     44.524   -14.649
18.6068     44.500   -32.315
18.8775     44.901   -49.536
19.1521     45.626   -66.178
19.4306     46.483   -82.342
19.7133     47.254   -98.209
20.0000     47.741  -113.955
20.2909     47.799  -129.628
20.5860     47.270  -145.096
20.8855     45.943  -159.794
21.1893     43.344  -171.322
21.4975     38.860  -168.485
21.8102     37.432  -103.232
22.1274     42.741   -77.039
22.4492     46.692   -82.289
22.7758     49.045   -94.695
23.1071     50.379  -107.583
23.4432     50.986  -118.772
23.7841     51.069  -126.964
24.1301     51.004  -131.116
24.4811     51.331  -131.593
24.8372     52.384  -131.023
25.1984     53.904  -132.415
25.5649     55.441  -136.419
25.9368     56.745  -141.988
26.3141     57.769  -147.826
26.6968     58.591  -153.047
27.0851     59.323  -157.298
27.4791     60.049  -160.693
27.8788     60.794  -163.561
28.2843     61.539  -166.101
28.6957     62.266  -168.305
29.1131     63.003  -170.124
29.5365     63.798  -171.676
29.9661     64.680  -173.300
30.4020     65.636  -175.375
30.8442     66.619  -178.110
31.2929     67.578   178.516
31.7480     68.487   174.679
32.2098     69.342   170.614
32.6783     70.165   166.518
33.1536     70.996   162.452
33.6359     71.865   158.313
34.1251     72.771   153.926
34.6215     73.680   149.211
35.1250     74.557   144.269
35.6359     75.399   139.277
36.1543     76.235   134.313
36.6802     77.094   129.253
37.2137     77.964   123.895
37.7550     78.804   118.157
38.3041     79.582   112.140
38.8613     80.305   105.994
39.4265     80.999    99.755
40.0000     81.679    93.344
40.5818     82.333    86.688
41.1721     82.938    79.820
41.7710     83.489    72.845
42.3785     83.988    65.877
42.9949     84.443    59.003
43.6203     84.867    52.256
44.2548     85.268    45.595
44.8985     85.636    38.967
45.5515     85.943    32.427
46.2141     86.199    26.062
46.8863     86.443    19.785
47.5683     86.658    13.431
48.2602     86.767     7.160
48.9621     86.786     1.422
49.6743     86.871    -3.772
50.3968     87.095    -9.064
51.1299     87.313   -14.830
51.8736     87.420   -20.675
52.6281     87.490   -26.137
53.3936     87.604   -31.246
54.1702     87.735   -36.202
54.9581     87.864   -41.059
55.7575     88.000   -45.837
56.5685     88.124   -50.570
57.3914     88.228   -55.245
58.2261     88.328   -59.851
59.0730     88.423   -64.409
59.9323     88.518   -68.943
60.8040     88.619   -73.483
61.6884     88.715   -78.048
62.5857     88.798   -82.624
63.4960     88.858   -87.155
64.4196     88.883   -91.529
65.3566     88.895   -95.642
66.3073     88.925   -99.514
67.2717     88.987  -103.264
68.2502     89.081  -107.016
69.2429     89.201  -110.862
70.2501     89.329  -114.841
71.2719     89.446  -118.909
72.3086     89.546  -122.999
73.3603     89.632  -127.068
74.4274     89.704  -131.090
75.5099     89.770  -135.066
76.6083     89.837  -139.005
77.7226     89.909  -142.946
78.8531     89.983  -146.893
80.0000     90.053  -150.838
81.1636     90.122  -154.783
82.3442     90.182  -158.737
83.5419     90.223  -162.704
84.7570     90.245  -166.617
85.9899     90.257  -170.458
87.2406     90.273  -174.209
88.5096     90.295  -177.917
89.7970     90.335   178.354
91.1031     90.378   174.607
92.4282     90.404   170.846
93.7726     90.414   167.067
95.1366     90.413   163.281
96.5204     90.398   159.589
97.9243     90.385   156.045
99.3486     90.380   152.485
100.794     90.341   148.949
102.260     90.269   145.539
103.747     90.207   142.367
105.256     90.161   139.305
106.787     90.129   136.316
108.340     90.115   133.333
109.916     90.110   130.320
111.515     90.109   127.273
113.137     90.108   124.222
114.783     90.107   121.163
116.452     90.110   118.061
118.146     90.114   114.920
119.865     90.107   111.776
121.608     90.089   108.690
123.377     90.063   105.674
125.171     90.038   102.733
126.992     90.015    99.812
128.839     89.988    96.854
130.713     89.954    93.834
132.615     89.912    90.765
134.543     89.862    87.711
136.500     89.791    84.761
138.486     89.696    81.932
140.500     89.599    79.182
142.544     89.524    76.547
144.617     89.466    74.172
146.721     89.355    72.231
148.855     89.269    70.461
151.020     89.264    68.202
153.217     89.135    65.325
155.445     88.985    62.411
157.706     88.925    60.058
160.000     88.864    58.056
162.327     88.789    56.083
164.688     88.723    54.065
167.084     88.663    52.104
169.514     88.606    50.267
171.980     88.557    48.455
174.481     88.522    46.581
177.019     88.496    44.675
179.594     88.465    42.762
182.206     88.419    40.828
184.856     88.357    38.917
187.545     88.279    37.159
190.273     88.198    35.599
193.041     88.133    34.099
195.849     88.120    32.520
198.697     88.125    30.852
201.587     88.081    29.306
204.520     88.020    27.918
207.494     87.962    26.634
210.512     87.917    25.379
213.574     87.893    24.166
216.681     87.884    22.922
219.833     87.887    21.637
223.030     87.895    20.343
226.274     87.908    18.932
229.565     87.919    17.380
232.905     87.902    15.808
236.292     87.858    14.321
239.729     87.799    12.910
243.216     87.714    11.731
246.754     87.604    10.950
250.343     87.537    10.403
253.984     87.563     9.790
257.678     87.630     8.981
261.426     87.692     7.980
265.229     87.734     6.791
269.087     87.734     5.565
273.001     87.706     4.492
276.972     87.697     3.565
281.000     87.703     2.718
285.088     87.696     1.929
289.234     87.701     1.190
293.441     87.742     0.334
297.709     87.783    -0.723
302.040     87.772    -1.804
306.433     87.720    -2.589
310.890     87.701    -3.114
315.412     87.729    -3.562
320.000     87.785    -4.179
324.655     87.860    -5.011
329.377     87.920    -6.124
334.168     87.952    -7.560
339.028     87.877    -9.018
343.959     87.685    -9.947
348.962     87.543   -10.085
354.038     87.510    -9.822
359.188     87.533    -9.545
364.412     87.606    -9.469
369.713     87.677    -9.609
375.090     87.709    -9.741
380.546     87.783    -9.836
386.081     87.902   -10.240
391.697     87.975   -11.059
397.394     87.984   -12.004
403.175     87.954   -12.835
409.039     87.874   -13.488
414.989     87.778   -13.884
421.025     87.730   -14.111
427.149     87.716   -14.342
433.362     87.688   -14.622
439.665     87.641   -14.848
446.060     87.607   -15.011
452.548     87.610   -15.200
459.131     87.643   -15.446
465.809     87.683   -15.738
472.584     87.718   -16.095
479.458     87.755   -16.564
486.432     87.808   -17.123
493.507     87.872   -17.721
500.686     87.933   -18.336
507.968     87.983   -19.006
515.357     88.026   -19.771
522.853     88.078   -20.652
530.458     88.134   -21.595
538.174     88.187   -22.540
546.002     88.226   -23.489
553.943     88.248   -24.510
562.001     88.268   -25.609
570.175     88.282   -26.771
578.469     88.283   -27.943
586.883     88.274   -29.107
595.419     88.257   -30.251
604.080     88.230   -31.400
612.866     88.200   -32.530
621.780     88.166   -33.612
630.824     88.120   -34.635
640.000     88.061   -35.592
649.309     88.002   -36.488
658.753     87.951   -37.324
668.335     87.909   -38.075
678.056     87.864   -38.711
687.919     87.825   -39.241
697.925     87.804   -39.672
708.077     87.796   -40.032
718.376     87.801   -40.339
728.825     87.830   -40.652
739.426     87.888   -40.995
750.181     87.977   -41.391
761.093     88.092   -41.866
772.163     88.229   -42.441
783.394     88.389   -43.137
794.789     88.565   -43.992
806.349     88.743   -45.080
818.078     88.926   -46.395
829.977     89.110   -47.938
842.050     89.287   -49.709
854.298     89.460   -51.692
866.724     89.617   -53.844
879.330     89.747   -56.170
892.120     89.854   -58.666
905.097     89.935   -61.304
918.262     89.989   -64.029
931.618     90.008   -66.815
945.169     89.991   -69.636
958.917     89.941   -72.467
972.864     89.860   -75.242
987.015     89.744   -77.929
1001.37     89.595   -80.491
1015.94     89.422   -82.866
1030.71     89.224   -85.000
1045.71     89.000   -86.898
1060.92     88.767   -88.566
1076.35     88.546   -89.946
1092.00     88.342   -91.030
1107.89     88.158   -91.868
1124.00     88.011   -92.515
1140.35     87.906   -93.049
1156.94     87.850   -93.565
1173.77     87.838   -94.148
1190.84     87.857   -94.826
1208.16     87.893   -95.679
1225.73     87.942   -96.733
1243.56     87.997   -97.975
1261.65     88.044   -99.328
1280.00     88.070  -100.740
1298.62     88.080  -102.161
1317.51     88.079  -103.535
1336.67     88.070  -104.773
1356.11     88.067  -105.845
1375.84     88.077  -106.768
1395.85     88.116  -107.593
1416.15     88.196  -108.383
1436.75     88.318  -109.224
1457.65     88.483  -110.194
1478.85     88.673  -111.398
1500.36     88.876  -112.906
1522.19     89.083  -114.690
1544.33     89.269  -116.717
1566.79     89.422  -118.948
1589.58     89.547  -121.290
1612.70     89.641  -123.615
1636.16     89.706  -125.842
1659.95     89.760  -127.918
1684.10     89.813  -129.831
1708.60     89.882  -131.627
1733.45     89.986  -133.364
1758.66     90.123  -135.159
1784.24     90.284  -137.142
1810.19     90.457  -139.406
1836.52     90.624  -141.980
1863.24     90.763  -144.829
1890.34     90.853  -147.863
1917.83     90.887  -150.960
1945.73     90.864  -153.986
1974.03     90.792  -156.835
2002.74     90.688  -159.396
2031.87     90.570  -161.639
2061.43     90.455  -163.620
2091.41     90.365  -165.454
2121.83     90.300  -167.231
2152.69     90.244  -169.045
2184.01     90.183  -170.931
2215.77     90.104  -172.812
2248.00     89.992  -174.589
2280.70     89.858  -176.184
2313.87     89.729  -177.536
2347.53     89.618  -178.671
2381.68     89.529  -179.737
2416.32     89.465   179.089
2451.46     89.407   177.733
2487.12     89.319   176.243
2523.30     89.177   174.797
2560.00     88.977   173.609
2597.24     88.747   172.874
2635.01     88.536   172.644
2673.34     88.382   172.802
2712.23     88.300   173.060
2751.68     88.274   173.193
2791.70     88.270   173.155
2832.31     88.249   173.127
2873.50     88.207   173.306
2915.30     88.187   173.800
2957.70     88.231   174.523
3000.72     88.353   175.268
3044.37     88.529   175.820
3088.65     88.720   176.108
3133.58     88.917   176.208
3179.16     89.131   176.171
3225.40     89.373   175.908
3272.31     89.639   175.281
3319.91     89.884   174.263
3368.20     90.054   172.982
3417.19     90.140   171.662
3466.89     90.175   170.525
3517.32     90.189   169.604
3568.48     90.193   168.796
3620.39     90.158   168.081
3673.05     90.063   167.678
3726.47     89.956   167.884
3780.67     89.937   168.652
3835.67     90.071   169.399
3891.46     90.302   169.465
3948.06     90.494   168.808
4005.49     90.569   167.939
4063.75     90.576   167.394
4122.86     90.622   167.186
4182.82     90.741   166.897
4243.66     90.862   166.234
4305.39     90.913   165.409
4368.01     90.905   164.772
4431.55     90.908   164.365
4496.01     90.931   163.979
4561.40     90.924   163.603
4627.75     90.882   163.433
4695.06     90.871   163.441
4763.35     90.906   163.285
4832.64     90.902   162.898
4902.93     90.815   162.765
4974.24     90.756   163.190
5046.60     90.841   163.646
5120.00     91.000   163.406
5194.47     91.063   162.634
5270.03     91.009   162.019
5346.68     90.969   161.822
5424.45     91.009   161.648
5503.35     91.062   161.134
5583.40     91.069   160.308
5664.61     91.018   159.430
5747.01     90.911   158.783
5830.60     90.799   158.461
5915.41     90.721   158.299
6001.45     90.619   158.282
6088.74     90.473   158.803
6177.30     90.427   159.893
6267.15     90.555   160.788
6358.31     90.705   160.946
6450.80     90.778   160.611
6544.62     90.797   160.168
6639.82     90.745   159.895
6736.40     90.645   160.034
6834.38     90.588   160.467
6933.79     90.543   160.958
7034.64     90.468   161.691
7136.96     90.478   162.650
7240.77     90.575   163.319
7346.09     90.609   163.600
7452.94     90.570   163.962
7561.35     90.524   164.636
7671.33     90.458   165.697
7782.91     90.406   167.403
7896.12     90.512   169.533
8010.97     90.796   171.214
8127.49     91.093   172.112
8245.71     91.353   172.590
8365.65     91.642   172.781
8487.33     91.908   172.703
8610.78     92.140   172.508
8736.03     92.422   172.059
8863.09     92.689   171.105
8992.01     92.848   169.910
9122.80     92.953   168.907
9255.50     93.082   167.973
9390.12     93.247   166.630
9526.70     93.348   164.740
9665.27     93.275   162.769
9805.86     93.050   161.528
9948.49     92.833   161.417
10093.2     92.799   161.803
10240.0     92.932   161.573
10388.9     93.054   160.074
10540.1     92.964   157.913
10693.4     92.650   155.984
10848.9     92.249   154.916
11006.7     91.778   154.854
11166.8     91.296   156.125
11329.2     91.029   158.101
11494.0     90.954   159.523
11661.2     90.792   160.028
11830.8     90.417   160.811
12002.9     89.936   163.214
12177.5     89.673   167.276
12354.6     89.816   171.059
12534.3     90.057   173.034
12716.6     90.079   173.924
12901.6     89.874   175.392
13089.2     89.640   178.420
13279.6     89.626  -177.423
13472.8     89.874  -173.494
13668.8     90.200  -170.512
13867.6     90.493  -167.890
14069.3     90.893  -165.513
14273.9     91.476  -164.290
14481.5     91.953  -164.794
14692.2     92.085  -165.525
14905.9     92.116  -165.287
15122.7     92.373  -164.662
15342.7     92.648  -164.896
15565.8     92.708  -165.258
15792.2     92.786  -165.080
16021.9     93.057  -165.392
16255.0     93.158  -166.556
16491.4     92.944  -167.135
16731.3     92.790  -166.240
16974.7     92.927  -165.422
17221.6     93.080  -166.003
17472.1     92.954  -167.308
17726.2     92.627  -168.280
17984.0     92.318  -169.128
18245.6     91.906  -170.355
18511.0     91.196  -171.580
18780.2     90.304  -172.217
19053.4     89.328  -172.428
19330.5     88.198  -172.657
19611.7     86.867  -172.790
19897.0     85.629  -172.606
20186.4     85.116  -171.952
20480.0     85.077  -171.088
20777.9     85.053  -170.202
21080.1     85.030  -169.317
21386.7     85.006  -168.431
21697.8     84.982  -167.546
22013.4     84.959  -166.660
22333.6     84.935  -165.775
22658.4     84.911  -164.890
22988.0     84.887  -164.004
23322.4     84.864  -163.119
23661.6     84.840  -162.233
24005.8     84.816  -161.348
24355.0     84.793  -160.463
24709.2     84.769  -159.577
25068.6     84.745  -158.692
25433.2     84.722  -157.806
25803.2     84.698  -156.921
26178.5     84.674  -156.036
26559.3     84.651  -155.150
26945.6     84.627  -154.265
27337.5     84.603  -153.379
27735.2     84.580  -152.494
28138.6     84.556  -151.609
28547.9     84.532  -150.723
28963.1     84.509  -149.838
29384.4     84.485  -148.953
29811.8     84.461  -148.067
30245.4     84.437  -147.181
30685.3     84.414  -146.296
31131.7     84.390  -145.411
31584.5     84.366  -144.525
32043.9     84.343  -143.640
32510.0     84.319  -142.755
32982.8     84.295  -141.869
33462.6     84.272  -140.984
33949.3     84.248  -140.098
34443.1     84.224  -139.213
34944.1     84.201  -138.327
35452.4     84.177  -137.442
35968.0     84.153  -136.556
36491.2     84.130  -135.671
37022.0     84.106  -134.786
37560.5     84.082  -133.900
38106.8     84.058  -133.015
38661.1     84.035  -132.129
39223.4     84.011  -131.330
39793.9     83.995  -130.819
