* Freq[Hz]      Mag   Phase[Deg]
5.00000   -129.801     0.000
5.07273   -129.801     0.000
5.14651   -129.801     0.000
5.22137   -129.801     0.000
5.29732   -129.801     0.000
5.37437   -129.801     0.000
5.45254   -129.801     0.000
5.53185   -129.801     0.000
5.61231   -129.801     0.000
5.69394   -129.801     0.000
5.77676   -129.801     0.000
5.86079   -129.801     0.000
5.94604   -129.801     0.000
6.03252   -129.801     0.000
6.12027   -129.801     0.000
6.20929   -129.801     0.000
6.29961   -129.801     0.000
6.39124   -129.801     0.000
6.48420   -129.801     0.000
6.57851   -129.801     0.000
6.67420   -129.801     0.000
6.77128   -129.801     0.000
6.86977   -129.801     0.000
6.96969   -129.801     0.000
7.07107   -129.801     0.000
7.17392   -129.801     0.000
7.27827   -129.801     0.000
7.38413   -129.801     0.000
7.49154   -129.801     0.000
7.60050   -129.801     0.000
7.71105   -129.801     0.000
7.82321   -129.801     0.000
7.93701   -129.801     0.000
8.05245   -129.801     0.000
8.16958   -129.801     0.000
8.28841   -129.801     0.000
8.40896   -129.801     0.000
8.53128   -129.801     0.000
8.65537   -129.801     0.000
8.78126   -129.801     0.000
8.90899   -129.801     0.000
9.03857   -129.801     0.000
9.17004   -129.801     0.000
9.30342   -129.801     0.000
9.43874   -129.801     0.000
9.57603   -129.801     0.000
9.71532   -115.001     0.000
9.85663    -17.231     0.000
10.0000     16.332     0.000
10.1455     31.485     0.000
10.2930     35.699     0.000
10.4427     35.995     0.000
10.5946     34.773     0.000
10.7487     34.057     0.000
10.9051     34.140     0.000
11.0637     34.927     0.000
11.2246     36.023     0.000
11.3879     37.063     0.000
11.5535     37.824     0.000
11.7216     38.217     0.000
11.8921     38.178     0.000
12.0650     37.680     0.000
12.2405     36.677     0.000
12.4186     34.839     0.000
12.5992     31.725     0.000
12.7825     28.161     0.000
12.9684     27.390     0.000
13.1570     29.975     0.000
13.3484     33.315     0.000
13.5426     36.085     0.000
13.7395     37.929     0.000
13.9394     38.853     0.000
14.1421     39.000     0.000
14.3478     38.420     0.000
14.5565     37.025     0.000
14.7683     34.782     0.000
14.9831     32.759     0.000
15.2010     34.107     0.000
15.4221     37.651     0.000
15.6464     40.874     0.000
15.8740     43.306     0.000
16.1049     45.023     0.000
16.3392     46.170     0.000
16.5768     46.859     0.000
16.8179     47.157     0.000
17.0626     47.110     0.000
17.3107     46.772     0.000
17.5625     46.218     0.000
17.8180     45.553     0.000
18.0771     44.927     0.000
18.3401     44.524     0.000
18.6068     44.500     0.000
18.8775     44.901     0.000
19.1521     45.626     0.000
19.4306     46.483     0.000
19.7133     47.254     0.000
20.0000     47.741     0.000
20.2909     47.799     0.000
20.5860     47.270     0.000
20.8855     45.943     0.000
21.1893     43.344     0.000
21.4975     38.860     0.000
21.8102     37.432     0.000
22.1274     42.741     0.000
22.4492     46.692     0.000
22.7758     49.045     0.000
23.1071     50.379     0.000
23.4432     50.986     0.000
23.7841     51.069     0.000
24.1301     51.004     0.000
24.4811     51.331     0.000
24.8372     52.384     0.000
25.1984     53.904     0.000
25.5649     55.441     0.000
25.9368     56.745     0.000
26.3141     57.769     0.000
26.6968     58.591     0.000
27.0851     59.323     0.000
27.4791     60.049     0.000
27.8788     60.794     0.000
28.2843     61.539     0.000
28.6957     62.266     0.000
29.1131     63.003     0.000
29.5365     63.798     0.000
29.9661     64.680     0.000
30.4020     65.636     0.000
30.8442     66.619     0.000
31.2929     67.578     0.000
31.7480     68.487     0.000
32.2098     69.342     0.000
32.6783     70.165     0.000
33.1536     70.996     0.000
33.6359     71.865     0.000
34.1251     72.771     0.000
34.6215     73.680     0.000
35.1250     74.557     0.000
35.6359     75.399     0.000
36.1543     76.235     0.000
36.6802     77.094     0.000
37.2137     77.964     0.000
37.7550     78.804     0.000
38.3041     79.582     0.000
38.8613     80.305     0.000
39.4265     80.999     0.000
40.0000     81.679     0.000
40.5818     82.333     0.000
41.1721     82.938     0.000
41.7710     83.489     0.000
42.3785     83.988     0.000
42.9949     84.443     0.000
43.6203     84.867     0.000
44.2548     85.268     0.000
44.8985     85.636     0.000
45.5515     85.943     0.000
46.2141     86.199     0.000
46.8863     86.443     0.000
47.5683     86.658     0.000
48.2602     86.767     0.000
48.9621     86.786     0.000
49.6743     86.871     0.000
50.3968     87.095     0.000
51.1299     87.313     0.000
51.8736     87.420     0.000
52.6281     87.490     0.000
53.3936     87.604     0.000
54.1702     87.735     0.000
54.9581     87.864     0.000
55.7575     88.000     0.000
56.5685     88.124     0.000
57.3914     88.228     0.000
58.2261     88.328     0.000
59.0730     88.423     0.000
59.9323     88.518     0.000
60.8040     88.619     0.000
61.6884     88.715     0.000
62.5857     88.798     0.000
63.4960     88.858     0.000
64.4196     88.883     0.000
65.3566     88.895     0.000
66.3073     88.925     0.000
67.2717     88.987     0.000
68.2502     89.081     0.000
69.2429     89.201     0.000
70.2501     89.329     0.000
71.2719     89.446     0.000
72.3086     89.546     0.000
73.3603     89.632     0.000
74.4274     89.704     0.000
75.5099     89.770     0.000
76.6083     89.837     0.000
77.7226     89.909     0.000
78.8531     89.983     0.000
80.0000     90.053     0.000
81.1636     90.122     0.000
82.3442     90.182     0.000
83.5419     90.223     0.000
84.7570     90.245     0.000
85.9899     90.257     0.000
87.2406     90.273     0.000
88.5096     90.295     0.000
89.7970     90.335     0.000
91.1031     90.378     0.000
92.4282     90.404     0.000
93.7726     90.414     0.000
95.1366     90.413     0.000
96.5204     90.398     0.000
97.9243     90.385     0.000
99.3486     90.380     0.000
100.794     90.341     0.000
102.260     90.269     0.000
103.747     90.207     0.000
105.256     90.161     0.000
106.787     90.129     0.000
108.340     90.115     0.000
109.916     90.110     0.000
111.515     90.109     0.000
113.137     90.108     0.000
114.783     90.107     0.000
116.452     90.110     0.000
118.146     90.114     0.000
119.865     90.107     0.000
121.608     90.088     0.000
123.377     90.060     0.000
125.171     90.031     0.000
126.992     90.003     0.000
128.839     89.969     0.000
130.713     89.927     0.000
132.615     89.874     0.000
134.543     89.813     0.000
136.500     89.730     0.000
138.486     89.622     0.000
140.500     89.509     0.000
142.544     89.416     0.000
144.617     89.341     0.000
146.721     89.211     0.000
148.855     89.103     0.000
151.020     89.073     0.000
153.217     88.922     0.000
155.445     88.749     0.000
157.706     88.664     0.000
160.000     88.574     0.000
162.327     88.471     0.000
164.688     88.378     0.000
167.084     88.289     0.000
169.514     88.199     0.000
171.980     88.119     0.000
174.481     88.053     0.000
177.019     87.992     0.000
179.594     87.923     0.000
182.206     87.840     0.000
184.856     87.740     0.000
187.545     87.628     0.000
190.273     87.511     0.000
193.041     87.402     0.000
195.849     87.341     0.000
198.697     87.304     0.000
201.587     87.223     0.000
204.520     87.123     0.000
207.494     87.022     0.000
210.512     86.931     0.000
213.574     86.869     0.000
216.681     86.818     0.000
219.833     86.770     0.000
223.030     86.730     0.000
226.274     86.702     0.000
229.565     86.670     0.000
232.905     86.607     0.000
236.292     86.514     0.000
239.729     86.403     0.000
243.216     86.266     0.000
246.754     86.108     0.000
250.343     85.999     0.000
253.984     85.983     0.000
257.678     85.994     0.000
261.426     85.995     0.000
265.229     85.986     0.000
269.087     85.942     0.000
273.001     85.874     0.000
276.972     85.815     0.000
281.000     85.765     0.000
285.088     85.708     0.000
289.234     85.673     0.000
293.441     85.668     0.000
297.709     85.656     0.000
302.040     85.603     0.000
306.433     85.506     0.000
310.890     85.422     0.000
315.412     85.389     0.000
320.000     85.404     0.000
324.655     85.440     0.000
329.377     85.455     0.000
334.168     85.441     0.000
339.028     85.316     0.000
343.959     85.068     0.000
348.962     84.878     0.000
354.038     84.798     0.000
359.188     84.767     0.000
364.412     84.783     0.000
369.713     84.811     0.000
375.090     84.808     0.000
380.546     84.838     0.000
386.081     84.923     0.000
391.697     84.960     0.000
397.394     84.921     0.000
403.175     84.851     0.000
409.039     84.742     0.000
414.989     84.611     0.000
421.025     84.517     0.000
427.149     84.457     0.000
433.362     84.383     0.000
439.665     84.294     0.000
446.060     84.231     0.000
452.548     84.191     0.000
459.131     84.169     0.000
465.809     84.162     0.000
472.584     84.160     0.000
479.458     84.166     0.000
486.432     84.180     0.000
493.507     84.196     0.000
500.686     84.216     0.000
507.968     84.237     0.000
515.357     84.258     0.000
522.853     84.279     0.000
530.458     84.300     0.000
538.174     84.319     0.000
546.002     84.335     0.000
553.943     84.342     0.000
562.001     84.340     0.000
570.175     84.330     0.000
578.469     84.310     0.000
586.883     84.281     0.000
595.419     84.246     0.000
604.080     84.204     0.000
612.866     84.152     0.000
621.780     84.092     0.000
630.824     84.025     0.000
640.000     83.953     0.000
649.309     83.879     0.000
658.753     83.802     0.000
668.335     83.720     0.000
678.056     83.637     0.000
687.919     83.558     0.000
697.925     83.484     0.000
708.077     83.417     0.000
718.376     83.363     0.000
728.825     83.323     0.000
739.426     83.298     0.000
750.181     83.293     0.000
761.093     83.306     0.000
772.163     83.336     0.000
783.394     83.387     0.000
794.789     83.454     0.000
806.349     83.536     0.000
818.078     83.626     0.000
829.977     83.721     0.000
842.050     83.817     0.000
854.298     83.909     0.000
866.724     83.995     0.000
879.330     84.070     0.000
892.120     84.130     0.000
905.097     84.174     0.000
918.262     84.197     0.000
931.618     84.198     0.000
945.169     84.175     0.000
958.917     84.127     0.000
972.864     84.055     0.000
987.015     83.960     0.000
1001.37     83.842     0.000
1015.94     83.702     0.000
1030.71     83.543     0.000
1045.71     83.366     0.000
1060.92     83.173     0.000
1076.35     82.970     0.000
1092.00     82.758     0.000
1107.89     82.539     0.000
1124.00     82.317     0.000
1140.35     82.089     0.000
1156.94     81.855     0.000
1173.77     81.617     0.000
1190.84     81.374     0.000
1208.16     81.120     0.000
1225.73     80.852     0.000
1243.56     80.578     0.000
1261.65     80.301     0.000
1280.00     80.028     0.000
1298.62     79.776     0.000
1317.51     79.564     0.000
1336.67     79.413     0.000
1356.11     79.348     0.000
1375.84     79.382     0.000
1395.85     79.514     0.000
1416.15     79.732     0.000
1436.75     80.010     0.000
1457.65     80.319     0.000
1478.85     80.634     0.000
1500.36     80.930     0.000
1522.19     81.185     0.000
1544.33     81.391     0.000
1566.79     81.544     0.000
1589.58     81.644     0.000
1612.70     81.701     0.000
1636.16     81.730     0.000
1659.95     81.749     0.000
1684.10     81.776     0.000
1708.60     81.824     0.000
1733.45     81.904     0.000
1758.66     82.013     0.000
1784.24     82.142     0.000
1810.19     82.278     0.000
1836.52     82.404     0.000
1863.24     82.501     0.000
1890.34     82.562     0.000
1917.83     82.583     0.000
1945.73     82.573     0.000
1974.03     82.544     0.000
2002.74     82.513     0.000
2031.87     82.494     0.000
2061.43     82.497     0.000
2091.41     82.522     0.000
2121.83     82.556     0.000
2152.69     82.580     0.000
2184.01     82.583     0.000
2215.77     82.554     0.000
2248.00     82.493     0.000
2280.70     82.415     0.000
2313.87     82.337     0.000
2347.53     82.280     0.000
2381.68     82.258     0.000
2416.32     82.265     0.000
2451.46     82.283     0.000
2487.12     82.289     0.000
2523.30     82.263     0.000
2560.00     82.195     0.000
2597.24     82.089     0.000
2635.01     81.964     0.000
2673.34     81.841     0.000
2712.23     81.733     0.000
2751.68     81.642     0.000
2791.70     81.563     0.000
2832.31     81.489     0.000
2873.50     81.420     0.000
2915.30     81.366     0.000
2957.70     81.336     0.000
3000.72     81.333     0.000
3044.37     81.345     0.000
3088.65     81.350     0.000
3133.58     81.341     0.000
3179.16     81.330     0.000
3225.40     81.350     0.000
3272.31     81.423     0.000
3319.91     81.550     0.000
3368.20     81.698     0.000
3417.19     81.827     0.000
3466.89     81.914     0.000
3517.32     81.958     0.000
3568.48     81.974     0.000
3620.39     81.977     0.000
3673.05     81.971     0.000
3726.47     81.963     0.000
3780.67     81.971     0.000
3835.67     82.018     0.000
3891.46     82.116     0.000
3948.06     82.240     0.000
4005.49     82.340     0.000
4063.75     82.379     0.000
4122.86     82.351     0.000
4182.82     82.281     0.000
4243.66     82.209     0.000
4305.39     82.172     0.000
4368.01     82.193     0.000
4431.55     82.272     0.000
4496.01     82.377     0.000
4561.40     82.467     0.000
4627.75     82.517     0.000
4695.06     82.517     0.000
4763.35     82.466     0.000
4832.64     82.357     0.000
4902.93     82.210     0.000
4974.24     82.093     0.000
5046.60     82.082     0.000
5120.00     82.171     0.000
5194.47     82.275     0.000
5270.03     82.338     0.000
5346.68     82.367     0.000
5424.45     82.376     0.000
5503.35     82.344     0.000
5583.40     82.260     0.000
5664.61     82.164     0.000
5747.01     82.100     0.000
5830.60     82.059     0.000
5915.41     82.023     0.000
6001.45     82.009     0.000
6088.74     82.017     0.000
6177.30     82.005     0.000
6267.15     81.946     0.000
6358.31     81.865     0.000
6450.80     81.793     0.000
6544.62     81.745     0.000
6639.82     81.730     0.000
6736.40     81.756     0.000
6834.38     81.816     0.000
6933.79     81.907     0.000
7034.64     82.006     0.000
7136.96     82.032     0.000
7240.77     81.949     0.000
7346.09     81.880     0.000
7452.94     81.966     0.000
7561.35     82.179     0.000
7671.33     82.378     0.000
7782.91     82.461     0.000
7896.12     82.440     0.000
8010.97     82.426     0.000
8127.49     82.486     0.000
8245.71     82.584     0.000
8365.65     82.712     0.000
8487.33     82.900     0.000
8610.78     83.148     0.000
8736.03     83.443     0.000
8863.09     83.703     0.000
8992.01     83.845     0.000
9122.80     83.896     0.000
9255.50     83.935     0.000
9390.12     84.027     0.000
9526.70     84.169     0.000
9665.27     84.282     0.000
9805.86     84.299     0.000
9948.49     84.247     0.000
10093.2     84.194     0.000
10240.0     84.145     0.000
10388.9     84.076     0.000
10540.1     83.904     0.000
10693.4     83.587     0.000
10848.9     83.219     0.000
11006.7     82.949     0.000
11166.8     82.829     0.000
11329.2     82.719     0.000
11494.0     82.519     0.000
11661.2     82.237     0.000
11830.8     81.939     0.000
12002.9     81.721     0.000
12177.5     81.655     0.000
12354.6     81.704     0.000
12534.3     81.696     0.000
12716.6     81.483     0.000
12901.6     81.092     0.000
13089.2     80.754     0.000
13279.6     80.664     0.000
13472.8     80.775     0.000
13668.8     80.934     0.000
13867.6     81.077     0.000
14069.3     81.109     0.000
14273.9     80.955     0.000
14481.5     80.893     0.000
14692.2     81.094     0.000
14905.9     81.293     0.000
15122.7     81.315     0.000
15342.7     81.165     0.000
15565.8     80.904     0.000
15792.2     80.787     0.000
16021.9     80.950     0.000
16255.0     81.047     0.000
16491.4     80.839     0.000
16731.3     80.609     0.000
16974.7     80.610     0.000
17221.6     80.576     0.000
17472.1     80.290     0.000
17726.2     79.871     0.000
17984.0     79.429     0.000
18245.6     78.869     0.000
18511.0     78.107     0.000
18780.2     77.203     0.000
19053.4     76.187     0.000
19330.5     74.984     0.000
19611.7     73.597     0.000
19897.0     72.368     0.000
20186.4     71.820     0.000
20480.0     71.682     0.000
20777.9     71.560     0.000
21080.1     71.441     0.000
21386.7     71.324     0.000
21697.8     71.209     0.000
22013.4     71.096     0.000
22333.6     70.986     0.000
22658.4     70.877     0.000
22988.0     70.770     0.000
23322.4     70.665     0.000
23661.6     70.562     0.000
24005.8     70.460     0.000
24355.0     70.361     0.000
24709.2     70.262     0.000
25068.6     70.166     0.000
25433.2     70.071     0.000
25803.2     69.977     0.000
26178.5     69.885     0.000
26559.3     69.795     0.000
26945.6     69.706     0.000
27337.5     69.618     0.000
27735.2     69.531     0.000
28138.6     69.446     0.000
28547.9     69.361     0.000
28963.1     69.278     0.000
29384.4     69.196     0.000
29811.8     69.115     0.000
30245.4     69.036     0.000
30685.3     68.957     0.000
31131.7     68.879     0.000
31584.5     68.802     0.000
32043.9     68.727     0.000
32510.0     68.652     0.000
32982.8     68.578     0.000
33462.6     68.505     0.000
33949.3     68.432     0.000
34443.1     68.360     0.000
34944.1     68.290     0.000
35452.4     68.220     0.000
35968.0     68.150     0.000
36491.2     68.082     0.000
37022.0     68.014     0.000
37560.5     67.947     0.000
38106.8     67.880     0.000
38661.1     67.814     0.000
39223.4     67.750     0.000
39793.9     67.707     0.000
