Frequency Spectrum for Input Signal

Data Shown:    xS-Series (d&b audiotechnik)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 110°

Freq [Hz]	Signal Level [dBSPL]
22.4	28.6
23	28.6
23.6	28.5
24	27.6
25	26.3
25.8	24.2
26.5	20.1
27.2	15.2
28	11.5
29	8.2
30	5.4
30.7	5
31.5	4.9
32.5	7.8
33.5	19.9
34.5	27.1
35.5	33.8
36.5	37
37.5	39.1
38.7	41.8
40	42.1
41.2	43.3
42.5	41.4
43.7	37.8
45	40.5
46.2	50.3
47.5	57
48.7	55.7
50	55.7
51.5	54.2
53	53.9
54.5	55.2
56	56.7
58	57.8
60	59
61.5	60.6
63	61.6
65	62.4
67	63.7
69	65
71	66.3
73	67.6
75	68.4
77.5	69.2
80	70
82.5	70.9
85	71.8
87.5	72.6
90	73.2
92.5	74
95	74.6
97.5	75.3
100	75.8
103	76
106	76.1
109	76.1
112	76.5
115	76.9
118	77.5
122	77.9
125	77.9
128	77.6
132	77.8
136	77.8
140	78.1
145	78.3
150	78.2
155	78.4
160	78.8
165	79.1
170	79.2
175	78.8
180	78.4
185	78.5
190	79
195	79.4
200	79.6
206	79.4
212	78.8
218	77.9
224	77.8
230	78
236	78.1
240	78.1
250	77.6
258	77.2
265	77.1
272	77.4
280	77.8
290	77.8
300	77.3
307	76.5
315	76.8
325	77.4
335	77.2
345	76.8
355	76.6
365	76.4
375	76.3
387	76
400	75.6
412	75.2
425	75
437	74.4
450	74.2
462	74.5
475	73.1
487	72.8
500	73.2
515	72.4
530	72.6
545	72.4
560	72
580	71.2
600	69.7
615	69.1
630	68.6
650	67.4
670	67.1
690	66.3
710	66.1
730	67.7
750	68.6
775	68.9
800	67.8
825	67.6
850	68.4
875	67.6
900	66.4
925	66.6
950	66.3
975	66.5
1000	63.6
1030	62.7
1060	62.8
1090	64.7
1120	65.5
1150	65
1180	68.2
1220	69.5
1250	68.8
1280	67.7
1320	66.5
1360	68.1
1400	68.8
1450	70.1
1500	70.3
1550	68.9
1600	69.6
1650	68.9
1700	66.4
1750	64.6
1800	64.5
1850	66.3
1900	63.5
1950	61.9
2000	61
2060	62.3
2120	63.9
2180	64.8
2240	64.9
2300	63.9
2360	61.1
2400	63.6
2500	65.5
2580	65.4
2650	63.2
2720	58.1
2800	59.8
2900	60.8
3000	58
3070	54.2
3150	51.3
3250	56
3350	60.5
3450	59.7
3550	60.2
3650	60
3750	59.2
3870	59.6
4000	57.5
4120	55.1
4250	58.1
4370	57.5
4500	59
4620	58
4750	55.3
4870	61.4
5000	61.6
5150	61.8
5300	61.9
5450	63.3
5600	63.8
5800	62.3
6000	62.6
6150	60.7
6300	58.3
6500	57.1
6700	57.2
6900	59
7100	62.2
7300	60
7500	58.5
7750	60
8000	62.3
8250	62.1
8500	63.2
8750	62.9
9000	61.9
9250	59.1
9500	56.6
9750	57.4
10000	55.7
10300	55.1
10600	55.3
10900	55.8
11200	53
11500	50.6
11800	48
12200	46.1
12500	46.6
12800	49
13200	49.5
13600	48.3
14000	48.4
14500	48.5
15000	47.1
15500	46.6
16000	46.6
16500	46.5
17000	47
17500	48.3
18000	50.1
18500	48.4
19000	48
19500	46.4
20000	46.5
20600	47.1
21200	45.8
21800	44.9
22400	44.7
