"Estimated In-Room Response"	
"Estimated In-Room Response"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	51.779
21.9727	54.8415
23.4375	56.0791
24.9023	58.4362
26.3672	60.8525
27.832	63.1816
29.2969	65.6023
30.7617	67.5157
32.2266	69.7399
33.6914	71.8492
35.1563	73.6222
36.6211	75.1627
38.0859	76.4407
39.5508	77.4912
41.0156	78.3803
42.4805	78.99
43.9453	79.4629
45.4102	79.7911
46.875	80.0808
48.3398	80.2335
51.2695	80.5622
52.7344	80.6479
54.1992	80.6129
55.6641	80.7413
58.5938	80.9407
60.0586	80.9391
62.9883	80.9854
64.4531	81.0674
67.3828	81.102
68.8477	81.0888
71.7773	81.1586
74.707	81.3557
77.6367	81.3496
79.1016	81.2869
82.0313	81.2294
84.9609	81.2343
87.8906	81.2695
90.8203	81.1141
95.2148	81.0641
98.1445	81.0499
101.074	80.9797
105.469	80.9199
108.398	80.9703
112.793	81.0012
117.188	81.0722
120.117	81.1208
124.512	81.2439
128.906	81.1132
133.301	80.9833
139.16	80.7992
143.555	80.6584
147.949	80.5216
153.809	80.3188
159.668	80.3148
165.527	80.4134
171.387	80.4459
177.246	80.4377
183.105	80.3325
188.965	80.3066
196.289	80.2126
203.613	80.0493
210.938	80.0793
218.262	79.9336
225.586	79.9298
232.91	80.0674
241.699	79.9938
250.488	79.7764
259.277	80.184
268.066	79.7374
276.855	79.7264
287.109	79.7994
297.363	79.6762
307.617	79.9659
319.336	80.0039
329.59	80.2749
341.309	80.2539
353.027	79.9067
366.211	80.032
379.395	80.4055
392.578	80.0815
405.762	79.4556
420.41	79.697
435.059	79.5506
451.172	79.668
465.82	79.4276
483.398	79.1917
499.512	79.7877
517.09	79.9994
536.133	79.2289
555.176	79.6128
574.219	79.5213
594.727	79.3831
615.234	79.3762
637.207	78.9913
659.18	79.5661
682.617	79.4183
707.52	79.3466
732.422	79.4233
757.324	79.5615
785.156	79.4603
811.523	79.1783
840.82	79.1161
870.117	78.777
900.879	78.7949
933.105	78.7162
965.332	78.6927
1,000.49	78.7796
1,035.64	78.6373
1,072.27	78.6084
1,108.89	78.4093
1,148.44	78.2462
1,189.45	77.9836
1,230.47	78.1432
1,274.41	78.3549
1,319.82	78.3105
1,366.7	77.7411
1,413.57	77.4061
1,463.38	77.1506
1,516.11	77.1587
1,568.85	77.0395
1,624.51	76.1643
1,681.64	75.6942
1,741.7	76.1636
1,803.22	78.6001
1,866.21	79.3898
1,932.13	78.9863
1,999.51	79.36
2,069.82	78.8586
2,143.07	78.4162
2,219.24	78.6263
2,296.88	78.0513
2,378.91	78.2407
2,462.4	78.1603
2,548.83	77.4505
2,639.65	77.77
2,731.93	77.7064
2,828.61	77.236
2,928.22	77.6611
3,030.76	77.4408
3,137.7	77.5272
3,249.02	77.753
3,363.28	77.7949
3,481.93	78.0467
3,604.98	78.5423
3,732.42	78.7014
3,864.26	78.9651
4,000.49	78.6593
4,141.11	78.5631
4,287.6	78.2193
4,438.48	78.1236
4,595.21	78.3302
4,756.35	78.3439
4,924.8	78.1618
5,097.66	78.2167
5,277.83	78.2628
5,463.87	78.2279
5,657.23	78.3681
5,856.45	78.5712
6,062.99	78.5392
6,276.86	78.615
6,498.05	78.7974
6,726.56	78.7785
6,963.87	78.5965
7,209.96	78.4338
7,464.84	78.1591
7,727.05	77.9012
7,999.51	77.823
8,282.23	77.6703
8,573.73	77.6686
8,876.95	77.5847
9,188.96	77.5714
9,514.16	77.6371
9,849.61	77.6073
10,196.8	77.3222
10,555.7	77.0959
10,927.7	76.9988
11,313	76.913
11,712.9	76.9041
12,126	76.9597
12,553.7	77.054
12,996.1	77.0405
13,454.6	76.9061
13,929.2	76.7637
14,419.9	76.5395
14,928.2	76.3455
15,455.6	76.1963
16,000.5	76.0107
16,564.5	75.7469
17,148.9	75.4324
17,752.4	75.3925
18,379.4	75.5006
19,026.9	75.6262
19,697.8	75.4299
19,999.5	75.1876
