"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
20.5078	46.2981	20.5078	48.0481	20.5078	54.6859	20.5078	52.5832
21.9727	45.9861	21.9727	46.1734	21.9727	53.5374	21.9727	51.4114
23.4375	47.603	23.4375	48.6402	23.4375	55.5826	23.4375	53.4707
24.9023	48.2779	24.9023	49.4868	24.9023	56.5784	24.9023	54.4374
26.3672	50.9725	26.3672	51.7988	26.3672	58.0204	26.3672	56.0307
27.832	53.0446	27.832	53.8728	27.832	59.6036	27.832	57.6989
29.2969	55.132	29.2969	55.9215	29.2969	61.2008	29.2969	59.3845
30.7617	57.6107	30.7617	58.2491	30.7617	62.8353	30.7617	61.1782
32.2266	59.5348	32.2266	60.0753	32.2266	64.2806	32.2266	62.722
33.6914	61.8148	33.6914	62.3353	33.6914	66.129	33.6914	64.6766
35.1562	64.0006	35.1562	64.456	35.1562	67.8466	35.1562	66.5108
36.6211	65.8907	36.6211	66.3764	36.6211	69.5229	36.6211	68.254
38.0859	67.9035	38.0859	68.36	38.0859	71.1771	38.0859	70.0108
39.5508	69.9095	39.5508	70.3164	39.5508	72.8172	39.5508	71.7576
41.0156	71.7166	41.0156	72.108	41.0156	74.3889	41.0156	73.4044
42.4805	73.3319	42.4805	73.7172	42.4805	75.8342	42.4805	74.9065
43.9453	74.7637	43.9453	75.1521	43.9453	77.1035	43.9453	76.2335
45.4102	76.1775	45.4102	76.5197	45.4102	78.2083	45.4102	77.4402
46.875	77.1659	46.875	77.4721	46.875	79.0187	46.875	78.3091
48.3398	77.7526	48.3398	78.0852	48.3398	79.5651	48.3398	78.8768
51.2695	78.6433	51.2695	78.9657	51.2695	80.2093	51.2695	79.6143
52.7344	78.8467	52.7344	79.1591	52.7344	80.2985	52.7344	79.7465
54.1992	79.0672	54.1992	79.3659	54.1992	80.3896	54.1992	79.8865
55.6641	79.2412	55.6641	79.512	55.6641	80.4263	55.6641	79.9727
58.5938	79.4406	58.5938	79.7129	58.5938	80.5062	58.5938	80.1029
60.0586	79.6141	60.0586	79.874	60.0586	80.5993	60.0586	80.2268
62.9883	79.9527	62.9883	80.1954	62.9883	80.7843	62.9883	80.4733
64.4531	79.9872	64.4531	80.2265	64.4531	80.7808	64.4531	80.4854
67.3828	80.1043	67.3828	80.3577	67.3828	80.8789	67.3828	80.5955
68.8477	80.2157	68.8477	80.476	68.8477	80.978	68.8477	80.7018
71.7773	80.7198	71.7773	80.9456	71.7773	81.3163	71.7773	81.1041
74.707	81.0943	74.707	81.2764	74.707	81.4971	74.707	81.3604
77.6367	81.3732	77.6367	81.5421	77.6367	81.6716	77.6367	81.5792
79.1016	81.5532	79.1016	81.7199	79.1016	81.8209	79.1016	81.742
82.0312	81.8268	82.0312	81.9942	82.0312	82.0779	82.0312	82.0068
84.9609	81.9263	84.9609	82.0781	84.9609	82.1594	84.9609	82.0924
87.8906	82.2859	87.8906	82.3925	87.8906	82.3292	87.8906	82.3385
90.8203	82.938	90.8203	82.9416	90.8203	82.5273	90.8203	82.7271
95.2148	82.618	95.2148	82.7678	95.2148	82.7539	95.2148	82.7317
98.1445	82.8803	98.1445	82.9788	98.1445	82.8387	98.1445	82.8862
101.074	83.0577	101.074	83.1363	101.074	82.9427	101.074	83.0197
105.469	83.2635	105.469	83.3109	105.469	82.9713	105.469	83.1254
108.398	83.4432	108.398	83.4288	108.398	83.0204	108.398	83.221
112.793	83.6856	112.793	83.6274	112.793	83.1693	112.793	83.4037
117.188	83.8645	117.188	83.7568	117.188	83.1064	117.188	83.4485
120.117	83.9259	120.117	83.8257	120.117	83.1467	120.117	83.5019
124.512	83.8311	124.512	83.763	124.512	83.193	124.512	83.4858
128.906	83.8349	128.906	83.7469	128.906	83.203	128.906	83.4867
133.301	83.8227	133.301	83.737	133.301	83.1719	133.301	83.4659
139.16	83.7605	139.16	83.6427	139.16	83.0449	139.16	83.3623
143.555	83.7069	143.555	83.5449	143.555	82.9255	143.555	83.2634
147.949	83.668	147.949	83.4734	147.949	82.8014	147.949	83.1734
153.809	83.6238	153.809	83.3869	153.809	82.6462	153.809	83.0631
159.668	83.6091	159.668	83.3608	159.668	82.606	159.668	83.0327
165.527	83.694	165.527	83.437	165.527	82.7639	165.527	83.1501
171.387	83.727	171.387	83.3867	171.387	82.6367	171.387	83.0815
177.246	83.6663	177.246	83.259	177.246	82.2867	177.246	82.8649
183.105	83.3527	183.105	82.9956	183.105	82.2087	183.105	82.6767
188.965	83.3845	188.965	82.9228	188.965	82.0286	188.965	82.5776
196.289	83.4737	196.289	82.9661	196.289	81.9658	196.289	82.5828
203.613	83.4221	203.613	82.8054	203.613	81.6833	203.613	82.3934
210.938	83.5284	210.938	82.9115	210.938	81.6292	210.938	82.4285
218.262	83.3764	218.262	82.7945	218.262	81.6311	218.262	82.3555
225.586	83.3757	225.586	82.6979	225.586	81.6646	225.586	82.3409
232.91	83.4996	232.91	82.684	232.91	81.3845	232.91	82.2442
241.699	83.5051	241.699	82.7164	241.699	81.1539	241.699	82.1575
250.488	83.4019	250.488	82.5984	250.488	81.0255	250.488	82.0391
259.277	83.8079	259.277	82.8027	259.277	81.1462	259.277	82.2637
268.066	83.6382	268.066	82.6871	268.066	81.128	268.066	82.1732
276.855	83.5018	276.855	82.6027	276.855	80.7909	276.855	81.9714
287.109	83.7217	287.109	82.6153	287.109	80.7414	287.109	82.0178
297.363	83.7689	297.363	82.7423	297.363	80.9348	297.363	82.1483
307.617	83.9837	307.617	82.8754	307.617	80.6899	307.617	82.1585
319.336	83.8318	319.336	82.5109	319.336	80.5704	319.336	81.9505
329.59	83.8731	329.59	82.7052	329.59	80.2452	329.59	81.9052
341.309	83.7811	341.309	82.6073	341.309	80.4585	341.309	81.9237
353.027	83.9468	353.027	82.5907	353.027	80.0291	353.027	81.8133
366.211	84.0285	366.211	82.7419	366.211	79.854	366.211	81.8305
