"Vertical Reflections"
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
20.5078	46.5493	20.5078	47.4289	20.5078	47.0114
21.9727	46.1976	21.9727	45.4616	21.9727	45.8452
23.4375	47.6742	23.4375	48.2822	23.4375	47.9888
24.9023	48.3401	24.9023	49.0938	24.9023	48.7333
26.3672	50.9487	26.3672	51.5226	26.3672	51.2451
27.832	53.0151	27.832	53.6431	27.832	53.3404
29.2969	55.1041	29.2969	55.7308	29.2969	55.4288
30.7617	57.5781	30.7617	58.091	30.7617	57.8421
32.2266	59.5091	32.2266	59.9384	32.2266	59.729
33.6914	61.7918	33.6914	62.2422	33.6914	62.0228
35.1562	63.9916	35.1562	64.3512	35.1562	64.1751
36.6211	65.8733	36.6211	66.3107	36.6211	66.0975
38.0859	67.8833	38.0859	68.309	38.0859	68.1014
39.5508	69.8913	39.5508	70.2746	39.5508	70.0872
41.0156	71.6929	41.0156	72.0868	41.0156	71.8943
42.4805	73.3004	42.4805	73.7191	42.4805	73.5148
43.9453	74.7261	43.9453	75.169	43.9453	74.9532
45.4102	76.1246	45.4102	76.5669	45.4102	76.3514
46.875	77.1264	46.875	77.4811	46.875	77.3074
48.3398	77.7185	48.3398	78.0918	48.3398	77.9092
51.2695	78.6054	51.2695	78.9947	51.2695	78.8044
52.7344	78.8059	52.7344	79.1941	52.7344	79.0043
54.1992	79.0216	54.1992	79.4102	54.1992	79.2202
55.6641	79.1938	55.6641	79.5572	55.6641	79.3793
58.5938	79.399	58.5938	79.7558	58.5938	79.5811
60.0586	79.5717	60.0586	79.9195	60.0586	79.7491
62.9883	79.9128	62.9883	80.2372	62.9883	80.078
64.4531	79.9473	64.4531	80.2647	64.4531	80.1089
67.3828	80.0678	67.3828	80.3934	67.3828	80.2336
68.8477	80.1816	68.8477	80.5116	68.8477	80.3497
71.7773	80.6752	71.7773	81.0044	71.7773	80.8429
74.707	81.0413	74.707	81.3515	74.707	81.1991
77.6367	81.3229	77.6367	81.6037	77.6367	81.4656
79.1016	81.5065	79.1016	81.771	79.1016	81.6407
82.0312	81.7691	82.0312	82.0631	82.0312	81.9185
84.9609	81.86	84.9609	82.1535	84.9609	82.0092
87.8906	82.2117	87.8906	82.5067	87.8906	82.3617
90.8203	82.8474	90.8203	83.0604	90.8203	82.9552
95.2148	82.5787	95.2148	82.8079	95.2148	82.6948
98.1445	82.8252	98.1445	83.0505	98.1445	82.9393
101.074	82.9847	101.074	83.2176	101.074	83.1027
105.469	83.1634	105.469	83.4311	105.469	83.2993
108.398	83.3397	108.398	83.5769	108.398	83.4599
112.793	83.5685	112.793	83.7902	112.793	83.6808
117.188	83.7666	117.188	83.9044	117.188	83.8361
120.117	83.8043	120.117	84.0045	120.117	83.9056
124.512	83.7216	124.512	83.8811	124.512	83.8021
128.906	83.7392	128.906	83.8908	128.906	83.8156
133.301	83.7391	133.301	83.8457	133.301	83.7927
139.16	83.6679	139.16	83.7464	139.16	83.7073
143.555	83.6126	143.555	83.6484	143.555	83.6305
147.949	83.5624	147.949	83.5781	147.949	83.5703
153.809	83.5078	153.809	83.5172	153.809	83.5125
159.668	83.4806	159.668	83.5232	159.668	83.5019
165.527	83.5655	165.527	83.6152	165.527	83.5904
171.387	83.5767	171.387	83.6122	171.387	83.5945
177.246	83.4817	177.246	83.4718	177.246	83.4768
183.105	83.1794	183.105	83.1756	183.105	83.1775
188.965	83.1923	188.965	83.1378	188.965	83.1651
196.289	83.2474	196.289	83.2469	196.289	83.2471
203.613	83.1735	203.613	83.1146	203.613	83.1441
210.938	83.3206	210.938	83.1965	210.938	83.259
218.262	83.1547	218.262	83.0753	218.262	83.1152
225.586	83.1182	225.586	83.0733	225.586	83.0958
232.91	83.203	232.91	83.0781	232.91	83.141
241.699	83.2747	241.699	83.0334	241.699	83.1557
250.488	83.2327	250.488	82.8145	250.488	83.0287
259.277	83.6424	259.277	83.0913	259.277	83.3756
268.066	83.4807	268.066	82.9227	268.066	83.2107
276.855	83.294	276.855	82.7841	276.855	83.0465
287.109	83.4532	287.109	83.056	287.109	83.2591
297.363	83.3884	297.363	83.0581	297.363	83.2264
307.617	83.6578	307.617	83.3059	307.617	83.4854
319.336	83.579	319.336	82.9972	319.336	83.2979
329.59	83.5978	329.59	82.8804	329.59	83.2539
341.309	83.5574	341.309	82.8364	341.309	83.2119
353.027	83.675	353.027	82.6714	353.027	83.2021
366.211	83.798	366.211	83.1484	366.211	83.4853
379.395	84.0968	379.395	83.4816	379.395	83.8001
392.578	84.1627	392.578	83.3262	392.578	83.7646
405.762	83.9189	405.762	83.176	405.762	83.5633
420.41	84.266	420.41	83.6123	420.41	83.9514
