"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"	
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
20.5078	46.5493	20.5078	47.4289	20.5078	46.2981	20.5078	48.0481	20.5078	54.8021	20.5078	50.0782
21.9727	46.1976	21.9727	45.4616	21.9727	45.9861	21.9727	46.1734	21.9727	53.6711	21.9727	48.93
23.4375	47.6742	23.4375	48.2822	23.4375	47.603	23.4375	48.6402	23.4375	55.7049	23.4375	50.9935
24.9023	48.3401	24.9023	49.0938	24.9023	48.2779	24.9023	49.4868	24.9023	56.7023	24.9023	51.895
26.3672	50.9487	26.3672	51.5226	26.3672	50.9725	26.3672	51.7988	26.3672	58.1376	26.3672	53.7806
27.832	53.0151	27.832	53.6431	27.832	53.0446	27.832	53.8728	27.832	59.7152	27.832	55.5958
29.2969	55.1041	29.2969	55.7308	29.2969	55.132	29.2969	55.9215	29.2969	61.3066	29.2969	57.4289
30.7617	57.5781	30.7617	58.091	30.7617	57.6107	30.7617	58.2491	30.7617	62.9335	30.7617	59.4713
32.2266	59.5091	32.2266	59.9384	32.2266	59.5348	32.2266	60.0753	32.2266	64.3742	32.2266	61.1613
33.6914	61.7918	33.6914	62.2422	33.6914	61.8148	33.6914	62.3353	33.6914	66.2159	33.6914	63.2639
35.1562	63.9916	35.1562	64.3512	35.1562	64.0006	35.1562	64.456	35.1562	67.927	35.1562	65.2471
36.6211	65.8733	36.6211	66.3107	36.6211	65.8907	36.6211	66.3764	36.6211	69.5979	36.6211	67.0727
38.0859	67.8833	38.0859	68.309	38.0859	67.9035	38.0859	68.36	38.0859	71.2455	38.0859	68.9503
39.5508	69.8913	39.5508	70.2746	39.5508	69.9095	39.5508	70.3164	39.5508	72.8797	39.5508	70.818
41.0156	71.6929	41.0156	72.0868	41.0156	71.7166	41.0156	72.108	41.0156	74.4466	41.0156	72.5465
42.4805	73.3004	42.4805	73.7191	42.4805	73.3319	42.4805	73.7172	42.4805	75.8879	42.4805	74.1093
43.9453	74.7261	43.9453	75.169	43.9453	74.7637	43.9453	75.1521	43.9453	77.1528	43.9453	75.4944
45.4102	76.1246	45.4102	76.5669	45.4102	76.1775	45.4102	76.5197	45.4102	78.2518	45.4102	76.804
46.875	77.1264	46.875	77.4811	46.875	77.1659	46.875	77.4721	46.875	79.059	46.875	77.724
48.3398	77.7185	48.3398	78.0918	48.3398	77.7526	48.3398	78.0852	48.3398	79.6027	48.3398	78.3095
51.2695	78.6054	51.2695	78.9947	51.2695	78.6433	51.2695	78.9657	51.2695	80.2401	51.2695	79.1332
52.7344	78.8059	52.7344	79.1941	52.7344	78.8467	52.7344	79.1591	52.7344	80.3263	52.7344	79.3034
54.1992	79.0216	54.1992	79.4102	54.1992	79.0672	54.1992	79.3659	54.1992	80.4142	54.1992	79.4863
55.6641	79.1938	55.6641	79.5572	55.6641	79.2412	55.6641	79.512	55.6641	80.4483	55.6641	79.615
58.5938	79.399	58.5938	79.7558	58.5938	79.4406	58.5938	79.7129	58.5938	80.524	58.5938	79.7859
60.0586	79.5717	60.0586	79.9195	60.0586	79.6141	60.0586	79.874	60.0586	80.6153	60.0586	79.9355
62.9883	79.9128	62.9883	80.2372	62.9883	79.9527	62.9883	80.1954	62.9883	80.7963	62.9883	80.2306
